run,fold,label_clean,traditional_span_q_score,q_template_only_score,rf_score,leaky_rf_score
31,1,0,0.14826552486995903,-0.39280533601827233,0.014450071559444297,0.0035079573212552116
31,1,0,-2.107178679082895,-0.5631948969942018,0.03716534700302046,0.029785707538482573
31,1,0,-0.022803884253535633,-0.46312096797995106,0.07548890246028916,0.011897158621186406
31,1,1,0.14055844322056033,-0.555811139931176,0.9621795813329872,0.9859363443798802
31,1,0,0.009566565089197177,-0.3795763229540436,0.6139869100776281,0.07048747761981787
31,1,1,-0.8723819198136126,-0.4302634214555432,0.8058390957039162,0.9058631541495299
31,1,1,0.4326372035124472,-0.24938339910267437,0.9558553740175582,0.9872427604966066
31,1,1,0.19919642059125847,-0.4751936075715725,0.834774864329923,0.9358959248428782
31,1,0,-0.056513011644701905,-0.5395644644077064,0.06046762369599772,0.01630002363023061
32,2,1,0.0729793550020566,-0.5376280694437401,0.9598621869237702,0.994456376774599
32,2,0,0.2775365673724874,-0.03786669377817592,0.027224938587792676,0.004681736814824127
32,2,1,0.2785150731974202,-0.5037370657047167,0.8326888015035291,0.9075089939961635
32,2,1,0.1154882752223032,-0.5365817008813328,0.8221429938651954,0.8873533044439197
32,2,1,0.19930207061336946,-0.38568529680167035,0.7836505516888188,0.8916839319343582
32,2,1,0.12916251383805205,-0.364802136037713,0.9223683162903104,0.9782698275735692
32,2,1,0.27736656188635367,-0.3769354918755172,0.959207248257534,0.9918814048564909
32,2,1,0.1406473929312939,2.434096472835968,0.9474027687235927,0.9803585350441559
32,2,1,0.08076478130352538,-0.5748307472064356,0.97802380085977,0.986111996389098
32,2,1,-2.457152468412476,-0.2735407439251366,0.8487391629441622,0.9545492782415724
32,2,0,-5.919833470339692,0.48455403574706635,0.06936300879065521,0.021491798895848194
32,2,1,0.3162025195621841,-0.2837129512549358,0.9427855573463294,0.9877709467756824
32,2,1,-1.4167544282268232,-0.15318025198715612,0.8734444436549408,0.9809227582593305
32,2,0,-0.07827388330035367,-0.5537212354915197,0.0008672502066253824,0.0011561009250037383
32,2,1,0.6763263128682767,0.22750593326053278,0.9399931369362557,0.986871709245219
32,2,0,-0.2691988310752676,-0.5812978478275388,0.0008305353723971203,0.0008203705956417889
32,2,0,-1.0612331100272536,-0.5394892869509961,0.0039666457155524025,0.003102399700285261
32,2,0,-0.20195773895157088,-0.5021043388346536,0.01649049620862532,0.004108463868983839
32,2,1,0.38423220886190745,-0.21527226724074916,0.9174834867877885,0.9889800927135288
32,2,1,0.6207066014518741,0.15999446543711465,0.9266829044079403,0.9810581286643784
32,2,0,-1.0804194728670737,-0.5022169273533614,0.0012127564241734827,0.0010716375113863379
32,2,0,-0.1997639995476826,-0.3883426804438456,0.026282462799430285,0.003257760948431845
