search_root,path,kind,suffix,bytes,is_source_like,conversion_token_hit
data,data/sorted-b/hrdb_run_0043-sorted.root,filesystem,.root,32226,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0044-sorted.root,filesystem,.root,7982639,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0045-sorted.root,filesystem,.root,85010101,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0046-sorted.root,filesystem,.root,2665214,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0047-sorted.root,filesystem,.root,20244544,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0048-sorted.root,filesystem,.root,56477347,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0049-sorted.root,filesystem,.root,57650642,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0050-sorted.root,filesystem,.root,80492682,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0051-sorted.root,filesystem,.root,38149478,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0052-sorted.root,filesystem,.root,18888569,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0053-sorted.root,filesystem,.root,71454883,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0054-sorted.root,filesystem,.root,67577850,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0055-sorted.root,filesystem,.root,44799586,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0056-sorted.root,filesystem,.root,92764111,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0057-sorted.root,filesystem,.root,55879611,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0058-sorted.root,filesystem,.root,60264244,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0059-sorted.root,filesystem,.root,74635423,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0060-sorted.root,filesystem,.root,63824621,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0061-sorted.root,filesystem,.root,64836585,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0062-sorted.root,filesystem,.root,66605992,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0063-sorted.root,filesystem,.root,65573978,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0064-sorted.root,filesystem,.root,63157492,False,sort;sorted;root
data,data/sorted-b/hrdb_run_0065-sorted.root,filesystem,.root,67037963,False,sort;sorted;root
/home/billy/ccb-data,/home/billy/ccb-data/docs/bstack_astack_report_with_timing_label_pileup_ml.pdf,filesystem,.pdf,3625905,False,
/home/billy/ccb-data,/home/billy/ccb-data/raw/root.zip,filesystem,.zip,809855166,False,raw;root
/home/billy/ccb-data,/home/billy/ccb-data/raw/sorted-a.zip,filesystem,.zip,2684983533,False,sort;sorted;raw
/home/billy/ccb-data,/home/billy/ccb-data/raw/sorted-b.zip,filesystem,.zip,2874563960,False,sort;sorted;raw
/projects/hep/fs9/shared/nnbar/billy/ccb-testbeam/data,,missing_search_root,,0,False,
