method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
mlp,60,720,0.09288440622433569,3.824975787318815,3.7391267042265657,0.20694444444444443,0.004166666666666667
mlp,62,720,-0.49344899277924625,4.0309461625572505,4.027419718490461,0.19305555555555556,0.006944444444444444
mlp,64,720,-1.7497442292609975,3.360885783261149,3.2673315659284583,0.10833333333333334,0.004166666666666667
mlp,65,645,-2.0452632592987894,4.717207538169951,4.423212246063074,0.27286821705426356,0.009302325581395349
ridge,42,657,1.9120397197563506,4.160413155765711,3.898562018627223,0.2617960426179604,0.0076103500761035
ridge,50,680,-0.2565926588009524,11.335293676903976,11.041159238453854,0.3514705882352941,0.2735294117647059
ridge,57,670,0.8453168829473321,5.552947113666384,5.737672724884342,0.41492537313432837,0.011940298507462687
ridge,58,654,-1.4387072321426544,4.844379912904513,4.501766067149452,0.3073394495412844,0.03669724770642202
ridge,60,720,0.4963160691982358,3.439677393261399,3.3920435217900193,0.1361111111111111,0.002777777777777778
ridge,62,720,-0.3316861472786168,3.69170488899813,3.7052480526931624,0.1638888888888889,0.002777777777777778
ridge,64,720,-1.386120376005195,3.0875291657074193,3.0968302646861434,0.13333333333333333,0.004166666666666667
ridge,65,645,-0.7756424072606212,3.9514474331085214,3.7551971408878693,0.19689922480620156,0.009302325581395349
traditional_cfd_template_derivative,42,657,-0.46787483368369465,0.995644002973084,0.9345397691420989,0.0,0.0
traditional_cfd_template_derivative,50,680,-0.22187962348653456,0.4889435666064257,0.580226829597392,0.0,0.0
traditional_cfd_template_derivative,57,670,0.12684509463169036,1.4438198390651853,1.3968766393631502,0.0,0.0
traditional_cfd_template_derivative,58,654,0.9431113975221008,0.44696241670811904,0.5912703156507655,0.0,0.0
traditional_cfd_template_derivative,60,720,-0.1347107401175105,1.1920438749399662,1.0689122334183578,0.0,0.0
traditional_cfd_template_derivative,62,720,0.3871812864151165,1.1637184183709666,0.9654481363745325,0.0,0.0
traditional_cfd_template_derivative,64,720,0.6155670130209439,0.5091394567078005,0.6115553433665897,0.0,0.0
traditional_cfd_template_derivative,65,645,0.6554795495084234,0.31905064305211966,0.48241403980010544,0.0,0.0
