method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,64,1685,614367,4441,B2,7382.0,baseline_excursion,1172.9418,39.219913,0.44162595,0.15806311,0.1572677,0.6221444,2,0.25265345,4279.0,1,0.95990247,-1.0776212,1.0484048
traditional_robust_template,64,847,613529,3660,B2,5176.0,baseline_excursion,1145.2708,88.59017,0.78283274,0.3505062,0.38063657,0.6686243,3,0.0,4178.0,1,0.61437404,-0.16228747,2.1653666
traditional_robust_template,64,1907,614589,4644,B2,4354.5,baseline_excursion,965.1677,7.7364945,0.77332747,0.010961645,0.062809,0.5890891,3,0.0,3521.0,1,0.2403261,-0.569411,1.6503885
traditional_robust_template,64,27081,639764,11720,B2,3566.0,baseline_excursion,912.1272,187.20813,1.1010014,0.7527344,0.80127746,0.6815668,3,0.0,3327.5,1,0.8662367,-0.46943355,1.8903972
traditional_robust_template,64,19980,632663,5095,B2,5053.5,baseline_excursion,909.9106,6.7695665,0.68651503,0.010134496,0.054824334,0.5697399,3,0.0,3320.0,1,0.31948155,-0.39962402,18.0
traditional_robust_template,64,15016,627699,492,B2,3887.0,baseline_excursion,908.284,8.089143,0.80378556,0.010679533,0.0665307,0.5989985,3,0.0,3313.5,1,0.16490868,-0.6588629,1.6418613
traditional_robust_template,64,3810,616492,6412,B2,3839.0,baseline_excursion,888.2279,7.7961216,0.7156314,0.0072970623,0.069503985,0.59936106,3,0.0,3241.0,1,0.32221934,-0.25136754,18.0
traditional_robust_template,64,1667,614349,4424,B2,5061.0,baseline_excursion,876.70276,6.5735373,0.65767765,0.010604024,0.05199956,0.56549037,3,0.0036105358,3199.0,1,0.35151157,-0.37087533,18.0
traditional_robust_template,64,6219,618901,8648,B4,3659.0,baseline_excursion,728.7357,6.7993135,0.6896757,0.009183716,0.05622299,0.576842,3,0.020554828,2659.5,1,0.37305275,-0.46187484,18.0
traditional_robust_template,64,31040,643724,15400,B4,4618.5,baseline_excursion,646.1749,5.603982,0.58234054,0.008242715,0.04682084,0.54749393,3,0.10241162,2359.0,1,0.57713544,-0.14755873,18.0
traditional_robust_template,64,11139,623821,13243,B4,2363.5,baseline_excursion,564.3173,7.0326805,0.7251709,0.010218375,0.05457948,0.5982931,3,0.00572339,2059.5,1,0.3298075,-0.912418,1.634634
