heldout_run,method,family,baseline,n_heldout_events,n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,bias_vs_log_amp_slope_ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
63,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,370,1110,1.1670410775853357,2.356150732160852,0.015315315315315315,-0.5519954435406664,1.0282167283326444,1.2719026215795006,-0.37387733200907114,-0.48813160237984066,-0.2755910183657677
63,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,370,1110,1.2749482260923066,2.3697121817887656,0.017117117117117116,-0.7721149763010365,1.1426968631878351,1.3506271097899696,-0.2659701835021002,-0.3867179697114004,-0.18095648678121362
63,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,370,1110,1.291052404280507,2.3734111739846617,0.016216216216216217,-0.6354804820910147,1.1784751788099965,1.401511272249641,-0.2498660053138999,-0.36780638472146937,-0.13954593962742498
63,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,370,1110,1.35337224360554,2.424855521679693,0.015315315315315315,-0.6128218536047929,1.2712808413791081,1.4534981345920839,-0.18754616598886686,-0.29256891441550187,-0.08794119337688319
63,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,370,1110,1.5385521513845326,2.531708623161147,0.017117117117117116,-0.6134601052247586,1.4673314599428522,1.5996436734818935,-0.002366258209874239,-0.009055188193340563,0.003161370685690385
63,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,370,1110,1.540381256709761,2.537416372069879,0.017117117117117116,-0.6074132307958079,1.4870360826791125,1.6229917373188723,-0.0005371528846458418,-0.01712931211105052,0.023252806703862802
63,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,370,1110,1.5408638830004646,2.5343605867686536,0.017117117117117116,-0.6136423872408697,1.481964389065907,1.61510470083606,-5.452659394222792e-05,-0.0037786457268543018,0.0028734983399816565
63,traditional_global_no_proxy,traditional,traditional_global_no_proxy,370,1110,1.5409184095944068,2.5345911590604433,0.017117117117117116,-0.612821861867815,1.4846841795894463,1.6127512275997757,0.0,0.0,0.0
63,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,370,1110,1.5530582864708644,2.536810000693596,0.017117117117117116,-0.6084148616994335,1.4804412571145387,1.614209796217863,0.012139876876457567,-0.0060494592119981205,0.024671430927610087
63,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,370,1110,1.5655042272740538,2.5501000840128163,0.017117117117117116,-0.612821858639683,1.5207468218387503,1.6397966638611041,0.02458581767964696,0.015293550503703951,0.0440039951863573
63,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,370,1110,1.6170458058203645,2.573150664616545,0.017117117117117116,-0.6074232752005437,1.556736183694721,1.6728502789636215,0.07612739622595766,0.0574943529920813,0.10421422269410081
