method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,run
mlp,11015,0.45901044030867,0.4752610077167499,0.935243553008596,0.9683544303797469,0.9515110290545138,0.5247389922832502,0.007550097930749799,0.041567231967739475,0.05480275719865333,0.03961937716262976,0.01596034209659452,"[0.935243553008596, 0.935243553008596]","[0.9683544303797469, 0.9683544303797469]","[0.5247389922832502, 0.5247389922832502]","[0.041567231967739475, 0.041567231967739475]","[0.05480275719865333, 0.05480275719865333]","[0.03961937716262976, 0.03961937716262976]","[0.4752610077167499, 0.4752610077167499]",61
cnn_1d,11015,0.45901044030867,0.6081706763504312,0.6805493357217495,0.9017009493670886,0.7756699276903445,0.3918293236495688,-0.003636519500902944,0.04610872818551092,0.047310052528609293,0.02293790546802595,0.13763822593028252,"[0.6805493357217495, 0.6805493357217495]","[0.9017009493670886, 0.9017009493670886]","[0.3918293236495688, 0.3918293236495688]","[0.04610872818551092, 0.04610872818551092]","[0.047310052528609293, 0.047310052528609293]","[0.02293790546802595, 0.02293790546802595]","[0.6081706763504312, 0.6081706763504312]",61
wavegate_resnet,11015,0.45901044030867,0.5249205628688153,0.7447250086475268,0.8516613924050633,0.7946115519468536,0.4750794371311847,0.003625324150116938,0.049060284156409,0.05223323179194197,0.015669787884578637,0.11248594703202662,"[0.7447250086475268, 0.7447250086475268]","[0.8516613924050633, 0.8516613924050633]","[0.4750794371311847, 0.4750794371311847]","[0.049060284156409, 0.049060284156409]","[0.05223323179194197, 0.05223323179194197]","[0.015669787884578637, 0.015669787884578637]","[0.5249205628688153, 0.5249205628688153]",61
shuffled_target_gbt,11015,0.45901044030867,0.0,0.0,0.0,0.0,1.0,0.025271396737640086,0.13438033779077577,0.09766904864373928,0.11084884248751702,0.10966246813384614,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.13438033779077577, 0.13438033779077577]","[0.09766904864373928, 0.09766904864373928]","[0.11084884248751702, 0.11084884248751702]","[0.0, 0.0]",61
traditional_rule,11634,0.46630565583634176,0.22073233625580196,0.7157320872274143,0.33880184331797236,0.4599024146127862,0.7792676637441981,0.0005280673630108795,0.08766303630955369,0.05077851552411091,0.01599382307522612,0.1418901495616297,"[0.7157320872274143, 0.7157320872274143]","[0.33880184331797236, 0.33880184331797236]","[0.7792676637441981, 0.7792676637441981]","[0.08766303630955369, 0.08766303630955369]","[0.05077851552411091, 0.05077851552411091]","[0.01599382307522612, 0.01599382307522612]","[0.22073233625580196, 0.22073233625580196]",62
ridge,11634,0.46630565583634176,0.6079594292590682,0.6825957867948537,0.8899539170506913,0.7726036165786526,0.39204057074093174,-0.005778409610143199,0.04843851694624188,0.055643365659264546,0.033764525323393996,0.16209604916589784,"[0.6825957867948537, 0.6825957867948537]","[0.8899539170506913, 0.8899539170506913]","[0.39204057074093174, 0.39204057074093174]","[0.04843851694624188, 0.04843851694624188]","[0.055643365659264546, 0.055643365659264546]","[0.033764525323393996, 0.033764525323393996]","[0.6079594292590682, 0.6079594292590682]",62
gradient_boosted_trees,11634,0.46630565583634176,0.5164173972838233,0.8452063914780293,0.936036866359447,0.8883057815096651,0.4835826027161767,0.0037436103919924286,0.042462735901049514,0.06007743425448811,0.03928190543903306,0.07803112186699532,"[0.8452063914780293, 0.8452063914780293]","[0.936036866359447, 0.936036866359447]","[0.4835826027161767, 0.4835826027161767]","[0.042462735901049514, 0.042462735901049514]","[0.06007743425448811, 0.06007743425448811]","[0.03928190543903306, 0.03928190543903306]","[0.5164173972838233, 0.5164173972838233]",62
mlp,11634,0.46630565583634176,0.47180677325081655,0.9400619420659501,0.9511520737327189,0.9455744914788345,0.5281932267491835,0.006850644338246897,0.04433792276447957,0.07445313914604072,0.061513425549227015,0.010208205492639568,"[0.9400619420659501, 0.9400619420659501]","[0.9511520737327189, 0.9511520737327189]","[0.5281932267491835, 0.5281932267491835]","[0.04433792276447957, 0.04433792276447957]","[0.07445313914604072, 0.07445313914604072]","[0.061513425549227015, 0.061513425549227015]","[0.47180677325081655, 0.47180677325081655]",62
cnn_1d,11634,0.46630565583634176,0.6616812790097989,0.6444531047025202,0.9144700460829494,0.7560771165129925,0.33831872099020116,-0.008750048570382666,0.04931279352668247,0.06511203054634367,0.03404471544715447,0.15687179187841388,"[0.6444531047025202, 0.6444531047025202]","[0.9144700460829494, 0.9144700460829494]","[0.33831872099020116, 0.33831872099020116]","[0.04931279352668247, 0.04931279352668247]","[0.06511203054634367, 0.06511203054634367]","[0.03404471544715447, 0.03404471544715447]","[0.6616812790097989, 0.6616812790097989]",62
wavegate_resnet,11634,0.46630565583634176,0.5227780642943097,0.7339690891154226,0.8228571428571428,0.7758755540106023,0.4772219357056902,0.004183944529129345,0.05428533097041628,0.05594798117196349,0.026657060518731988,0.10178683107098901,"[0.7339690891154226, 0.7339690891154226]","[0.8228571428571428, 0.8228571428571428]","[0.4772219357056902, 0.4772219357056902]","[0.05428533097041628, 0.05428533097041628]","[0.05594798117196349, 0.05594798117196349]","[0.026657060518731988, 0.026657060518731988]","[0.5227780642943097, 0.5227780642943097]",62
