row_id,event_key,pair_id,run,eventno,evt,variant,label_injected,target_stave,base_d_t_ns,d_t_ns,taxon_consensus,score_traditional_atom_rubric,action_traditional_atom_rubric,score_ridge,action_ridge,score_gradient_boosted_trees,action_gradient_boosted_trees,score_mlp,action_mlp,score_cnn1d,action_cnn1d,score_atom_gated_cnn,action_atom_gated_cnn,score_mlp_rank,score_gbt_rank,score_rubric_rank,in_failure_gallery,in_dttail_gallery,reviewer_a_ml_mask,reviewer_b_rubric,reviewer_c_hybrid,reviewer_votes,reviewer_consensus,unanimous_review
63:584630:9455:195616:injected_two_pulse,63:584630:9455:195616,1948,63,584630,9455,injected_two_pulse,1,B4,2.398978119413009,1.7053942942064635,delayed_peak_or_tail,2.2266088389815466,0,0.4700162410736084,0,0.6672248428499498,0,0.3373241722583771,0,0.8281491994857788,1,0.7748005986213684,1,0.5231958762886598,0.6881443298969072,0.8041237113402062,True,False,1,1,1,3,1,1
63:584710:9529:195696:raw_clean,63:584710:9529:195696,1949,63,584710,9529,raw_clean,0,,0.5955977300694748,0.5955977300694748,template_mismatch,3.0234268422829027,0,-2.100747585296631,0,0.504025618051981,0,0.0025697764940559,0,0.3541987240314483,0,0.3489543497562408,0,0.05670103092783505,0.5902061855670103,0.8685567010309279,False,False,0,1,1,2,1,0
63:584710:9529:195696:injected_two_pulse,63:584710:9529:195696,1949,63,584710,9529,injected_two_pulse,1,B6,0.5955977300694748,0.5955977300694748,template_mismatch,3.032702385342957,0,-1.380510330200195,0,0.586442744562192,0,0.2552848756313324,0,0.3203735947608948,0,0.3441245853900909,0,0.4948453608247423,0.6391752577319587,0.8711340206185567,False,False,0,1,1,2,1,0
63:585026:9819:196012:raw_clean,63:585026:9819:196012,1950,63,585026,9819,raw_clean,0,,2.91473152848932,2.91473152848932,broad_or_saturated,2.069052082863704,0,0.2453072071075439,0,0.2890755639804884,0,0.0330454334616661,0,0.6653961539268494,0,0.6894246935844421,1,0.2603092783505155,0.38144329896907214,0.7757731958762887,False,False,0,1,0,1,0,0
63:585026:9819:196012:injected_two_pulse,63:585026:9819:196012,1950,63,585026,9819,injected_two_pulse,1,B6,2.91473152848932,2.976046691838981,broad_or_saturated,2.065584288855185,0,1.8549537658691408,1,0.8988730454847458,1,0.8686092495918274,1,0.7012535929679871,1,0.735758364200592,1,0.6932989690721649,0.8530927835051546,0.770618556701031,False,False,1,1,1,3,1,1
63:585386:10150:196372:raw_clean,63:585386:10150:196372,1951,63,585386,10150,raw_clean,0,,2.9671659624301654,2.9671659624301654,template_mismatch,1.8484292512735572,0,-1.4313502311706543,0,0.1397078421817466,0,0.8831701278686523,1,0.6795247197151184,1,0.6166504621505737,0,0.7087628865979382,0.15979381443298968,0.7319587628865979,False,False,1,1,0,2,1,0
63:585386:10150:196372:injected_two_pulse,63:585386:10150:196372,1951,63,585386,10150,injected_two_pulse,1,B6,2.9671659624301654,3.800183967053989,delayed_peak_or_tail,4.099269668620721,0,0.1599650382995605,0,0.8745396035227523,1,0.9957242012023926,1,0.9024741053581238,1,0.8631359934806824,1,0.8530927835051546,0.8298969072164949,0.9097938144329897,False,False,1,1,1,3,1,1
63:585387:10151:196373:raw_clean,63:585387:10151:196373,1952,63,585387,10151,raw_clean,0,,1.2119439877056628,1.2119439877056628,template_mismatch,1.3562257407179985,0,-2.754939317703247,0,0.064490019045543,0,0.0020711766555905,0,0.1387749761343002,0,0.0882170423865318,0,0.04896907216494845,0.01804123711340206,0.538659793814433,False,False,0,1,0,1,0,0
63:585387:10151:196373:injected_two_pulse,63:585387:10151:196373,1952,63,585387,10151,injected_two_pulse,1,B6,1.2119439877056628,1.792065208991911,template_mismatch,1.349810781566325,0,0.816396176815033,0,0.9008758635348396,1,0.9011986255645752,1,0.6543207764625549,0,0.6632833480834961,0,0.729381443298969,0.8556701030927835,0.5077319587628866,False,False,1,1,1,3,1,1
63:585623:10360:196609:raw_clean,63:585623:10360:196609,1953,63,585623,10360,raw_clean,0,,2.2685317538611045,2.2685317538611045,early_pretrigger,0.1435252170389222,0,-1.0452866554260254,0,0.2625202767340907,0,0.0151808848604559,0,0.4041703343391418,0,0.3466425240039825,0,0.16494845360824742,0.3479381443298969,0.14432989690721648,False,False,0,0,0,0,0,1
