dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04b_downstream,baseline_excursion,shuffled_target_gbt,18,0.01402206209738657,0.19750855412717147,0.18448121620986785,0.2222222222222222,0.5,0.7777777777777778,"[-0.13253911844873473, 0.06883944341132264]","[0.16874978347040875, 0.3435195356571849]","[0.14518482967485632, 0.2614820867437843]","[0.05555555555555555, 0.46153846153846156]"
p04b_downstream,novel_early_pretrigger,traditional_strong,74,0.21667465419593054,0.35647344582668145,0.40734899655598994,0.5405405405405406,0.20270270270270271,0.4594594594594595,"[0.14043575849966566, 0.2523237633260389]","[0.2952333179252556, 0.5020456400702578]","[0.3378993425507319, 0.496493493701612]","[0.45454545454545453, 0.6470860566448802]"
p04b_downstream,novel_early_pretrigger,ridge,74,0.04576261720934202,0.31847966639777786,0.32270528121207165,0.40540540540540543,0.33783783783783783,0.5945945945945946,"[-0.0806798794924624, 0.11043817271074255]","[0.2444042132521171, 0.3304228068548126]","[0.2716826568718346, 0.39942950139118305]","[0.3185740144810941, 0.536210317460317]"
p04b_downstream,novel_early_pretrigger,gradient_boosted_trees,74,-0.004096746284036726,0.17850468886487866,0.34649922692800156,0.21621621621621623,0.35135135135135137,0.7837837837837838,"[-0.06524774005874023, 0.011289251822275869]","[0.1477707420162863, 0.2508004076461118]","[0.1989657069766192, 0.5391185871563701]","[0.12609797297297295, 0.32727272727272727]"
p04b_downstream,novel_early_pretrigger,mlp,74,-0.016815708400545144,0.629528926324953,1.7694931292800749,0.6081081081081081,0.21621621621621623,0.3918918918918919,"[-0.14946699879235564, 0.11394021215167952]","[0.46337065515114334, 0.7076377610619604]","[0.8958667351251551, 2.489788797650017]","[0.5131494601889339, 0.7111111111111111]"
p04b_downstream,novel_early_pretrigger,cnn1d,74,-0.008935632762662803,0.2191265790229254,0.2795203571293626,0.2702702702702703,0.3918918918918919,0.7297297297297297,"[-0.06534132006759363, 0.022744254657216804]","[0.17047451556223062, 0.2710808726841089]","[0.20935997853963978, 0.3770486480148817]","[0.1891023166023166, 0.3617021276595745]"
p04b_downstream,novel_early_pretrigger,residual_cnn_meta,74,0.0012875642552014812,0.18322761807092872,0.31514302832472524,0.22972972972972974,0.4189189189189189,0.7702702702702703,"[-0.028960063882721872, 0.00457058829999391]","[0.13459680203219274, 0.2279948999056234]","[0.19373077511329484, 0.4288724859939356]","[0.15290552584670233, 0.318205996131528]"
p04b_downstream,novel_early_pretrigger,shuffled_target_gbt,74,0.7760376730873779,0.9635966104417961,0.982708072152409,0.7972972972972973,0.10810810810810811,0.20270270270270271,"[0.32134984495486385, 0.9283453606526695]","[0.7646238706895564, 1.2722528469982928]","[0.7461691845931525, 1.2791964348491278]","[0.5352112676056338, 0.9714285714285714]"
p04b_downstream,matched_normal_for_baseline_excursion,traditional_strong,18,-0.05101177094621773,0.26425322627283143,0.23142654109086952,0.3888888888888889,0.4444444444444444,0.6111111111111112,"[-0.19100020714761395, 0.04258224559535323]","[0.12237565822610086, 0.35820904181305835]","[0.16205049324865536, 0.3232374562328225]","[0.20689655172413793, 0.7]"
p04b_downstream,matched_normal_for_baseline_excursion,ridge,18,-0.026408980876926277,0.21676481553512356,0.26276546248908395,0.16666666666666666,0.3888888888888889,0.8333333333333334,"[-0.17850972458131065, -0.009901118503946291]","[0.16148648227211987, 0.29705171746021186]","[0.14949633655017155, 0.390242105366825]","[0.05555555555555555, 0.3573051948051947]"
