scenario,heldout_run,method,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf
run64_only,61,traditional_analytic_timewalk,2799,1.593765133162755,1.632204813715098,2.8343465936943693,0.02965344765987853,1.6223676518721828,21.12851744431335
run64_only,61,traditional_binned_timewalk,2799,1.9206508636501525,2.050656303523496,3.005208179940221,0.036084315827081104,1.386819576112053,36.54656023615593
run64_only,61,ml_ridge_timewalk,2799,1.469008466304615,1.6092152156200932,2.7616990635031935,0.026080743122543767,1.5294858089336436,9.484889406470883
run64_only,62,template_phase_base,2421,-3.702625214093935,2.5319743504438,3.164770643304362,0.07724080958281702,0.5772464309456781,37.606379080622
run64_only,62,traditional_analytic_timewalk,2421,1.3513861721450127,1.2737010343902313,2.495926916880644,0.01321767864518794,1.3821394360303307,12.871150465398332
run64_only,62,traditional_binned_timewalk,2421,1.6013126070469852,1.3909871752219125,2.63433394631265,0.014456836018174308,1.6290685954240234,31.72404668192918
run64_only,62,ml_ridge_timewalk,2421,1.2476096759312512,1.2882660403540775,2.437040847191292,0.0107393638992152,1.2875656566256068,6.734555048264359
run64_only,63,template_phase_base,1110,-3.8413017273002623,2.601312607046962,3.2325259239086614,0.08378378378378379,0.6486451613200471,17.186452311551992
run64_only,63,traditional_analytic_timewalk,1110,1.3074890271691295,1.1248508157346346,2.551918814872359,0.01981981981981982,1.313893990663136,8.526938956956908
run64_only,63,traditional_binned_timewalk,1110,1.6013126070469639,1.300656303523489,2.6753583323464913,0.01981981981981982,1.2004426473310295,13.47065100216006
run64_only,63,ml_ridge_timewalk,1110,1.2404948650985617,1.1529929547825004,2.4984105893849873,0.01891891891891892,1.1349822772351337,4.233026014601453
run64_only,65,template_phase_base,198,-3.8413017273002623,2.5319743504437966,2.3343826219459385,0.030303030303030304,0.4115295122053669,4.326670069453592
run64_only,65,traditional_analytic_timewalk,198,1.2700433423175568,1.0673988783877122,1.4654768984147557,0.005050505050505051,0.9951218107035398,2.392818019262425
run64_only,65,traditional_binned_timewalk,198,1.5109817353485475,1.1409871752219107,1.70453127832093,0.010101010101010102,1.7366533612680901,4.122059199799121
run64_only,65,ml_ridge_timewalk,198,1.2238597171224228,1.0915561216143983,1.4072552152449138,0.0,1.0745185865270785,2.166416297693298
sample_i_plus_run64,58,template_phase_base,219,-5.16738790969449,2.5836939548472486,3.278964969015343,0.1004566210045662,0.685696278826366,4.7980130302025294
sample_i_plus_run64,58,traditional_analytic_timewalk,219,2.2767207497420614,1.5880189283298667,2.331648759422971,0.0228310502283105,0.2818879335968292,2.3160215887564513
sample_i_plus_run64,58,traditional_binned_timewalk,219,2.5836939548472344,1.4736361627949828,2.299536707457063,0.0228310502283105,0.06196553407414673,2.6860136787123596
