heldout_run,method,pairwise_residual_ns
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,3.6283096244953796
58,s03b_binned_timewalk,4.128309624495387
58,s03b_binned_timewalk,2.128309624495394
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,4.12830962449538
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,3.6283096244953796
58,s03b_binned_timewalk,3.6283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953583
58,s03b_binned_timewalk,2.1283096244953583
58,s03b_binned_timewalk,-9.371690375504642
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.128309624495394
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.6283096244953867
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,3.6283096244953867
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953583
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,3.6283096244953867
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,3.6283096244953796
58,s03b_binned_timewalk,2.1283096244953583
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,4.62830962449538
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,1.6283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,0.12830962449537964
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953583
58,s03b_binned_timewalk,2.128309624495394
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,3.128309624495394
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,3.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,0.6283096244953796
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,2.1283096244953725
58,s03b_binned_timewalk,1.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.8323665962669864
58,s03b_binned_timewalk,1.3323665962669864
58,s03b_binned_timewalk,2.8323665962670077
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,2.8323665962669793
58,s03b_binned_timewalk,1.8323665962669864
58,s03b_binned_timewalk,1.8323665962669793
58,s03b_binned_timewalk,1.8323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.8323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,-1.1676334037330207
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.3323665962669864
58,s03b_binned_timewalk,0.8323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,4.332366596266986
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.8323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,3.3323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,2.8323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,3.3323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,-0.6676334037330207
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962670006
58,s03b_binned_timewalk,2.3323665962669935
58,s03b_binned_timewalk,1.3323665962669935
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,2.8323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,1.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,s03b_binned_timewalk,0.3323665962669793
58,hgb_timewalk,1.0763876200175915
58,hgb_timewalk,1.168392009360531
58,hgb_timewalk,1.1475635925486074
58,hgb_timewalk,1.0555592032056538
58,hgb_timewalk,2.247379312523478
58,hgb_timewalk,-1.2526206874765364
58,hgb_timewalk,1.168392009360531
58,hgb_timewalk,1.812582222497383
58,hgb_timewalk,1.168392009360538
58,hgb_timewalk,1.168392009360531
58,hgb_timewalk,1.168392009360538
58,hgb_timewalk,0.726120746977962
58,hgb_timewalk,-0.42361237998241563
58,hgb_timewalk,1.0763876200175915
