n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
8,320.0,1.0,2,1.0589554693166245,4710,58
8,320.0,1.0,-1,1.0976490648506063,0,58
8,320.0,4.0,0,1.218709426789908,2997,58
8,320.0,4.0,1,1.0992387100115537,3534,58
8,320.0,4.0,2,1.0961994826278023,4710,58
8,320.0,4.0,-1,1.1380492064764214,0,58
8,320.0,16.0,0,1.2072363600152602,2997,58
8,320.0,16.0,1,1.1727068655701054,3534,58
8,320.0,16.0,2,1.194769589637992,4710,58
8,320.0,16.0,-1,1.1915709384077857,0,58
8,1280.0,0.0,0,1.5924667647753241,2997,58
8,1280.0,0.0,1,1.9084259073195178,3534,58
8,1280.0,0.0,2,2.2285243867147564,4710,58
8,1280.0,0.0,-1,1.9098056862698662,0,58
8,1280.0,1.0,0,1.630095263613946,2997,58
8,1280.0,1.0,1,1.9403845448398795,3534,58
8,1280.0,1.0,2,2.2635277845049924,4710,58
8,1280.0,1.0,-1,1.9446691976529393,0,58
8,1280.0,4.0,0,1.687001462821062,2997,58
8,1280.0,4.0,1,1.9879128149829102,3534,58
8,1280.0,4.0,2,2.3164200874547025,4710,58
8,1280.0,4.0,-1,1.997111455086225,0,58
8,1280.0,16.0,0,1.7332785640941144,2997,58
8,1280.0,16.0,1,2.0350583085357177,3534,58
8,1280.0,16.0,2,2.369312390404411,4710,58
8,1280.0,16.0,-1,2.045883087678081,0,58
10,20.0,0.0,0,2.0246811250320595,2997,58
10,20.0,0.0,1,1.2754390910704474,3534,58
10,20.0,0.0,2,1.3585786547154242,4710,58
10,20.0,0.0,-1,1.5528996236059769,0,58
10,20.0,1.0,0,1.9826043578277162,2997,58
10,20.0,1.0,1,1.2522739031835126,3534,58
10,20.0,1.0,2,1.3300890512397117,4710,58
10,20.0,1.0,-1,1.5216557707503136,0,58
10,20.0,4.0,0,1.9132898561925296,2997,58
10,20.0,4.0,1,1.2167564870048213,3534,58
10,20.0,4.0,2,1.33462184803629,4710,58
10,20.0,4.0,-1,1.4882227304112134,0,58
10,20.0,16.0,0,1.8473375110485635,2997,58
10,20.0,16.0,1,1.172656960666262,3534,58
10,20.0,16.0,2,1.3400454199182952,4710,58
10,20.0,16.0,-1,1.4533466305443736,0,58
10,80.0,0.0,0,1.6223270046121994,2997,58
10,80.0,0.0,1,1.1158163029688821,3534,58
10,80.0,0.0,2,1.2192500932619321,4710,58
10,80.0,0.0,-1,1.3191311336143379,0,58
10,80.0,1.0,0,1.5451402985378917,2997,58
10,80.0,1.0,1,1.08555922545872,3534,58
10,80.0,1.0,2,1.2246845750276156,4710,58
10,80.0,1.0,-1,1.2851280330080759,0,58
10,80.0,4.0,0,1.430331143914922,2997,58
10,80.0,4.0,1,1.0059389602519158,3534,58
10,80.0,4.0,2,1.233381976258093,4710,58
10,80.0,4.0,-1,1.2232173601416436,0,58
10,80.0,16.0,0,1.345509578318714,2997,58
10,80.0,16.0,1,1.0671939610570167,3534,58
10,80.0,16.0,2,1.1362646047107883,4710,58
10,80.0,16.0,-1,1.182989381362173,0,58
10,320.0,0.0,0,1.2182338934036234,2997,58
10,320.0,0.0,1,1.1461551067350841,3534,58
10,320.0,0.0,2,1.1533195194397725,4710,58
10,320.0,0.0,-1,1.17256950652616,0,58
10,320.0,1.0,0,1.2093837595011236,2997,58
10,320.0,1.0,1,1.1875350718219542,3534,58
10,320.0,1.0,2,1.2142458949386967,4710,58
10,320.0,1.0,-1,1.2037215754205917,0,58
10,320.0,4.0,0,1.2416482612530744,2997,58
10,320.0,4.0,1,1.2386477025002933,3534,58
10,320.0,4.0,2,1.290921500048598,4710,58
10,320.0,4.0,-1,1.2570724879339885,0,58
10,320.0,16.0,0,1.154873933397785,2997,58
10,320.0,16.0,1,1.2744731255522652,3534,58
10,320.0,16.0,2,1.3856545269031126,4710,58
10,320.0,16.0,-1,1.2716671952843877,0,58
