heldout_run,heldout_group,method,n_scored_events,n_synthetic_train,training_policy,synthetic_train_source_runs,synthetic_holdout_auc,synthetic_holdout_ap,synthetic_holdout_brier,synthetic_secondary_fraction_mae,support_accept_fraction
52,high_20nA,mlp,703,3000,low_current_only_source_run_heldout,46 47,0.9280839999999999,0.9391327878177106,0.09445761501933805,0.08992274983391797,0.6458036984352774
52,high_20nA,cnn1d,703,3000,low_current_only_source_run_heldout,46 47,0.749288,0.7908344595125164,0.20976682109112785,0.13878762739827516,0.6458036984352774
52,high_20nA,residual_tcn,703,3000,low_current_only_source_run_heldout,46 47,0.762408,0.805386659675062,0.21394085768928567,0.1316438799491531,0.6458036984352774
52,high_20nA,shuffled_current_sentinel,703,3000,label_permuted_control,46 47,0.49343,,,,0.6458036984352774
53,high_20nA,ridge,929,3000,low_current_only_source_run_heldout,46 47,0.81248,0.8214402081148706,0.1724529048848212,0.11047218487698153,0.5252960172228203
53,high_20nA,gradient_boosted_trees,929,3000,low_current_only_source_run_heldout,46 47,0.905034,0.9145238683369127,0.1295248928049112,0.07869295631469574,0.5252960172228203
53,high_20nA,mlp,929,3000,low_current_only_source_run_heldout,46 47,0.877154,0.8911992067051857,0.14805908668375217,0.0821411205800189,0.5252960172228203
53,high_20nA,cnn1d,929,3000,low_current_only_source_run_heldout,46 47,0.7386799999999999,0.7919299863862048,0.22828016340334925,0.13665139561748313,0.5252960172228203
53,high_20nA,residual_tcn,929,3000,low_current_only_source_run_heldout,46 47,0.687632,0.7277511019730681,0.24773972766831748,0.1483018874501024,0.5252960172228203
53,high_20nA,shuffled_current_sentinel,929,3000,label_permuted_control,46 47,0.486618,,,,0.5252960172228203
54,high_20nA,ridge,927,3000,low_current_only_source_run_heldout,46 47,0.8001280000000001,0.8203407068442894,0.1816767738822328,0.11819751902810482,0.49083063646170444
54,high_20nA,gradient_boosted_trees,927,3000,low_current_only_source_run_heldout,46 47,0.9058,0.9211838101747052,0.1270764007316407,0.0779894775661358,0.49083063646170444
54,high_20nA,mlp,927,3000,low_current_only_source_run_heldout,46 47,0.905004,0.9161918187567912,0.11690195067911305,0.08587998355919399,0.49083063646170444
54,high_20nA,cnn1d,927,3000,low_current_only_source_run_heldout,46 47,0.753956,0.8036858172545026,0.20296889917325317,0.13570065708635945,0.49083063646170444
54,high_20nA,residual_tcn,927,3000,low_current_only_source_run_heldout,46 47,0.752192,0.7912927824598059,0.21057037500311587,0.13876003893143513,0.49083063646170444
54,high_20nA,shuffled_current_sentinel,927,3000,label_permuted_control,46 47,0.536342,,,,0.49083063646170444
55,high_20nA,ridge,950,3000,low_current_only_source_run_heldout,46 47,0.801518,0.7954312639354164,0.1753028663303279,0.12682035793290852,0.5147368421052632
55,high_20nA,gradient_boosted_trees,950,3000,low_current_only_source_run_heldout,46 47,0.9164279999999999,0.926929015139332,0.11464041507317649,0.07679450011333486,0.5147368421052632
55,high_20nA,mlp,950,3000,low_current_only_source_run_heldout,46 47,0.8962439999999999,0.877784412109783,0.13150744323773386,0.0848885441456533,0.5147368421052632
55,high_20nA,cnn1d,950,3000,low_current_only_source_run_heldout,46 47,0.78342,0.8224539577675917,0.18831532919107144,0.1302514037715344,0.5147368421052632
