run,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct
58,b_waveform_extra_trees,34,0.02594925204654206,0.5292729973498899,0.7593726776442038,0.23529411764705882,0.35294117647058826
59,b2_loglinear,9,-0.11706809824204736,0.2851913382310797,0.43780918309919015,0.2222222222222222,0.5555555555555556
59,charge_transfer_ridge,9,-0.11535041332815116,0.33479789198299126,0.455590684788947,0.2222222222222222,0.4444444444444444
59,b_waveform_extra_trees,9,-0.10815591908634097,0.2651460822181334,0.4230434800669059,0.2222222222222222,0.6666666666666666
60,b2_loglinear,10,1.4204703137626988,1.8935558425384207,2.9798906910562653,0.1,0.1
60,charge_transfer_ridge,10,1.3398360413628767,1.9006684108222718,2.9778071195743254,0.1,0.1
60,b_waveform_extra_trees,10,1.2836412042806171,1.909081669135116,2.9444401425213744,0.1,0.1
61,b2_loglinear,6,-0.06265097341463571,0.5334110123677279,1.2069609521481395,0.16666666666666666,0.6666666666666666
61,charge_transfer_ridge,6,-0.05606894884222258,0.6542744586755159,1.1761214011464,0.16666666666666666,0.5
61,b_waveform_extra_trees,6,-0.07233098198835497,0.45602273899742696,1.127830688322746,0.16666666666666666,0.5
62,b2_loglinear,8,0.18262168400473625,0.44144987817996206,0.7088506078906905,0.25,0.5
62,charge_transfer_ridge,8,0.16049537470898628,0.4415927134388456,0.7072644126566803,0.25,0.5
62,b_waveform_extra_trees,8,0.230176893988285,0.45359698261296494,0.7191500115369364,0.0,0.375
63,b2_loglinear,39,-0.08016196787210449,0.2457204604634381,0.42077737122566666,0.2564102564102564,0.6923076923076923
63,charge_transfer_ridge,39,-0.07693756612521782,0.2440989981486588,0.42957681334163117,0.23076923076923078,0.6923076923076923
63,b_waveform_extra_trees,39,-0.07957310157827838,0.2360006520803478,0.41755528983668144,0.20512820512820512,0.6923076923076923
64,b2_loglinear,35,0.10048499362849692,0.7476500495448367,0.8823609473773577,0.2,0.4857142857142857
64,charge_transfer_ridge,35,0.10462878585822664,0.7479525356095175,0.886151019226259,0.2,0.45714285714285713
64,b_waveform_extra_trees,35,0.08921393730792763,0.7405296389703055,0.8799447363906072,0.22857142857142856,0.45714285714285713
65,b2_loglinear,13,0.060004427142897984,0.50295349850311,0.6532125303029904,0.07692307692307693,0.5384615384615384
65,charge_transfer_ridge,13,0.05927781282164913,0.5131493114180758,0.6578798682823617,0.07692307692307693,0.5384615384615384
65,b_waveform_extra_trees,13,0.05727593193515125,0.4891049845017688,0.6322763427242302,0.23076923076923078,0.5384615384615384
