method,delay_samples,scale_bin,n,n_injected,roc_auc,average_precision,fixed_95_clean_rejection,real_minus_shuffled_auc,frontier_pass,fit_delay_bias_samples,fit_delay_rms_samples,fit_failure_rate
fit-output logistic calibration,6,mid,62,31,0.651404786680541,0.6337249094916009,0.16129032258064516,0.15972944849115495,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
fit-plus-shape-residual ExtraTrees,2,high,60,30,0.9061111111111111,0.882818136871585,0.5666666666666667,0.43166666666666664,False,1.6363636363636365,2.467976720090587,0.2666666666666667
fit-plus-shape-residual ExtraTrees,2,low,82,41,0.7227840571088638,0.7432694645262692,0.2682926829268293,0.22724568709101733,False,2.230769230769231,2.8419928002940256,0.36585365853658536
fit-plus-shape-residual ExtraTrees,2,mid,76,38,0.8933518005540166,0.8953064861015387,0.5,0.43005540166204986,False,1.3125,2.091650066335189,0.1578947368421053
fit-plus-shape-residual ExtraTrees,3,high,92,46,0.9565217391304348,0.9249069202993203,0.8913043478260869,0.49432892249527416,True,0.3157894736842105,1.3377121081198773,0.17391304347826086
fit-plus-shape-residual ExtraTrees,3,low,94,47,0.7754640108646447,0.777423804426216,0.2978723404255319,0.2770484382073336,False,1.3142857142857143,2.138089935299395,0.25531914893617025
fit-plus-shape-residual ExtraTrees,3,mid,90,45,0.9209876543209876,0.9340951370636641,0.7333333333333333,0.4044444444444444,False,0.8571428571428571,1.6903085094570331,0.2222222222222222
fit-plus-shape-residual ExtraTrees,4,high,74,37,0.9287801314828342,0.9400882669430193,0.7837837837837838,0.5120525931336742,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
fit-plus-shape-residual ExtraTrees,4,low,68,34,0.7828719723183392,0.7997522098462652,0.38235294117647056,0.2517301038062284,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
fit-plus-shape-residual ExtraTrees,4,mid,66,33,0.8581267217630854,0.8743688067149629,0.5757575757575758,0.3870523415977961,False,0.17391304347826086,1.285369173834303,0.303030303030303
fit-plus-shape-residual ExtraTrees,5,high,82,41,0.8950029744199882,0.8922234726812894,0.5853658536585366,0.42504461629982165,False,0.03225806451612903,0.7405316311773545,0.24390243902439024
fit-plus-shape-residual ExtraTrees,5,low,78,39,0.6771860618014465,0.7165140070900803,0.2564102564102564,0.12557527942143332,False,-0.4583333333333333,1.5138251770487459,0.3846153846153846
fit-plus-shape-residual ExtraTrees,5,mid,72,36,0.841820987654321,0.8493923599102119,0.5,0.36728395061728397,False,-0.3548387096774194,1.2572371141874243,0.13888888888888884
fit-plus-shape-residual ExtraTrees,6,high,88,44,0.8610537190082644,0.8524739054989414,0.4318181818181818,0.4808884297520661,False,-0.95,1.70293863659264,0.09090909090909094
fit-plus-shape-residual ExtraTrees,6,low,74,37,0.7085463842220598,0.7097862529968557,0.1891891891891892,0.23886048210372524,False,-0.3181818181818182,0.9293203772845852,0.4054054054054054
fit-plus-shape-residual ExtraTrees,6,mid,62,31,0.763267429760666,0.6741293796880721,0.06451612903225806,0.2715920915712799,False,-0.8333333333333334,1.509230856356236,0.4193548387096774
gradient-boosted trees,2,high,60,30,0.8788888888888888,0.88578568158965,0.5,0.4044444444444444,False,1.6363636363636365,2.467976720090587,0.2666666666666667
gradient-boosted trees,2,low,82,41,0.7468768590124926,0.7193887316809798,0.1951219512195122,0.25133848899464606,False,2.230769230769231,2.8419928002940256,0.36585365853658536
gradient-boosted trees,2,mid,76,38,0.8621883656509696,0.846927013595673,0.5263157894736842,0.3988919667590028,False,1.3125,2.091650066335189,0.1578947368421053
gradient-boosted trees,3,high,92,46,0.969281663516068,0.9526569898140133,0.9782608695652174,0.5070888468809074,True,0.3157894736842105,1.3377121081198773,0.17391304347826086
gradient-boosted trees,3,low,94,47,0.7933454051607062,0.7877619617052743,0.2765957446808511,0.2949298325033951,False,1.3142857142857143,2.138089935299395,0.25531914893617025
gradient-boosted trees,3,mid,90,45,0.9229629629629629,0.9326901509695944,0.8,0.40641975308641964,True,0.8571428571428571,1.6903085094570331,0.2222222222222222
gradient-boosted trees,4,high,74,37,0.9338933528122717,0.9450246602707566,0.7837837837837838,0.5171658144631117,False,0.3333333333333333,1.1902380714238083,0.3513513513513513
gradient-boosted trees,4,low,68,34,0.846885813148789,0.8736450056161555,0.6470588235294118,0.3157439446366782,False,-0.10714285714285714,1.3228756555322954,0.17647058823529416
gradient-boosted trees,4,mid,66,33,0.8673094582185491,0.8860834211505716,0.5757575757575758,0.39623507805325986,False,0.17391304347826086,1.285369173834303,0.303030303030303
