cell,negative_rows,positive_rows,matched_pairs
31|0|1|0|0|0|2|1|1|2|1,17,0,0
31|0|1|0|0|0|2|1|1|2|2,2,0,0
31|0|1|0|0|0|2|1|1|2|3,2,0,0
31|0|1|0|0|0|2|1|1|2|4,8,0,0
31|0|1|0|0|0|2|1|1|2|5,2,0,0
31|0|1|0|0|0|2|1|1|3|0,1,0,0
31|0|1|0|0|0|2|1|1|3|1,31,0,0
31|0|1|0|0|0|2|1|1|3|2,24,0,0
31|0|1|0|0|0|2|1|1|3|3,7,0,0
31|0|1|0|0|0|2|1|1|3|4,5,0,0
31|0|1|0|0|0|2|1|1|4|1,6,0,0
31|0|1|0|0|0|2|1|2|0|0,3,0,0
31|0|1|0|0|0|2|1|2|1|0,2,0,0
31|0|1|0|0|0|2|1|2|1|1,1,0,0
31|0|1|0|0|0|2|1|2|2|0,3,0,0
31|0|1|0|0|0|2|1|2|2|1,12,0,0
31|0|1|0|0|0|2|1|2|2|3,1,0,0
31|0|1|0|0|0|2|1|2|2|4,2,0,0
31|0|1|0|0|0|2|1|2|2|5,4,0,0
31|0|1|0|0|0|2|1|2|3|0,3,0,0
31|0|1|0|0|0|2|1|2|3|1,53,0,0
31|0|1|0|0|0|2|1|2|3|2,18,0,0
31|0|1|0|0|0|2|1|2|3|3,7,0,0
31|0|1|0|0|0|2|1|2|3|4,5,0,0
31|0|1|0|0|0|2|1|2|4|1,3,0,0
31|0|1|0|0|0|2|1|3|0|0,1,0,0
31|0|1|0|0|0|2|1|3|1|0,3,0,0
31|0|1|0|0|0|2|1|3|2|0,4,0,0
31|0|1|0|0|0|2|1|3|2|1,15,0,0
31|0|1|0|0|0|2|1|3|2|2,3,0,0
31|0|1|0|0|0|2|1|3|2|3,1,0,0
31|0|1|0|0|0|2|1|3|2|4,6,0,0
31|0|1|0|0|0|2|1|3|2|5,4,0,0
31|0|1|0|0|0|2|1|3|3|0,2,0,0
31|0|1|0|0|0|2|1|3|3|1,26,0,0
31|0|1|0|0|0|2|1|3|3|2,12,0,0
31|0|1|0|0|0|2|1|3|3|3,4,0,0
31|0|1|0|0|0|2|1|3|3|4,9,0,0
31|0|1|0|0|0|2|1|3|4|1,2,0,0
31|0|1|0|0|0|2|1|4|0|0,2,0,0
31|0|1|0|0|0|2|1|4|0|5,1,0,0
31|0|1|0|0|0|2|1|4|1|0,1,0,0
31|0|1|0|0|0|2|1|4|1|5,1,0,0
31|0|1|0|0|0|2|1|4|2|0,6,0,0
31|0|1|0|0|0|2|1|4|2|1,20,0,0
31|0|1|0|0|0|2|1|4|2|2,1,0,0
31|0|1|0|0|0|2|1|4|2|4,4,0,0
31|0|1|0|0|0|2|1|4|2|5,6,0,0
31|0|1|0|0|0|2|1|4|3|0,3,0,0
31|0|1|0|0|0|2|1|4|3|1,48,0,0
31|0|1|0|0|0|2|1|4|3|2,19,0,0
31|0|1|0|0|0|2|1|4|3|3,7,0,0
31|0|1|0|0|0|2|1|4|3|4,10,0,0
31|0|1|0|0|0|2|1|4|4|1,5,0,0
31|0|1|0|0|0|2|1|5|0|0,1,0,0
31|0|1|0|0|0|2|1|5|2|0,1,0,0
31|0|1|0|0|0|2|1|5|2|1,11,0,0
31|0|1|0|0|0|2|1|5|2|2,1,0,0
31|0|1|0|0|0|2|1|5|2|3,1,0,0
31|0|1|0|0|0|2|1|5|2|4,4,0,0
31|0|1|0|0|0|2|1|5|2|5,5,0,0
31|0|1|0|0|0|2|1|5|3|0,1,0,0
31|0|1|0|0|0|2|1|5|3|1,35,0,0
31|0|1|0|0|0|2|1|5|3|2,17,0,0
