window_mask,method,heldout_run,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
full_18_samples,traditional_template_likelihood,62,0.7307922840065156,0.703922495274102,0.7866666666666666,0.9523809523809523,0.6779661016949152,0.7861904761904761,-3.020040677121636,11.346699699687646,0.275,0.5652173913043478,0.15217391304347827,-0.056769981131984795,0.08490904993594883,92,46
full_18_samples,traditional_template_likelihood,64,0.6619983277591973,0.6068052930056711,0.7679164689131466,0.8775510204081632,0.7166666666666667,0.7411010915994305,-2.817202599246875,9.466605790160001,0.21875,0.6521739130434783,0.10869565217391304,-0.036593908049982,0.08582145395406017,92,46
full_18_samples,traditional_template_likelihood,65,0.6190382081686429,0.5949905482041589,0.7816635160680528,0.8913043478260869,0.6721311475409836,0.7282608695652173,-0.5209472395585557,9.7626604749874,0.15,0.782608695652174,0.021739130434782608,-0.030725380206024118,0.13749961306051692,92,46
late_tail_samples_12_17,1d_cnn,58,0.5946319776667384,0.6696597353497163,0.4186159844054581,0.0,0.0,0.5,-3.1930381705412536,19.306633114384645,0.43478260869565216,0.0,0.9782608695652174,-0.06389535094936732,0.125385391273722,92,46
late_tail_samples_12_17,1d_cnn,60,0.5117035957255806,0.5028355387523629,0.42742316784869977,0.0,0.0,0.5,-7.8059170192331395,18.171937781040768,0.5108695652173914,0.0,0.9782608695652174,-0.018092752028288,0.1752618625598631,92,46
late_tail_samples_12_17,1d_cnn,62,0.5396401953467118,0.5855387523629489,0.4,0.0,0.0,0.5,-0.531912149469953,21.87619665155156,0.5652173913043478,0.0,0.9565217391304348,-0.12348248062725214,0.13104889966267558,92,46
late_tail_samples_12_17,1d_cnn,64,0.6375390632642196,0.6469754253308128,0.5287138111058377,0.0,0.0,0.5,-2.2538823962872634,19.021353208862504,0.4891304347826087,0.0,0.9565217391304348,-0.08477480708202556,0.1860466208998188,92,46
late_tail_samples_12_17,1d_cnn,65,0.6777194298352268,0.696124763705104,0.5474952741020794,0.0,0.0,0.5,-4.909749703939363,17.24375014364547,0.44565217391304346,0.0,0.9782608695652174,-0.045216234977013034,0.2170572027871588,92,46
late_tail_samples_12_17,compact_sequence_residual,58,0.6893354329015928,0.7424385633270322,0.8304093567251463,0.9210526315789473,0.6730769230769231,0.8031189083820662,1.3243010829513935,13.57690151442349,0.30303030303030304,0.2826086956521739,0.3695652173913043,-0.04436756824824073,0.06457748211929083,92,46
late_tail_samples_12_17,compact_sequence_residual,60,0.6961394251229305,0.7117202268431001,0.8260047281323877,0.9333333333333333,0.75,0.8177304964539007,-5.143512631506364,13.097844539228793,0.3064516129032258,0.32608695652173914,0.2608695652173913,-0.018503978135239487,0.1034776449113744,92,46
