method,subtype,metric,ci_low,ci_high,n_boot_valid
mlp,tail_recovery_dropout,secondary_fraction_mean_high_minus_low,0.011691136658191681,0.025077404081821443,73
mlp,tail_recovery_dropout,timing_tail_gt5_rate_high_minus_low,-0.07441860465116282,0.0,73
ridge,early_sample_offset,charge_bias_abs_mean_high_minus_low,0.004617565870285034,0.05748183727264405,73
ridge,early_sample_offset,charge_bias_abs_res68_high_minus_low,0.08487860870361327,0.1267265510559082,73
ridge,early_sample_offset,downstream_topology_rate_high_minus_low,0.024711634840922158,0.04605734767025091,73
ridge,early_sample_offset,dropout_harm_rate_high_minus_low,-0.050959528076463534,0.0019457841026799278,73
ridge,early_sample_offset,prevalence_within_method_current_rows_high_minus_low,0.8587209810906299,1.0,100
ridge,early_sample_offset,secondary_fraction_mean_high_minus_low,-0.011458583921194077,-0.005930407717823982,73
ridge,early_sample_offset,timing_tail_gt5_rate_high_minus_low,-0.07284385838214709,-0.022336121955753838,73
ridge,nominal_baseline_excursion,charge_bias_abs_mean_high_minus_low,,,0
ridge,nominal_baseline_excursion,charge_bias_abs_res68_high_minus_low,,,0
ridge,nominal_baseline_excursion,downstream_topology_rate_high_minus_low,,,0
ridge,nominal_baseline_excursion,dropout_harm_rate_high_minus_low,,,0
ridge,nominal_baseline_excursion,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
ridge,nominal_baseline_excursion,secondary_fraction_mean_high_minus_low,,,0
ridge,nominal_baseline_excursion,timing_tail_gt5_rate_high_minus_low,,,0
ridge,peak_phase_late,charge_bias_abs_mean_high_minus_low,,,0
ridge,peak_phase_late,charge_bias_abs_res68_high_minus_low,,,0
ridge,peak_phase_late,downstream_topology_rate_high_minus_low,,,0
ridge,peak_phase_late,dropout_harm_rate_high_minus_low,,,0
ridge,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
ridge,peak_phase_late,secondary_fraction_mean_high_minus_low,,,0
ridge,peak_phase_late,timing_tail_gt5_rate_high_minus_low,,,0
ridge,pretrigger_slope,charge_bias_abs_mean_high_minus_low,-0.0028624355792999266,0.05235621929168703,73
ridge,pretrigger_slope,charge_bias_abs_res68_high_minus_low,-0.024609470367431656,0.026702407836914112,73
ridge,pretrigger_slope,downstream_topology_rate_high_minus_low,0.03372938554600446,0.0530091059602649,73
ridge,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.17987920621225195,-0.12354339557399721,73
ridge,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8636320289901142,1.0,100
ridge,pretrigger_slope,secondary_fraction_mean_high_minus_low,0.011703947652131319,0.017082119453698398,73
ridge,pretrigger_slope,timing_tail_gt5_rate_high_minus_low,-0.024555555555555553,0.07356456526833839,73
ridge,rising_edge_distortion,charge_bias_abs_mean_high_minus_low,0.02286760210990906,0.08266647458076477,73
ridge,rising_edge_distortion,charge_bias_abs_res68_high_minus_low,0.034803321838378906,0.0738695068359375,73
ridge,rising_edge_distortion,downstream_topology_rate_high_minus_low,0.02435666698241293,0.06183549783549784,73
ridge,rising_edge_distortion,dropout_harm_rate_high_minus_low,-0.37909735654416504,-0.3054218766417989,73
ridge,rising_edge_distortion,prevalence_within_method_current_rows_high_minus_low,0.8898925619834711,1.0,100
ridge,rising_edge_distortion,secondary_fraction_mean_high_minus_low,-0.009935522079467773,0.00473442077636719,73
ridge,rising_edge_distortion,timing_tail_gt5_rate_high_minus_low,0.15987887239220186,0.19988788460204812,73
ridge,tail_recovery_dropout,charge_bias_abs_mean_high_minus_low,0.09086270332336426,0.1467453956604004,73
ridge,tail_recovery_dropout,charge_bias_abs_res68_high_minus_low,0.09089174270629885,0.14942024612426758,73
ridge,tail_recovery_dropout,downstream_topology_rate_high_minus_low,0.0,0.12580645161290324,73
ridge,tail_recovery_dropout,dropout_harm_rate_high_minus_low,0.09540391755217001,0.26983682983683,73
ridge,tail_recovery_dropout,prevalence_within_method_current_rows_high_minus_low,0.847276688453159,1.0,100
ridge,tail_recovery_dropout,secondary_fraction_mean_high_minus_low,0.017980656027793883,0.03290446847677231,73
ridge,tail_recovery_dropout,timing_tail_gt5_rate_high_minus_low,-0.07252747252747249,-0.007476635514018666,73
temporal_gate_cnn_new,early_sample_offset,charge_bias_abs_mean_high_minus_low,-0.0004994511604309082,0.0871544599533081,73
temporal_gate_cnn_new,early_sample_offset,charge_bias_abs_res68_high_minus_low,-0.11130399703979492,-0.04039531326293949,73
temporal_gate_cnn_new,early_sample_offset,downstream_topology_rate_high_minus_low,0.013196313443814634,0.05371090620402337,73
temporal_gate_cnn_new,early_sample_offset,dropout_harm_rate_high_minus_low,0.0,0.0,73
temporal_gate_cnn_new,early_sample_offset,prevalence_within_method_current_rows_high_minus_low,0.8578946283830196,1.0,100
temporal_gate_cnn_new,early_sample_offset,secondary_fraction_mean_high_minus_low,-0.0002169598825275898,0.0011383118573576215,73
temporal_gate_cnn_new,early_sample_offset,timing_tail_gt5_rate_high_minus_low,0.008657830304171768,0.02915553346175356,73
temporal_gate_cnn_new,nominal_baseline_excursion,charge_bias_abs_mean_high_minus_low,,,0
temporal_gate_cnn_new,nominal_baseline_excursion,charge_bias_abs_res68_high_minus_low,,,0
temporal_gate_cnn_new,nominal_baseline_excursion,downstream_topology_rate_high_minus_low,,,0
temporal_gate_cnn_new,nominal_baseline_excursion,dropout_harm_rate_high_minus_low,,,0
temporal_gate_cnn_new,nominal_baseline_excursion,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
temporal_gate_cnn_new,nominal_baseline_excursion,secondary_fraction_mean_high_minus_low,,,0
temporal_gate_cnn_new,nominal_baseline_excursion,timing_tail_gt5_rate_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,charge_bias_abs_mean_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,charge_bias_abs_res68_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,downstream_topology_rate_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,dropout_harm_rate_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
temporal_gate_cnn_new,peak_phase_late,secondary_fraction_mean_high_minus_low,,,0
temporal_gate_cnn_new,peak_phase_late,timing_tail_gt5_rate_high_minus_low,,,0
temporal_gate_cnn_new,pretrigger_slope,charge_bias_abs_mean_high_minus_low,0.020045098662376405,0.0639292359352112,73
temporal_gate_cnn_new,pretrigger_slope,charge_bias_abs_res68_high_minus_low,0.02863404846191405,0.058024291992187504,73
temporal_gate_cnn_new,pretrigger_slope,downstream_topology_rate_high_minus_low,0.0,0.03808431196679254,73
temporal_gate_cnn_new,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.1358390613370693,-0.043750931473367304,73
temporal_gate_cnn_new,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8135714285714286,1.0,100
temporal_gate_cnn_new,pretrigger_slope,secondary_fraction_mean_high_minus_low,0.0017418894916772843,0.016658371314406395,73
temporal_gate_cnn_new,pretrigger_slope,timing_tail_gt5_rate_high_minus_low,-0.3130662020905923,-0.042342717043912154,73
temporal_gate_cnn_new,rising_edge_distortion,charge_bias_abs_mean_high_minus_low,0.020493292808532716,0.05807459354400635,73
temporal_gate_cnn_new,rising_edge_distortion,charge_bias_abs_res68_high_minus_low,0.07209712219238286,0.11770405578613284,73
temporal_gate_cnn_new,rising_edge_distortion,downstream_topology_rate_high_minus_low,0.029411764705882353,0.06036668412781561,73
temporal_gate_cnn_new,rising_edge_distortion,dropout_harm_rate_high_minus_low,-0.3136395759717314,-0.17276825061066198,73
temporal_gate_cnn_new,rising_edge_distortion,prevalence_within_method_current_rows_high_minus_low,0.8414772727272727,1.0,100
temporal_gate_cnn_new,rising_edge_distortion,secondary_fraction_mean_high_minus_low,-0.021714437007904052,0.007290658354759219,73
temporal_gate_cnn_new,rising_edge_distortion,timing_tail_gt5_rate_high_minus_low,0.131663911309929,0.18963934426229503,73
temporal_gate_cnn_new,tail_recovery_dropout,charge_bias_abs_mean_high_minus_low,0.010414937138557434,0.08877956271171578,73
temporal_gate_cnn_new,tail_recovery_dropout,charge_bias_abs_res68_high_minus_low,0.0783294792175293,0.12444133758544929,73
temporal_gate_cnn_new,tail_recovery_dropout,downstream_topology_rate_high_minus_low,0.005407854129505366,0.07592592592592595,73
temporal_gate_cnn_new,tail_recovery_dropout,dropout_harm_rate_high_minus_low,-0.2995397933897596,-0.09142205256460886,73
temporal_gate_cnn_new,tail_recovery_dropout,prevalence_within_method_current_rows_high_minus_low,0.858306623931624,1.0,100
temporal_gate_cnn_new,tail_recovery_dropout,secondary_fraction_mean_high_minus_low,0.009055820852518081,0.04132435098290446,73
