run,window,method,n,res68_abs_frac,bias_median_frac,frac_within10
63,s5,gbr_masked,2444,0.1371142315378803,-0.004861276347558934,0.4844517184942717
63,s5,mlp_masked,2444,0.13160572710988203,-0.019949969642706254,0.5372340425531915
63,s6,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,s6,traditional_template,2444,0.28540800602059935,-0.22596870320101128,0.17757774140752863
63,s6,gbr_masked,2444,0.13224598010994254,-0.007549951975132309,0.5171849427168577
63,s6,mlp_masked,2444,0.13293663735696704,-0.022385764717348842,0.5253682487725041
63,s7,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,s7,traditional_template,2444,0.2869214093410166,-0.2287297982835641,0.14811783960720132
63,s7,gbr_masked,2444,0.14397243297724482,-0.01588691076217847,0.47013093289689034
63,s7,mlp_masked,2444,0.1444419931005743,-0.047377414698812396,0.46317512274959083
63,w2_4,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w2_4,traditional_template,2444,3.616077362744628,0.6812578187787786,0.08878887070376432
63,w2_4,gbr_masked,2444,0.14298187719178893,-0.005668374080528983,0.483633387888707
63,w2_4,mlp_masked,2444,0.1458163639810905,-0.009739038400676976,0.46808510638297873
63,w3_5,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w3_5,traditional_template,2444,1.0485616031713185,0.4601804720860106,0.12643207855973815
63,w3_5,gbr_masked,2444,0.09952254598173225,0.009834502219321816,0.6812602291325696
63,w3_5,mlp_masked,2444,0.10772538800725347,-0.013464860646797305,0.6472995090016367
63,w4_6,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w4_6,traditional_template,2444,0.807867888521,0.18012536994947265,0.161620294599018
63,w4_6,gbr_masked,2444,0.09503831624606286,0.010651542962670735,0.7025368248772504
63,w4_6,mlp_masked,2444,0.1131182584262373,0.008715590681915035,0.61620294599018
63,w5_7,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w5_7,traditional_template,2444,0.36811242256126786,-0.06279282577570061,0.176759410801964
63,w5_7,gbr_masked,2444,0.11339430709497819,0.007426520019832674,0.6043371522094927
63,w5_7,mlp_masked,2444,0.12400514486143324,-0.01819575188952135,0.5728314238952537
63,w3_7,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w3_7,traditional_template,2444,0.7831630025500654,0.13833741779570674,0.17553191489361702
63,w3_7,gbr_masked,2444,0.09607131810906358,0.015540544597730969,0.7004909983633388
63,w3_7,mlp_masked,2444,0.09201173001174646,-0.007111842325915038,0.7107201309328969
63,w2_8,observed_ceiling,2444,0.2869214093410166,-0.2287297982835641,0.14648117839607203
63,w2_8,traditional_template,2444,0.3101069334253191,-0.05303859730255771,0.32774140752864156
63,w2_8,gbr_masked,2444,0.07692993979408996,0.017230215095763876,0.7950081833060556
63,w2_8,mlp_masked,2444,0.09474501444574542,0.02310918756700628,0.7086743044189853
65,s3,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,s3,traditional_template,2496,4.052379412720947,-0.07391304382784109,0.08653846153846154
65,s3,gbr_masked,2496,0.14477200651855843,0.01517420920038395,0.47716346153846156
65,s3,mlp_masked,2496,0.14180941188847387,0.002167801468240654,0.4907852564102564
65,s4,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,s4,traditional_template,2496,0.8727211032807289,-0.07759712828855289,0.11698717948717949
65,s4,gbr_masked,2496,0.1404620164908846,0.01267356263498955,0.48717948717948717
65,s4,mlp_masked,2496,0.138384736330751,0.001521438190903916,0.5016025641025641
65,s5,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,s5,traditional_template,2496,0.36663761373725406,-0.08660158405300328,0.13822115384615385
65,s5,gbr_masked,2496,0.13386737120482164,0.011338306768643322,0.5132211538461539
65,s5,mlp_masked,2496,0.12762694697282545,-0.011983467356682088,0.5564903846153846
65,s6,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,s6,traditional_template,2496,0.2714025138272344,-0.20870424547293565,0.18389423076923078
65,s6,gbr_masked,2496,0.12811693482778508,0.016156379427201818,0.5276442307692307
65,s6,mlp_masked,2496,0.1350963623720892,0.018418702413207366,0.5004006410256411
65,s7,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,s7,traditional_template,2496,0.2723832954712376,-0.2135273299252851,0.14583333333333334
65,s7,gbr_masked,2496,0.14035806364577438,0.0100887132008785,0.4807692307692308
65,s7,mlp_masked,2496,0.14057618042132547,0.004922022912324309,0.48838141025641024
65,w2_4,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w2_4,traditional_template,2496,1.636600041908167,-0.001565942602590793,0.10897435897435898
65,w2_4,gbr_masked,2496,0.1395271966805358,0.02329964208705606,0.4963942307692308
65,w2_4,mlp_masked,2496,0.14403643122136764,0.0181057587462615,0.47676282051282054
65,w3_5,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w3_5,traditional_template,2496,0.7773010342897817,0.22517254932160544,0.12860576923076922
65,w3_5,gbr_masked,2496,0.10235292820249983,0.03150403794360297,0.6682692307692307
65,w3_5,mlp_masked,2496,0.1130764321131075,0.027821493469001445,0.6221955128205128
65,w4_6,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w4_6,traditional_template,2496,0.549461017804887,0.0494928468122372,0.1658653846153846
65,w4_6,gbr_masked,2496,0.09305807681803899,0.03371872829982371,0.7211538461538461
65,w4_6,mlp_masked,2496,0.10856315180828606,0.025633724060084167,0.6378205128205128
65,w5_7,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w5_7,traditional_template,2496,0.3551610798374788,-0.07535828630717917,0.16947115384615385
65,w5_7,gbr_masked,2496,0.11094620845272879,0.02121780191432853,0.609375
65,w5_7,mlp_masked,2496,0.11390460922358567,0.0008661835116472484,0.6213942307692307
65,w3_7,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w3_7,traditional_template,2496,0.5296701930399944,0.03759390532497919,0.16947115384615385
65,w3_7,gbr_masked,2496,0.09130599921575899,0.03623704325046957,0.7363782051282052
65,w3_7,mlp_masked,2496,0.106536894744549,0.02368531787200651,0.6458333333333334
65,w2_8,observed_ceiling,2496,0.2727404249385077,-0.2135273299252851,0.14463141025641027
65,w2_8,traditional_template,2496,0.2766726943942134,-0.06672480976628734,0.34094551282051283
65,w2_8,gbr_masked,2496,0.08196057467521062,0.033475922448640616,0.7844551282051282
65,w2_8,mlp_masked,2496,0.07139833559046317,-0.012256811836494595,0.7964743589743589
