species,ke_MeV,edep_scint_MeV,arrival_readout,detected_pe
proton,60.0,27.2881,882,293
proton,60.0,27.8851,952,282
proton,60.0,31.0863,1048,305
proton,60.0,27.9064,961,291
proton,60.0,27.5887,939,307
proton,60.0,27.6537,956,301
proton,60.0,27.0476,906,248
proton,60.0,28.7890,930,291
proton,60.0,28.0963,976,289
proton,60.0,27.2491,888,259
proton,60.0,28.3403,961,291
proton,60.0,27.6311,888,274
proton,60.0,28.3801,927,245
proton,60.0,27.1155,991,309
proton,60.0,27.0962,969,319
proton,60.0,26.9734,947,324
proton,60.0,26.9609,894,267
proton,60.0,28.0458,939,285
proton,60.0,28.1004,893,289
proton,60.0,26.6519,905,257
proton,60.0,27.2562,969,291
proton,60.0,28.5044,969,325
proton,60.0,27.8179,962,271
proton,60.0,34.3726,547,176
proton,60.0,48.8591,1124,346
proton,60.0,26.8995,895,276
proton,60.0,26.8523,905,258
proton,60.0,26.8975,907,288
proton,60.0,28.2666,982,296
proton,60.0,35.5917,1180,343
proton,60.0,27.3665,912,279
proton,60.0,28.6516,950,281
proton,60.0,27.2348,983,295
proton,60.0,26.8637,883,257
proton,60.0,27.1326,946,311
proton,60.0,27.2257,925,294
proton,60.0,27.1123,867,263
proton,60.0,27.5421,953,263
proton,60.0,28.3101,946,285
proton,60.0,27.1937,996,281
proton,60.0,27.0103,890,287
proton,60.0,27.0111,852,239
proton,60.0,27.5912,909,271
proton,60.0,28.6798,975,292
proton,60.0,27.7864,916,273
proton,60.0,27.4091,928,307
proton,60.0,30.1464,1004,307
proton,60.0,27.3293,969,281
proton,60.0,27.4491,919,274
proton,60.0,26.7843,899,279
proton,60.0,26.5304,878,270
proton,60.0,27.4170,965,300
proton,60.0,28.1124,930,290
proton,60.0,52.7253,1065,325
proton,60.0,28.8468,928,299
proton,60.0,27.8753,863,251
proton,60.0,27.2765,911,264
proton,60.0,26.9854,953,268
proton,60.0,26.4854,892,255
proton,60.0,27.4904,926,264
proton,60.0,27.8209,921,298
proton,60.0,27.9902,918,289
proton,60.0,28.1011,973,302
proton,60.0,52.7258,1076,333
proton,60.0,26.8750,913,276
proton,60.0,27.5822,928,274
proton,60.0,28.2930,974,289
proton,60.0,26.8057,908,281
proton,60.0,27.5162,918,271
proton,60.0,26.8921,901,309
proton,60.0,27.1939,911,269
proton,60.0,27.6218,981,283
proton,60.0,29.5400,1043,318
proton,60.0,28.7673,942,296
proton,60.0,28.3005,985,318
proton,60.0,27.5375,979,304
proton,60.0,27.9586,981,293
proton,60.0,27.5257,965,287
proton,60.0,27.0798,965,291
proton,60.0,27.1786,957,306
proton,60.0,28.3895,837,249
proton,60.0,27.0255,932,265
proton,60.0,27.2684,950,297
proton,60.0,27.4755,931,268
proton,60.0,52.7258,1099,343
proton,60.0,27.8567,974,303
proton,60.0,30.1526,1076,313
proton,60.0,27.4593,945,279
proton,60.0,27.9544,959,275
proton,60.0,26.9149,892,261
proton,60.0,27.7043,946,279
proton,60.0,27.2220,931,296
proton,60.0,27.5592,967,311
proton,60.0,27.4777,937,287
proton,60.0,29.5868,1005,288
proton,60.0,27.5210,961,280
proton,60.0,27.4857,923,276
proton,60.0,27.4498,932,280
proton,60.0,27.7293,940,287
proton,60.0,27.3084,925,279
proton,60.0,26.6076,881,280
proton,60.0,27.2827,873,260
proton,60.0,28.2827,938,251
proton,60.0,28.0400,897,261
proton,60.0,28.4223,958,298
proton,60.0,26.9284,958,286
proton,60.0,27.7087,987,296
proton,60.0,28.0427,933,273
proton,60.0,26.3713,889,254
proton,60.0,28.6341,966,286
proton,60.0,27.0052,907,278
proton,60.0,27.4786,968,297
proton,60.0,27.0799,914,282
proton,60.0,27.7355,874,264
proton,60.0,27.6286,932,260
proton,60.0,27.5223,936,295
proton,60.0,50.1129,1005,269
proton,60.0,27.8054,997,314
proton,60.0,27.1225,946,283
proton,60.0,26.8426,882,249
proton,60.0,52.7259,511,153
proton,60.0,27.8739,939,278
proton,60.0,27.2212,961,288
proton,60.0,28.2676,960,319
proton,60.0,27.4719,970,299
proton,60.0,27.7919,981,292
proton,60.0,30.3520,522,165
proton,60.0,26.9484,913,278
proton,60.0,27.5728,937,269
proton,60.0,26.1816,858,238
proton,60.0,27.5841,848,232
proton,60.0,28.1448,966,297
proton,60.0,27.2642,846,254
proton,60.0,42.5397,990,314
proton,60.0,27.6387,900,272
proton,60.0,26.5687,939,291
proton,60.0,27.2376,925,273
proton,60.0,27.2952,880,266
proton,60.0,28.4917,940,276
proton,60.0,28.0930,989,308
proton,60.0,27.2849,939,292
proton,60.0,27.7204,937,279
proton,60.0,26.2649,902,240
proton,60.0,27.8564,942,290
proton,60.0,28.1404,959,284
proton,60.0,26.3916,949,292
proton,60.0,26.5001,876,250
proton,60.0,27.6233,938,268
proton,60.0,29.0428,1024,299
proton,60.0,28.3287,916,276
proton,60.0,27.4831,872,291
proton,60.0,27.0248,916,280
proton,60.0,27.6384,887,269
proton,60.0,27.8919,945,261
proton,60.0,26.8799,853,238
proton,60.0,27.7897,973,303
proton,60.0,26.5985,876,258
proton,60.0,27.2803,955,281
proton,60.0,52.7249,1116,346
proton,60.0,26.1915,882,282
proton,60.0,27.4446,978,294
proton,60.0,27.6584,970,281
proton,60.0,27.7314,907,253
proton,60.0,28.3255,988,305
proton,60.0,28.3337,930,282
proton,60.0,27.0734,892,264
proton,60.0,27.6536,973,279
proton,60.0,27.6145,910,283
proton,60.0,27.7579,922,291
proton,60.0,27.6068,995,317
proton,60.0,26.5673,904,272
proton,60.0,27.2192,914,267
proton,60.0,28.2145,944,287
proton,60.0,26.8436,913,275
proton,60.0,27.9056,944,290
proton,60.0,26.9966,908,293
proton,60.0,27.0652,945,275
proton,60.0,27.3889,900,260
proton,60.0,27.4854,909,281
proton,60.0,27.3145,920,298
proton,60.0,29.8078,993,301
proton,60.0,27.6761,956,292
proton,60.0,31.5734,999,287
proton,60.0,27.9207,935,283
proton,60.0,26.7699,957,276
proton,60.0,28.3474,980,289
proton,60.0,28.1255,998,300
proton,60.0,28.3304,908,269
proton,60.0,28.2137,937,280
proton,60.0,30.5085,842,258
proton,60.0,27.5756,927,296
proton,60.0,28.3294,957,293
