min_score,max_log_chi2_ndf,min_pred_sep_sample,max_pred_amp_ratio,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc
0.0,11.513140920418644,0.0,1.2,1300,514,0.3953846153846154,0.6046153846153847,12.185154189942049,-0.023136157721760427,0.07504871325898474,0.18093385214007782,0.20411297244849141
0.0,11.513140920418644,0.0,1.5,1300,566,0.43538461538461537,0.5646153846153846,12.148972657270214,-0.02324759271086068,0.07489834740319339,0.18197879858657243,0.20411297244849141
0.0,11.513140920418644,0.0,1.8,1300,618,0.4753846153846154,0.5246153846153846,12.329083311065624,-0.02303683834804963,0.07441967681670822,0.1941747572815534,0.20411297244849141
0.0,11.513140920418644,0.0,2.5,1300,618,0.4753846153846154,0.5246153846153846,12.329083311065624,-0.02303683834804963,0.07441967681670822,0.1941747572815534,0.20411297244849141
0.0,11.513140920418644,0.5,1.2,1300,513,0.3946153846153846,0.6053846153846154,12.195800093144351,-0.023181382718850823,0.07515346096703929,0.18128654970760233,0.20411297244849141
0.0,11.513140920418644,0.5,1.5,1300,565,0.4346153846153846,0.5653846153846154,12.158603831744031,-0.023313802702870534,0.07514778918576576,0.18230088495575222,0.20411297244849141
0.0,11.513140920418644,0.5,1.8,1300,617,0.4746153846153846,0.5253846153846153,12.33806389722159,-0.023044315387671637,0.0745075273254214,0.19448946515397084,0.20411297244849141
0.0,11.513140920418644,0.5,2.5,1300,617,0.4746153846153846,0.5253846153846153,12.33806389722159,-0.023044315387671637,0.0745075273254214,0.19448946515397084,0.20411297244849141
0.0,11.513140920418644,0.75,1.2,1300,461,0.3546153846153846,0.6453846153846153,12.171301394824747,-0.02376113088641945,0.07569906303742224,0.18655097613882862,0.20411297244849141
0.0,11.513140920418644,0.75,1.5,1300,509,0.39153846153846156,0.6084615384615385,12.070005884488129,-0.02376113088641945,0.07573216455251813,0.18664047151277013,0.20411297244849141
0.0,11.513140920418644,0.75,1.8,1300,559,0.43,0.57,12.296280426493148,-0.02343866609295189,0.07487466275552732,0.2003577817531306,0.20411297244849141
0.0,11.513140920418644,0.75,2.5,1300,559,0.43,0.57,12.296280426493148,-0.02343866609295189,0.07487466275552732,0.2003577817531306,0.20411297244849141
0.0,11.513140920418644,1.0,1.2,1300,432,0.3323076923076923,0.6676923076923077,12.253922108110622,-0.025237300420810564,0.07568199482031301,0.19212962962962962,0.20411297244849141
0.0,11.513140920418644,1.0,1.5,1300,477,0.3669230769230769,0.6330769230769231,12.173368624810387,-0.02590922009623711,0.07575680529129895,0.1928721174004193,0.20411297244849141
0.0,11.513140920418644,1.0,1.8,1300,525,0.40384615384615385,0.5961538461538461,12.290288084683192,-0.025209698564134745,0.07502752732943227,0.2057142857142857,0.20411297244849141
0.0,11.513140920418644,1.0,2.5,1300,525,0.40384615384615385,0.5961538461538461,12.290288084683192,-0.025209698564134745,0.07502752732943227,0.2057142857142857,0.20411297244849141
0.0,11.513140920418644,1.5,1.2,1300,380,0.2923076923076923,0.7076923076923077,12.801246150804793,-0.025066913056962382,0.07909924992714103,0.21052631578947367,0.20411297244849141
0.0,11.513140920418644,1.5,1.5,1300,413,0.3176923076923077,0.6823076923076923,12.66250657121585,-0.025264902277486387,0.07926345532817813,0.20823244552058112,0.20411297244849141
0.0,11.513140920418644,1.5,1.8,1300,447,0.34384615384615386,0.6561538461538462,12.72188660142229,-0.025209698564134745,0.07619297822072572,0.22371364653243847,0.20411297244849141
0.0,11.513140920418644,1.5,2.5,1300,447,0.34384615384615386,0.6561538461538462,12.72188660142229,-0.025209698564134745,0.07619297822072572,0.22371364653243847,0.20411297244849141
0.0,12.112453581011088,0.0,1.2,1300,652,0.5015384615384615,0.49846153846153846,13.255150953289702,-0.014818891438659236,0.08357590367270604,0.21319018404907975,0.20411297244849141
0.0,12.112453581011088,0.0,1.5,1300,725,0.5576923076923077,0.4423076923076923,13.004590457266907,-0.014868734813699153,0.08371465901807151,0.20689655172413793,0.20411297244849141
0.0,12.112453581011088,0.0,1.8,1300,804,0.6184615384615385,0.38153846153846155,13.07536854519738,-0.014737286816106424,0.08290720728155339,0.22014925373134328,0.20411297244849141
0.0,12.112453581011088,0.0,2.5,1300,804,0.6184615384615385,0.38153846153846155,13.07536854519738,-0.014737286816106424,0.08290720728155339,0.22014925373134328,0.20411297244849141
0.0,12.112453581011088,0.5,1.2,1300,651,0.5007692307692307,0.49923076923076926,13.264440316687882,-0.01476904806361932,0.0836022410378659,0.21351766513056836,0.20411297244849141
0.0,12.112453581011088,0.5,1.5,1300,724,0.556923076923077,0.4430769230769231,13.01275512689185,-0.014818891438659236,0.08377502825025424,0.20718232044198895,0.20411297244849141
