event_id,pair,method,residual_ns
65:682284:1811:257324,B6-B8,cfd20_reference,-0.0600657838508738
65:682664:2163:257704,B4-B6,cfd20_reference,-5.679313584671036
65:682664:2163:257704,B4-B8,cfd20_reference,-5.95122317466442
65:682664:2163:257704,B6-B8,cfd20_reference,-0.27190958999338477
65:682740:2234:257780,B4-B6,cfd20_reference,-3.8077571894916673
65:682740:2234:257780,B4-B8,cfd20_reference,-4.486214285714311
65:682740:2234:257780,B6-B8,cfd20_reference,-0.6784570962226439
65:682871:2356:257911,B4-B6,cfd20_reference,-4.150043074529627
65:682871:2356:257911,B4-B8,cfd20_reference,-4.576664784187166
65:682871:2356:257911,B6-B8,cfd20_reference,-0.4266217096575389
65:683474:2923:258514,B4-B6,cfd20_reference,-4.30708502259256
65:683474:2923:258514,B4-B8,cfd20_reference,-5.0565101402403485
65:683474:2923:258514,B6-B8,cfd20_reference,-0.7494251176477889
65:683541:2987:258581,B4-B6,cfd20_reference,-6.527889713953638
65:683541:2987:258581,B4-B8,cfd20_reference,-4.59775840729403
65:683541:2987:258581,B6-B8,cfd20_reference,1.9301313066596073
65:684986:4332:260026,B4-B6,cfd20_reference,-7.604990215924424
65:684986:4332:260026,B4-B8,cfd20_reference,-7.188473617503831
65:684986:4332:260026,B6-B8,cfd20_reference,0.41651659842059274
65:685607:4902:260647,B4-B6,cfd20_reference,-2.0361546588737767
65:685607:4902:260647,B4-B8,cfd20_reference,-0.649992299313972
65:685607:4902:260647,B6-B8,cfd20_reference,1.3861623595598047
65:685699:4986:260739,B4-B6,cfd20_reference,-5.226306684141534
65:685699:4986:260739,B4-B8,cfd20_reference,-4.396730587036025
65:685699:4986:260739,B6-B8,cfd20_reference,0.8295760971055088
65:686924:6129:261964,B4-B6,cfd20_reference,-2.5383812088930853
65:686924:6129:261964,B4-B8,cfd20_reference,-3.477690018487607
65:686924:6129:261964,B6-B8,cfd20_reference,-0.9393088095945217
65:686970:6168:262010,B4-B6,cfd20_reference,-4.98907750369483
65:686970:6168:262010,B4-B8,cfd20_reference,-5.869498007806158
65:686970:6168:262010,B6-B8,cfd20_reference,-0.8804205041113278
65:649169:4127:224209,B4-B6,template_phase,-4.554367822976765
65:649169:4127:224209,B4-B8,template_phase,-3.8304301157923035
65:649169:4127:224209,B6-B8,template_phase,0.7239377071844615
65:650188:5110:225228,B4-B6,template_phase,-4.554367822976765
65:650188:5110:225228,B4-B8,template_phase,-3.8304301157923035
65:650188:5110:225228,B6-B8,template_phase,0.7239377071844615
65:651341:6223:226381,B4-B6,template_phase,-3.0543678229767792
65:651341:6223:226381,B4-B8,template_phase,-2.830430115792325
65:651341:6223:226381,B6-B8,template_phase,0.22393770718445438
65:651631:6497:226671,B4-B6,template_phase,-2.554367822976772
65:651631:6497:226671,B4-B8,template_phase,-4.830430115792318
65:651631:6497:226671,B6-B8,template_phase,-2.2760622928155456
65:651940:6301:226980,B4-B6,template_phase,-2.054367822976765
65:651940:6301:226980,B4-B8,template_phase,-1.8304301157923177
65:651940:6301:226980,B6-B8,template_phase,0.22393770718444728
65:652313:6632:227353,B4-B6,template_phase,-4.554367822976772
65:652313:6632:227353,B4-B8,template_phase,-5.830430115792311
65:652313:6632:227353,B6-B8,template_phase,-1.2760622928155385
65:652429:6743:227469,B4-B6,template_phase,-4.554367822976765
65:652429:6743:227469,B4-B8,template_phase,-3.8304301157923035
65:652429:6743:227469,B6-B8,template_phase,0.7239377071844615
65:652612:6917:227652,B4-B6,template_phase,-4.554367822976765
65:652612:6917:227652,B4-B8,template_phase,-3.8304301157923035
65:652612:6917:227652,B6-B8,template_phase,0.7239377071844615
65:653933:8154:228973,B4-B6,template_phase,-4.554367822976765
65:653933:8154:228973,B4-B8,template_phase,-3.8304301157923035
65:653933:8154:228973,B6-B8,template_phase,0.7239377071844615
65:654599:8777:229639,B4-B6,template_phase,-4.554367822976772
65:654599:8777:229639,B4-B8,template_phase,-2.8304301157923177
65:654599:8777:229639,B6-B8,template_phase,1.7239377071844544
65:655258:9389:230298,B4-B6,template_phase,-4.054367822976772
65:655258:9389:230298,B4-B8,template_phase,-2.8304301157923106
65:655258:9389:230298,B6-B8,template_phase,1.2239377071844615
65:655456:9566:230496,B4-B6,template_phase,-7.054367822976765
65:655456:9566:230496,B4-B8,template_phase,-4.830430115792318
65:655456:9566:230496,B6-B8,template_phase,2.2239377071844473
65:655741:9833:230781,B4-B6,template_phase,-6.554367822976772
65:655741:9833:230781,B4-B8,template_phase,-5.330430115792325
65:655741:9833:230781,B6-B8,template_phase,1.2239377071844473
65:656000:10073:231040,B4-B6,template_phase,-3.554367822976765
65:656000:10073:231040,B4-B8,template_phase,-3.3304301157923177
65:656000:10073:231040,B6-B8,template_phase,0.22393770718444728
