run,method,n,bias_frac,res68_frac,mae_mev
48,gradient_boosted_trees,13175,0.001341497177553278,0.06540463000233672,0.8316390643881721
48,mlp,13175,-0.6883637488681973,0.7624930811567692,9.523814568622196
48,1d_cnn,13175,-0.20451229312961478,0.2899737042820945,3.294275178115325
48,physics_residual_mlp,13175,0.0012210084664071874,0.07254698537892496,0.9729770001502054
49,old_power_law,13921,0.02013112870405571,0.648544589639684,6.754971391881097
49,geant4_birks_lookup,13921,-0.014634146341463395,0.042711564977905334,1.153451841629979
49,ridge,13921,-0.008532706963272695,0.12572938829626307,1.318859846392235
49,gradient_boosted_trees,13921,-0.0007832498276105818,0.06561119539714097,0.8354591672764676
49,mlp,13921,-0.6970931357686686,0.7635771436245828,9.641227720046086
49,1d_cnn,13921,-0.2071601740292134,0.29009716519371287,3.3007542044577938
49,physics_residual_mlp,13921,0.0008920276160848625,0.07221654597069983,0.9695900531003626
50,old_power_law,34254,-0.3966792124169377,0.4466196839499327,8.794898730514264
50,geant4_birks_lookup,34254,-0.030698849726009007,0.041934901066062416,0.9349486581144649
50,ridge,34254,-0.03649631681256085,0.06840631991349151,1.1467648927334122
50,gradient_boosted_trees,34254,-0.025659994435937826,0.04709461083989286,1.0098519036361224
50,mlp,34254,-0.7529212538246656,0.7715209290337521,15.977587046435506
50,1d_cnn,34254,-0.19645016108511354,0.23819481786632188,4.296326449521129
50,physics_residual_mlp,34254,-0.005718798020611341,0.038872960426151126,0.8248147255336391
51,old_power_law,14294,-0.380088663457678,0.44673227955402245,8.495998685198098
51,geant4_birks_lookup,14294,-0.028748818406576684,0.04178651657212351,0.9658901066232533
51,ridge,14294,-0.03197364100823535,0.07279422373776986,1.1756500526011848
51,gradient_boosted_trees,14294,-0.02331503893479207,0.04765726037951569,0.9508836836287035
51,mlp,14294,-0.7515802434497858,0.7715607740026571,15.12690038620863
51,1d_cnn,14294,-0.1945433502335285,0.2393854044555366,4.1249637232428915
51,physics_residual_mlp,14294,-0.002377675703636121,0.04332681002257483,0.8227437640179959
52,old_power_law,6933,-0.38368462621352295,0.4464007139183536,8.554157595755138
52,geant4_birks_lookup,6933,-0.02947136121978145,0.04211362910590765,0.984504483341289
52,ridge,6933,-0.03184749469044412,0.07142880122172027,1.161021971098198
52,gradient_boosted_trees,6933,-0.02299729463549631,0.04717957037133707,0.9689638604020736
52,mlp,6933,-0.751722590995442,0.7697676047435024,15.213540911822072
52,1d_cnn,6933,-0.19313799325021225,0.23943057722460925,4.116201939010631
52,physics_residual_mlp,6933,-0.002856644237567239,0.04368641381022955,0.8557487974807972
53,old_power_law,31382,-0.3671709499128962,0.41997418606674175,8.01170658759029
53,geant4_birks_lookup,31382,-0.03133958011652793,0.03884274125900108,0.7943303335721497
53,ridge,31382,-0.030588866751413167,0.06742382808828272,1.0819617240503439
53,gradient_boosted_trees,31382,-0.022751509419757898,0.03592237039209915,0.7526976428390005
53,mlp,31382,-0.7576694901295893,0.7974136021203785,15.594207425251795
53,1d_cnn,31382,-0.2054184174035764,0.2407233329564008,4.1592922570389685
53,physics_residual_mlp,31382,-0.005339948073680502,0.025236633208386795,0.684224552738597
54,old_power_law,29664,-0.3675749385750613,0.4201371445253344,7.991802199607256
