stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses,heldout_run
B8,monotonic,decreasing,8.060461101247562,1.5691799641248565,1.5691799641248563,376,60
B8,monotonic,decreasing,8.143008679563668,1.5691799641248565,1.5691799641248563,376,60
B8,monotonic,decreasing,8.243414024133449,1.5691799641248565,1.5691799641248563,377,60
B8,monotonic,decreasing,8.36410028358462,1.5691799641248565,1.5691799641248563,376,60
B8,monotonic,decreasing,8.542568497747466,0.06917996412487071,0.06917996412487071,377,60
B4,monotonic,decreasing,7.172808233373557,-4.240246166489399,-4.240246166489398,241,61
B4,monotonic,decreasing,7.394646740650881,-4.240246166489399,-4.240246166489398,242,61
B4,monotonic,decreasing,7.520234556474628,-4.240246166489399,-4.240246166489398,239,61
B4,monotonic,decreasing,7.606635991389843,-4.240246166489399,-4.240246166489398,241,61
B4,monotonic,decreasing,7.677400430514807,-4.240246166489399,-4.240246166489398,240,61
B4,monotonic,decreasing,7.735214797149676,-4.240246166489399,-4.240246166489398,242,61
B4,monotonic,decreasing,7.791109510610028,-4.240246166489399,-4.240246166489398,239,61
B4,monotonic,decreasing,7.839230141330891,-4.240246166489399,-4.240246166489398,242,61
B4,monotonic,decreasing,7.881559917056899,-4.240246166489399,-4.240246166489398,239,61
B4,monotonic,decreasing,7.925518979786926,-4.240246166489399,-4.240246166489398,241,61
B4,monotonic,decreasing,7.978310969867722,-4.240246166489399,-4.240246166489398,241,61
B4,monotonic,decreasing,8.065422330431561,-4.240246166489396,-4.240246166489398,240,61
B6,monotonic,decreasing,7.255944319270571,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,7.463076142634679,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,7.564886596941701,2.7035130270822876,2.7035130270822876,240,61
B6,monotonic,decreasing,7.642524134232902,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,7.710317239250928,2.7035130270822876,2.7035130270822876,240,61
B6,monotonic,decreasing,7.770434241407643,2.7035130270822876,2.7035130270822876,243,61
B6,monotonic,decreasing,7.82344583078426,2.7035130270822876,2.7035130270822876,238,61
B6,monotonic,decreasing,7.872645680692354,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,7.911140717707226,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,7.958052290704026,2.7035130270822876,2.7035130270822876,241,61
B6,monotonic,decreasing,8.014666356804671,2.7035130270822876,2.7035130270822876,240,61
B6,monotonic,decreasing,8.112152990211042,2.7035130270822876,2.7035130270822876,240,61
B8,monotonic,decreasing,7.416378479192928,1.5367331394071186,1.5367331394071189,241,61
B8,monotonic,decreasing,7.729735331385051,1.5367331394071186,1.5367331394071189,241,61
B8,monotonic,decreasing,7.892078421248119,1.5367331394071186,1.5367331394071186,240,61
B8,monotonic,decreasing,7.96693349840484,1.5367331394071186,1.5367331394071186,241,61
B8,monotonic,decreasing,8.028781162487146,1.5367331394071186,1.5367331394071186,241,61
B8,monotonic,decreasing,8.080933765143499,1.5367331394071186,1.5367331394071186,240,61
B8,monotonic,decreasing,8.137834330392552,1.5367331394071186,1.5367331394071186,241,61
B8,monotonic,decreasing,8.203304026795282,1.5367331394071186,1.5367331394071186,240,61
B8,monotonic,decreasing,8.276330925698417,1.5367331394071186,1.5367331394071186,240,61
B8,monotonic,decreasing,8.354144417268406,1.5367331394071186,1.5367331394071186,242,61
B8,monotonic,decreasing,8.452974619089586,1.0367331394071115,1.0367331394071115,239,61
B8,monotonic,decreasing,8.602269363771356,0.03673313940710443,0.03673313940710443,241,61
B4,monotonic,decreasing,7.251699530442051,-4.177762440362606,-4.177762440362606,377,62
B4,monotonic,decreasing,7.498038824082843,-4.177762440362606,-4.177762440362606,377,62
B4,monotonic,decreasing,7.630218513876136,-4.177762440362606,-4.177762440362606,376,62
B4,monotonic,decreasing,7.729075773265065,-4.177762440362606,-4.177762440362606,377,62
B4,monotonic,decreasing,7.810149905664181,-4.177762440362606,-4.177762440362606,377,62
B4,monotonic,decreasing,7.878534196140362,-4.177762440362606,-4.177762440362606,377,62
