accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,geometry,method,uncertainty_threshold,accepted_fraction_ci95,bias_median_frac_ci95,model_energy_proxy_res68_ci95,p04b_charge_propagated_energy_res68_ci95,combined_energy_proxy_res68_ci95,depth_order_violation_rate_ci95,clears_10pct_point,clears_10pct_ci95_high
332852,1.0,-0.025782626806680812,0.06630568052994985,0.44553717141654736,0.4504440191459952,0.0,zero_4cm,traditional_depth_charge_lookup,1.0,"[1.0, 1.0]","[-0.036364984956246106, -0.016690100259814118]","[0.05427164905475047, 0.08007940010446629]","[0.4386020945959755, 0.4473627452054365]","[0.44567881502891277, 0.45125487182464574]","[0.0, 0.0]",False,False
21639,0.06501087570451733,-0.03802987948443948,0.08802747867493305,0.013979668013116437,0.08913062391581662,0.0,zero_4cm,ml_monotonic_hgb,0.05,"[0.04240965363640069, 0.09583716954092207]","[-0.04531121943170938, -0.011122968696960413]","[0.07889631186256262, 0.6109323174399806]","[0.010793975086995054, 0.015440544228666002]","[0.08039302604587448, 0.6110199470576201]","[0.0, 0.0]",True,False
27358,0.08219268623892902,-0.03704409023538308,0.08453161532291814,0.03492845662164826,0.09146360517206925,0.0,zero_4cm,ml_monotonic_hgb,0.075,"[0.053237443138002764, 0.11564897175848234]","[-0.042268327749424336, -0.02685299064636271]","[0.07755597331953828, 0.2522448586840139]","[0.022423031617513144, 0.04104717868535109]","[0.08706469118495062, 0.2532428859905483]","[0.0, 0.0]",True,False
29971,0.09004302212394698,-0.038206994473921764,0.08400099947226185,0.04470958269599802,0.0951583664066866,0.0,zero_4cm,ml_monotonic_hgb,0.1,"[0.05678743184950446, 0.13717684642204808]","[-0.04458420392448667, -0.028740816519125745]","[0.07712114285891292, 0.11160888187856471]","[0.033359297371459304, 0.04887532700480783]","[0.09061440198869719, 0.11767046660516906]","[0.0, 0.0]",True,False
38623,0.11603655678800187,-0.028537842925507612,0.09566203252389716,0.07281084879610009,0.12021915059179093,0.0,zero_4cm,ml_monotonic_hgb,0.125,"[0.07444738915564034, 0.17276442720728125]","[-0.03644321189071832, -0.0027218501778267933]","[0.08380321696430482, 0.26290326893022087]","[0.06784884485443114, 0.07386561386089056]","[0.10907114887208322, 0.27279948326234227]","[0.0, 0.0]",False,False
47439,0.1425228029274272,-0.01425055029758617,0.10986531234408563,0.11892515279385821,0.16190608025489966,0.0,zero_4cm,ml_monotonic_hgb,0.15,"[0.08830043108835846, 0.21936185659615032]","[-0.028568325177241324, 0.04657440291311119]","[0.0906533717150512, 0.2626983137296216]","[0.11008210333955139, 0.12067379175138268]","[0.1426160832756374, 0.28908935030267335]","[0.0, 0.0]",False,False
81338,0.24436686575414898,0.057023543439481,0.1367088889906122,0.16541945778205486,0.21459943462636746,0.0,zero_4cm,ml_monotonic_hgb,0.2,"[0.15998791319174557, 0.35819734337817255]","[0.034097043981173955, 0.08642604106600046]","[0.11336482398591471, 0.18514516502851006]","[0.15802582875943302, 0.16835289281681373]","[0.19448624224499234, 0.2507207098553887]","[0.0, 0.0]",False,False
117758,0.353784865345559,0.03992930349011096,0.11724945139298339,0.19854362457537475,0.23057971444054423,0.0,zero_4cm,ml_monotonic_hgb,0.25,"[0.24912966331493983, 0.47030239713006977]","[0.03145199416481064, 0.04819807701260277]","[0.10318284955374299, 0.13427428723125093]","[0.19046293685431415, 0.2036629626383422]","[0.21897262705065634, 0.24132626346833755]","[0.0, 0.0]",False,False
142587,0.42837958011368416,0.027971315158289798,0.10156959737225169,0.216445531581807,0.23909213967023743,0.0,zero_4cm,ml_monotonic_hgb,0.3,"[0.3345899574833371, 0.5711563095121798]","[0.01808525791718335, 0.03540518436584253]","[0.09082839734119864, 0.11395248317247605]","[0.20376860700439464, 0.22801526144602874]","[0.22792002882723394, 0.24726031019689743]","[0.0, 0.0]",False,False
260780,0.7834713326042806,-0.002449006166716566,0.06538125230586964,0.3525604985203504,0.35857162920398733,0.0,zero_4cm,ml_monotonic_hgb,0.4,"[0.7554746812777922, 0.8204240635273318]","[-0.010356840322226, 0.010786812790241887]","[0.05740002521579449, 0.07961016299064938]","[0.2970563363284379, 0.36283168095619267]","[0.3068944461520731, 0.36730370390315265]","[0.0, 0.0]",False,False
332833,0.9999429175729754,-0.008166778615593652,0.056005218590353574,0.3829455942783428,0.3870192665572948,0.0,zero_4cm,ml_monotonic_hgb,1.0,"[0.9999060975770973, 0.9999712780547478]","[-0.013695010610052719, 0.0002455768112198997]","[0.04971429317717591, 0.0671708274575825]","[0.3651732352894114, 0.38924864935976955]","[0.3718393752915447, 0.39246581904317995]","[0.0, 0.0]",False,False
