action_mask,method,n,runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,ece,ece_ci_low,ece_ci_high,bootstrap_valid
s14g_traditional_accept,control_shuffled_label_hgb,7651,21,0.4789432245851184,0.4068007570666677,0.5427525099489753,0.20611514655675858,0.12584882638385073,0.29152456466472276,0.21595936424709158,0.13798181730226636,0.3031647827787984,0.2846043615908097,0.22656901338061683,0.35608389927001327,300
s14g_new_residual_accept,traditional_charge_depth_logistic,7483,21,0.9568104771303073,0.9208070791023871,0.988111890046758,0.8899834221947439,0.7738691505544557,0.9625544429844758,0.6405038759689923,0.4233890751158656,0.98749863011554,0.07083070080766395,0.05085361872127519,0.11478436895491968,300
s14g_new_residual_accept,ML_ridge_waveform,7483,21,0.9165403305388923,0.8539435737956542,0.9691305051103564,0.7654062481537673,0.5780937387747175,0.9157476898971628,0.5214990138067062,0.32384578080140847,0.7915051309028801,0.08118342817353041,0.057232143204638736,0.16464624711536086,300
s14g_new_residual_accept,ML_gradient_boosted_trees,7483,21,0.9509760827810343,0.9062362522124672,0.9819757403873667,0.875715645347325,0.7577499052094201,0.9530656341088779,0.7050666666666666,0.4633753234989648,0.9526687207114127,0.02421346965899168,0.01720662345660844,0.09024521880094537,300
s14g_new_residual_accept,ML_mlp,7483,21,0.9472020828080138,0.9039132320611473,0.9803985237616266,0.8699308533212396,0.7671778010346514,0.9472800603750897,0.7200435729847494,0.4206307141834175,0.927858103579369,0.0232011879397043,0.010468992064265227,0.09124636271299211,300
s14g_new_residual_accept,NN_1d_cnn,7483,21,0.7619807637031893,0.6322209211898125,0.886252046380031,0.3638914928361071,0.18269029941048207,0.6811517396664172,0.3719752391671356,0.23491298366068986,0.6624850966896824,0.30306556168707177,0.22575604000191524,0.37972442029215314,300
s14g_new_residual_accept,NN_action_gated_residual_ensemble_new,7483,21,0.973847643299412,0.947548555456869,0.9912883119484937,0.9302034276900564,0.8569391324937473,0.9742744351391807,0.8754966887417218,0.6243092011488685,0.9935070727378106,0.024757272550845345,0.013959642718533291,0.057025989931586446,300
s14g_new_residual_accept,control_charge_only,7483,21,0.9556470433195428,0.9163939757513128,0.9861058651310661,0.8849346510822784,0.7873809783493662,0.9621399499788637,0.6361886429258903,0.39497173157082655,0.9817107275068404,0.0687727239392968,0.04972252090271124,0.11128910552173354,300
s14g_new_residual_accept,control_depth_only,7483,21,0.698222266496074,0.6192222822989096,0.7719638863206927,0.3752941156189948,0.21313671469964712,0.5532601695384137,0.3441812028117678,0.19821164320832932,0.5142290801261196,0.2876995169814529,0.22431092661416088,0.3720530898885855,300
s14g_new_residual_accept,control_action_only,7483,21,0.26960643312901644,0.18117934999259513,0.36549091557570257,0.17372942853363837,0.1150439114963778,0.2700437838723884,0.19639982438167716,0.12707589511073583,0.2816329575916956,0.07360782204810354,0.030971333345428554,0.14783181765743036,300
s14g_new_residual_accept,control_run_family_only,7483,21,0.5,0.5,0.5,0.22090070827208338,0.1495072069959549,0.284193101980153,0.22090070827208338,0.14185065299202954,0.29659775282295653,0.2790992917279166,0.2102921661993342,0.3522604440032907,300
s14g_new_residual_accept,control_shuffled_label_hgb,7483,21,0.4649956054743234,0.368063644835284,0.545667327181744,0.20573958069343112,0.12886992678316572,0.2912316051952582,0.21725605762933858,0.14787090479182693,0.2966498314993358,0.2790218238981783,0.2036667234870816,0.36526748105366974,300
p07j_traditional_correct,traditional_charge_depth_logistic,67,11,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,0.03267574497446816,0.013315848160205732,0.05069885034410246,271
p07j_traditional_correct,ML_ridge_waveform,67,11,0.976923076923077,0.9156914893617021,1.0,0.9992898287609826,0.9971384494522741,1.0,1.0,1.0,1.0,0.043129118928891805,0.038859966922937174,0.07463319545695311,259
p07j_traditional_correct,ML_gradient_boosted_trees,67,11,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.01441531696081476,0.00744577882675989,0.022202493630013847,263
p07j_traditional_correct,ML_mlp,67,11,1.0,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,1.0,1.0,0.005011814735358367,0.0027493369794274647,0.007846851101697661,269
p07j_traditional_correct,NN_1d_cnn,67,11,0.9692307692307692,0.8602941176470589,1.0,0.9990456285167824,0.9956590992601535,1.0,1.0,1.0,1.0,0.4268283777272524,0.40331778106741106,0.4618680471846998,272
