heldout_run,method,shuffled_proxy,n_pairs,n_events,n_tail_pairs_before,threshold,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,sigma68_delta_ns,full_rms_before_ns,full_rms_after_ns,auc,average_precision,brier,train_threshold_quantile,train_utility,train_tail_capture,train_efficiency
61,siamese_cnn_meta,False,2799,933,57,0.3976349657197439,0.10039299749910682,0.8996070025008932,0.543859649122807,0.020364415862808145,0.010325655281969817,-0.010038760580838328,1.6969451470464478,1.6270720598055883,-0.0698730872408595,6.264312275363575,3.9477611669969614,0.7596068946984529,0.34989250518965614,0.12050492402509415,0.9,0.5469308431805664,0.5819672131147541,0.8998960859023207
61,siamese_cnn_meta,True,2799,933,57,0.5447291278803893,0.11539835655591282,0.8846016434440872,0.08771929824561403,0.020364415862808145,0.0210016155088853,0.0006371996460771551,1.6969451470464478,1.6898599432504078,-0.007085203796040052,6.264312275363575,6.324689666250961,0.3943785430022905,0.019754416347683126,0.2491837079737843,0.9,0.005947236623189307,0.040983606557377046,0.8998960859023207
62,traditional_quantile,False,2421,807,23,0.9117158977763027,0.10408921933085502,0.895910780669145,0.391304347826087,0.00950020652622883,0.006454587367450438,-0.0030456191587783926,1.685448011531863,1.5592775127879468,-0.12617049874391628,4.387585259011599,3.5401826730033847,0.7271367443884396,0.03550787300967143,0.36504084209809934,0.9,0.2554979473333273,0.2905405405405405,0.8998783051222481
62,traditional_quantile,True,2421,807,23,0.9124903197256333,0.09995869475423379,0.9000413052457662,0.13043478260869565,0.00950020652622883,0.009178522257916476,-0.00032168426831235414,1.685448011531863,1.6818709133745406,-0.0035770981573224336,4.387585259011599,4.580822068201432,0.5658882402001668,0.012596330795509961,0.36525878491071434,0.9,0.05955200138738141,0.0945945945945946,0.8998783051222481
62,ridge,False,2421,807,23,0.4884608358031476,0.1020239570425444,0.8979760429574556,0.5652173913043478,0.00950020652622883,0.004599816007359705,-0.004900390518869125,1.685448011531863,1.5566163473677832,-0.12883166416407987,4.387585259011599,1.757647071415933,0.7505167349602929,0.07076770483307904,0.2126757886356097,0.9,0.44472585761998307,0.4797297297297297,0.8999889368292953
62,ridge,True,2421,807,23,0.502958062117305,0.09624122263527468,0.9037587773647253,0.2608695652173913,0.00950020652622883,0.007769652650822669,-0.0017305538754061609,1.685448011531863,1.5938585797497593,-0.09158943178210377,4.387585259011599,4.548168647501034,0.41411321028393233,0.02403598096730837,0.24863790228351793,0.9,0.24877991167403712,0.28378378378378377,0.8999889368292953
62,gradient_boosted_trees,False,2421,807,23,0.019380158554061104,0.10532837670384139,0.8946716232961586,0.5652173913043478,0.00950020652622883,0.0046168051708217915,-0.004883401355407039,1.685448011531863,1.63418419122255,-0.05126382030931298,4.387585259011599,1.8392129724541693,0.7376799506835406,0.20502834184283095,0.008318737887933858,0.9,0.9244555873497128,0.9594594594594594,0.8999889368292953
62,gradient_boosted_trees,True,2421,807,23,0.023703060990454966,0.10780669144981413,0.8921933085501859,0.13043478260869565,0.00950020652622883,0.009259259259259259,-0.00024094726696957149,1.685448011531863,1.6780629701367844,-0.007385041395078673,4.387585259011599,3.6270892180654704,0.37377162127860175,0.012474765599470665,0.009539820377877336,0.9,0.12715829005241552,0.16216216216216217,0.8999889368292953
62,mlp,False,2421,807,23,0.2391212856551731,0.107393638992152,0.892606361007848,0.13043478260869565,0.00950020652622883,0.00925497454881999,-0.0002452319774088399,1.685448011531863,1.6778583937832514,-0.007589617748611666,4.387585259011599,4.495670976570333,0.3887297385502411,0.009508771239168413,0.04465165243751308,0.9,0.18121234410646958,0.21621621621621623,0.8999889368292953
62,mlp,True,2421,807,23,0.4290132846037607,0.09624122263527468,0.9037587773647253,0.043478260869565216,0.00950020652622883,0.010054844606946984,0.000554638080718154,1.685448011531863,1.7077111771638087,0.022263165631945636,4.387585259011599,4.562289082908074,0.2769699387170468,0.0065452620779980495,0.13164424280556358,0.9,0.019050181944307402,0.05405405405405406,0.8999889368292953
62,cnn1d,False,2421,807,23,0.42680567776557615,0.11771995043370508,0.8822800495662949,0.6521739130434783,0.00950020652622883,0.003745318352059925,-0.005754888174168905,1.685448011531863,1.597969055636581,-0.08747895589528198,4.387585259011599,1.8242083448439328,0.7328208289516626,0.40065127125776917,0.14325137285891912,0.9,0.5055366684307939,0.5405405405405406,0.8999889368292953
62,cnn1d,True,2421,807,23,0.5375440556268718,0.09417596034696406,0.9058240396530359,0.13043478260869565,0.00950020652622883,0.009119927040583675,-0.000380279485645155,1.685448011531863,1.5924323930198643,-0.0930156185119988,4.387585259011599,4.53317753127939,0.296877832976756,0.01652660854981789,0.2441529350166884,0.9,0.04607720897133443,0.08108108108108109,0.8999889368292953
62,siamese_cnn_meta,False,2421,807,23,0.46404520724992393,0.10491532424617926,0.8950846757538208,0.6521739130434783,0.00950020652622883,0.0036917397323488694,-0.005808466793879961,1.685448011531863,1.5909209185139512,-0.09452709301791185,4.387585259011599,1.8076724266866793,0.7602531094752873,0.4380275509235608,0.1362456273565895,0.9,0.5528339657280912,0.5878378378378378,0.8999889368292953
62,siamese_cnn_meta,True,2421,807,23,0.5439435338512066,0.10863279636513837,0.8913672036348617,0.043478260869565216,0.00950020652622883,0.010194624652455977,0.0006944181262271473,1.685448011531863,1.6726499419289014,-0.012798069602961704,4.387585259011599,4.597241189442166,0.2384958479892664,0.012175360849434623,0.2316101732226796,0.9,0.05283396572809119,0.08783783783783784,0.8999889368292953
63,traditional_quantile,False,1110,370,17,0.9134299516908213,0.07117117117117117,0.9288288288288289,0.17647058823529413,0.015315315315315315,0.013579049466537343,-0.0017362658487779722,1.8190125506653212,1.6469739280516689,-0.17203862261365233,6.186312428191332,6.370570995167475,0.7088423658575964,0.05785980985400625,0.34626251306547046,0.9,0.2766544952631909,0.3116883116883117,0.899903381642512
63,traditional_quantile,True,1110,370,17,0.9103478260869565,0.0981981981981982,0.9018018018018018,0.0,0.015315315315315315,0.016983016983016984,0.0016677016677016689,1.8190125506653212,1.8127960459314902,-0.006216504733830952,6.186312428191332,6.488246509570476,0.45855981917012,0.01401450940573586,0.35213311172966705,0.9,0.042922077922077924,0.07792207792207792,0.9
63,ridge,False,1110,370,17,0.48600874428448354,0.0981981981981982,0.9018018018018018,0.4117647058823529,0.015315315315315315,0.00999000999000999,-0.005325305325305325,1.8190125506653212,1.6219665008116877,-0.1970460498536335,6.186312428191332,5.121854304394057,0.6609439750282546,0.05376208762038983,0.2069694705597096,0.9,0.47149350649350646,0.5064935064935064,0.9
