alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals,heldout_run
100.0,10.0,1,2.0439547908377333,2841,62
100.0,10.0,2,2.071017329938508,3399,62
100.0,10.0,-1,1.864153139090293,0,62
100.0,100.0,0,1.4612279281863434,2799,62
100.0,100.0,1,0.9392051132450978,2841,62
100.0,100.0,2,1.042282965670759,3399,62
100.0,100.0,-1,1.1475720023674,0,62
100.0,1000.0,0,1.9888030311568752,2799,62
100.0,1000.0,1,1.218016984348393,2841,62
100.0,1000.0,2,1.3101016155397431,3399,62
100.0,1000.0,-1,1.5056405436816707,0,62
100.0,10000.0,0,2.0875466898915214,2799,62
100.0,10000.0,1,1.2595341992343505,2841,62
100.0,10000.0,2,1.3525840304706291,3399,62
100.0,10000.0,-1,1.5665549731988335,0,62
0.01,1.0,0,2.0592610784173297,2799,63
0.01,1.0,1,1.322323596615827,2841,63
0.01,1.0,2,1.4836063966075441,4710,63
0.01,1.0,-1,1.6217303572135668,0,63
0.01,10.0,0,2.0679010082805833,2799,63
0.01,10.0,1,1.3330115376575384,2841,63
0.01,10.0,2,1.4827696502279784,4710,63
0.01,10.0,-1,1.6278940653887002,0,63
0.01,100.0,0,2.0724754192816572,2799,63
0.01,100.0,1,1.3338137601446916,2841,63
0.01,100.0,2,1.463996970048601,4710,63
0.01,100.0,-1,1.6234287164916499,0,63
0.01,1000.0,0,2.0737940371842063,2799,63
0.01,1000.0,1,1.3307917431397094,2841,63
0.01,1000.0,2,1.4180271568042482,4710,63
0.01,1000.0,-1,1.607537645709388,0,63
0.01,10000.0,0,2.081292398842699,2799,63
