run,method,n,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_within10_frac,time_bias_median_ns,time_abs68_ns,time_full_rms_ns,charge_res68_abs_frac_ci95,time_abs68_ns_ci95,charge_bias_median_frac_ci95,time_bias_median_ns_ci95
48,traditional_template,1986,0.10734148294811918,0.13575003840243158,1.3683202899829987,0.42900302114803623,-0.07472302615689408,0.2625687180345409,1.449012624935885,"[0.13145242783941044, 0.13869788896045565]","[0.24158331095564659, 0.2893938367582746]","[0.10530834882004597, 0.10993607249884559]","[-0.09048948318748407, -0.05251029434463713]"
49,ml_ratio_transfer,2153,0.16087913419691396,0.18676868817828543,1.3547087318197097,0.09150023223409197,0.16877529325232388,0.28882305445108364,1.1816378362130955,"[0.18369132636970856, 0.1892409402273754]","[0.2732061100044448, 0.30456203451715397]","[0.1581865971768662, 0.16388495026691377]","[0.16389741502228822, 0.17123752731669642]"
49,observed_raw,2153,0.10748595118298224,0.13344634659606447,1.2646435033680836,0.4277751973989782,-0.07321147037361442,0.2534382917080231,1.2626866993935055,"[0.13004607906700252, 0.13661571402833592]","[0.23212738564776336, 0.2819221553458973]","[0.1047343083897791, 0.11076887219384136]","[-0.08497766305710916, -0.0561221161764323]"
49,traditional_template,2153,0.10748595118298224,0.13344634659606447,1.26464049482407,0.42823966558290755,-0.0724698131833037,0.2523053301977299,1.2626627536095323,"[0.13090058406909785, 0.13568301388799664]","[0.23194298708168673, 0.2831621453432214]","[0.1052933799578446, 0.11047709023316007]","[-0.08406157859786348, -0.056529030784666486]"
50,ml_ratio_transfer,19489,0.16047024344331134,0.18137281820543014,0.4762485518517365,0.05962337728975319,0.18400894232873455,0.2109132825129916,0.4603851378017575,"[0.18038948825259157, 0.18232214789493212]","[0.20942197777339072, 0.21275139553320574]","[0.15954410706709926, 0.16123232732524276]","[0.18328731495075018, 0.1845506335899369]"
50,observed_raw,19489,0.10400419473148392,0.12443482943355162,0.4331952156815462,0.4551285340448458,-0.05729839550402005,0.156210237581234,0.572010542244724,"[0.12349862771686464, 0.12518432536111565]","[0.15197344461230416, 0.16117785744758192]","[0.10323302589517105, 0.10464940463189316]","[-0.0606445317623141, -0.05427678357931321]"
50,traditional_template,19489,0.10400419473148392,0.1243887930395796,0.433183226410882,0.45584688798809586,-0.05713571489950198,0.15677982756595996,0.5720562142711235,"[0.12344851404330186, 0.12528077675785582]","[0.15314139042708685, 0.16208950016589085]","[0.10323039653723685, 0.10473733655183264]","[-0.06048787811302212, -0.05337552478103725]"
51,ml_ratio_transfer,7247,0.15766734302536667,0.17868001571708478,1.7344996251733493,0.065268386918725,0.17631068622150892,0.21237596458546396,0.5413659164075687,"[0.17717258586515985, 0.17997282337681306]","[0.20971443542613916, 0.2168178187085139]","[0.1563350222813621, 0.15869798981457053]","[0.1751080945305688, 0.17742579096851435]"
51,observed_raw,7247,0.10398445602997848,0.12386048181241052,1.6450738388468578,0.45342900510556094,-0.0633735027842448,0.1652090175493962,0.5682892511201669,"[0.12249578737287828, 0.12525268761380656]","[0.15746761214968263, 0.17453992747246758]","[0.10309357205655266, 0.1051849530013806]","[-0.06888936140831473, -0.058693021742658676]"
51,traditional_template,7247,0.10398445602997848,0.12381567522134412,1.6450710745207158,0.45425693390368427,-0.06311421337444045,0.16528185856019223,0.568301364936442,"[0.12251610646061657, 0.1250258011001256]","[0.15805406162543853, 0.17514419582602836]","[0.1030608929449141, 0.1050773461305706]","[-0.06957591194851176, -0.05819867918301798]"
52,ml_ratio_transfer,3623,0.15325124855505795,0.1757148559281404,1.2095083790340608,0.07728401876897599,0.1736118182643196,0.21052741322591645,0.5546968212699095,"[0.17305582478367404, 0.17747729715237012]","[0.2045316233727725, 0.2204922429578415]","[0.15194184094463817, 0.1547133458566206]","[0.17190545276471852, 0.1748472748620406]"
