heldout_run,model,score_column,flag_column,threshold,n_train,n_heldout,n_tail,n_parameters,average_precision,roc_auc,brier,ece,tail_capture_at_90_clean,clean_acceptance,flagged_fraction,C,learning_rate,hidden
62,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3535528596187175,3013,807,340,0,0.4273415271333631,0.5122055674518202,0.24670036049059013,0.07528589561154142,0.9588235294117647,0.06423982869379015,0.9454770755885997,,,
62,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.5285714285714287,3013,807,340,99,0.8886781982220833,0.9220367804509385,0.11388440074469595,0.0405144225209107,0.788235294117647,0.867237687366167,0.40892193308550184,0.1,,
62,ridge,score_ridge_C1,flag_ridge_C1,0.46875,3013,807,340,99,0.9088010905899628,0.9368213880841416,0.10068731816080273,0.037938630317353866,0.8441176470588235,0.880085653104925,0.4250309789343247,1.0,,
62,ridge,score_ridge_C10,flag_ridge_C10,0.4454545454545454,3013,807,340,99,0.9147935126373418,0.9413874543393376,0.09441176488384218,0.04223862406873313,0.8588235294117647,0.8822269807280514,0.42998760842627015,10.0,,
62,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.20833333333333334,3013,807,340,99,0.8674798984217393,0.9158489734223455,0.12692516007148366,0.09188813111992022,0.8794117647058823,0.7537473233404711,0.5130111524163569,,0.03,
62,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.0056179775280898875,3013,807,340,99,0.8433494448595229,0.9114561027837259,0.1353324622077359,0.12711999935466045,0.9676470588235294,0.6852248394004282,0.5898389095415117,,0.07,
62,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.19658119658119658,3013,807,340,3233,0.9442220272366335,0.9600579418062728,0.07758495219223377,0.02858581381149212,0.9411764705882353,0.8137044967880086,0.5043370508054523,,,32.0
62,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.3,3013,807,340,6465,0.9337855954052411,0.956745182012848,0.08174071146685982,0.023182350228131303,0.9176470588235294,0.8372591006423983,0.48079306071871125,,,64.0
62,cnn1d,score_cnn1d,flag_cnn1d,0.42794568550153295,3013,807,340,1233,0.5205916395961128,0.6637643280010076,0.21218354850818089,0.08408190896291579,0.9411764705882353,0.37044967880085655,0.7608426270136307,,,
62,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.4638585543421736,3013,807,340,2017,0.5812969725370439,0.7331905781584581,0.19390593415775959,0.08677289819191422,0.8794117647058823,0.5331905781584583,0.6406443618339529,,,
63,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3436189334931096,3450,370,163,0,0.4554982984648251,0.5292374262766367,0.25379359579510147,0.11222137860029478,0.9754601226993865,0.0821256038647343,0.9432432432432433,,,
63,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.4055299539170507,3450,370,163,99,0.9184214157613236,0.934086126670816,0.10502569396676294,0.07598837693414037,0.852760736196319,0.8599033816425121,0.4540540540540541,0.1,,
63,ridge,score_ridge_C1,flag_ridge_C1,0.36585365853658536,3450,370,163,99,0.9280170021138268,0.9466376218843544,0.08863115035671293,0.05706085554599708,0.8834355828220859,0.893719806763285,0.4486486486486487,1.0,,
63,ridge,score_ridge_C10,flag_ridge_C10,0.37433155080213903,3450,370,163,99,0.9380122253720602,0.9516760024895528,0.08611110910394817,0.05016298824967613,0.8895705521472392,0.8840579710144928,0.45675675675675675,10.0,,
63,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.25806451612903225,3450,370,163,99,0.8972469580479128,0.9246613911857977,0.1204102385766933,0.07930180945605236,0.8957055214723927,0.7922705314009661,0.5108108108108108,,0.03,
