feature,mean_auc_importance,min_auc_importance,max_auc_importance,stability_std
B6_norm_s12,0.000350358083280568,-0.00034626038781152,0.0015432098765432029,0.0006517401931308915
B6_tail_fraction,0.0003106369035294844,0.0,0.0008526997340732728,0.0003567990543408479
ds_shape_mean_norm_s01,0.00030106132264746954,-0.0007716049382716084,0.0024622960911050845,0.0010238075128176072
B8_peak_sample,0.0002791008376221129,-0.015625,0.010802469135802448,0.007892163337728008
B2_tail_fraction,0.0002763233714263648,0.0,0.0006070065903572147,0.00026476026322891166
B2_peak_sample,0.0002561008452547602,0.0,0.001000307787011434,0.0004051027445892387
B2_norm_s03,0.00025215644270552243,0.0,0.000823794658341967,0.00029886859502622034
ds_shape_mean_peak_sample,0.0002445919952006722,-0.00013007284079091797,0.0010003077870115035,0.00042972646083390805
B2_norm_s07,0.00022557076111271685,-2.029056083108216e-05,0.0006503642039541041,0.0002716422917660591
B2_norm_s14,0.00021936389508413995,-0.0008863650021032343,0.0010772545398584632,0.0007108732373631699
ds_shape_mean_norm_s14,0.00019959942243569427,-0.0017816212551651917,0.0016435354273191954,0.0010731837518091407
B2_norm_s10,0.00018309695929580118,0.0,0.0005985715445175205,0.0002457186904096017
B4_late_fraction,0.00016635694472080402,-0.0006540473991997475,0.0007515319690137023,0.00047800723072318304
B2_norm_s17,0.00015301837211521046,-0.0009233610341642801,0.0009249624234015097,0.0006038540785462674
B8_tail_fraction,0.0001480758436229706,-0.00022799909607429392,0.0008237946583419531,0.0003501711065517665
ds_shape_std_area_over_peak,0.0001190896321186142,-0.010030864197530895,0.0065759047288703465,0.005148577270710911
B2_norm_s09,0.00010178408268863135,-0.0002340521694213643,0.00032299741602068166,0.0002056716656775463
B2_norm_s16,9.653103936371159e-05,-6.760411032989688e-05,0.000520291363163311,0.0002056382684566812
B2_late_fraction,6.505159387930535e-05,0.0,0.00038473376423517336,0.00014197869918333798
B6_norm_s05,3.361252007309801e-05,-0.00017150374483462794,0.0003755783907217203,0.00018653939491687264
B4_tail_fraction,2.80110546173428e-05,-0.0007716049382716084,0.0005771006463527184,0.00047007810150277794
B2_norm_s11,1.8779479408820694e-05,-0.0004232071406585769,0.0003179558330442117,0.00023095626518190933
B2_norm_s08,1.4072902652498276e-05,-0.002314814814814825,0.00130809479839962,0.0011323011565982687
B4_norm_s14,8.405656248481172e-06,-0.0007309941520466795,0.0004842458677686984,0.0003856713839653446
B2_norm_s12,7.784757588560104e-06,-0.00011542012927054368,0.00032299741602069554,0.0001452139184468943
ds_shape_std_final_fraction,0.0,0.0,0.0,0.0
B4_final_fraction,0.0,0.0,0.0,0.0
b2_shape_norm_s11,0.0,0.0,0.0,0.0
ds_shape_mean_final_fraction,0.0,0.0,0.0,0.0
b2_shape_norm_s06,0.0,0.0,0.0,0.0
B6_final_fraction,0.0,0.0,0.0,0.0
B8_final_fraction,0.0,0.0,0.0,0.0
B2_final_fraction,0.0,0.0,0.0,0.0
b2_shape_area_over_peak,0.0,0.0,0.0,0.0
b2_shape_final_fraction,0.0,0.0,0.0,0.0
b2_shape_late_fraction,0.0,0.0,0.0,0.0
b2_shape_max_down_step,0.0,0.0,0.0,0.0
b2_shape_tail_fraction,0.0,0.0,0.0,0.0
b2_shape_norm_s01,0.0,0.0,0.0,0.0
b2_shape_norm_s02,0.0,0.0,0.0,0.0
b2_shape_norm_s03,0.0,0.0,0.0,0.0
b2_shape_norm_s04,0.0,0.0,0.0,0.0
b2_shape_norm_s05,0.0,0.0,0.0,0.0
b2_shape_norm_s00,0.0,0.0,0.0,0.0
b2_shape_norm_s07,0.0,0.0,0.0,0.0
b2_shape_norm_s16,0.0,0.0,0.0,0.0
b2_shape_norm_s09,0.0,0.0,0.0,0.0
b2_shape_norm_s10,0.0,0.0,0.0,0.0
b2_shape_norm_s12,0.0,0.0,0.0,0.0
b2_shape_peak_sample,0.0,0.0,0.0,0.0
b2_shape_norm_s13,0.0,0.0,0.0,0.0
b2_shape_norm_s17,0.0,0.0,0.0,0.0
b2_shape_norm_s14,0.0,0.0,0.0,0.0
b2_shape_norm_s08,0.0,0.0,0.0,0.0
b2_shape_norm_s15,0.0,0.0,0.0,0.0
B6_norm_s02,-1.3774740605408478e-05,-0.0007716049382716084,0.000852203554906214,0.000549845893185462
B8_late_fraction,-8.780443853298061e-05,-0.00041912359810386546,0.00034704287190094607,0.00029099100469198437
B2_norm_s06,-0.00015350055661133725,-0.0007716049382716084,0.0005386272699292732,0.00044401000567299164
B2_norm_s02,-0.00025372624878993485,-0.001538935056940513,0.0,0.0005689797818646676
ds_shape_std_norm_s02,-0.0005085310498920474,-0.0078125,0.0046296296296296086,0.0037095735300334584
ds_shape_mean_norm_s09,-0.0011008739318501093,-0.09375,0.026200369344413763,0.04138242387310455
ds_shape_std_norm_s10,-0.001704411902342648,-0.03125,0.006502000615574141,0.013248073466444459
ds_shape_std_norm_s09,-0.0017781189571716427,-0.03125,0.007716049382716028,0.013288758610454452
B4_norm_s05,-0.0020489444245808675,-0.0546875,0.02006172839506172,0.024114415254754697
B6_norm_s09,-0.002152907187247945,-0.078125,0.02469135802469137,0.03433263468432987
ds_shape_std_norm_s16,-0.0025238294548371454,-0.0390625,0.006944444444444434,0.016285823763099772
ds_shape_mean_norm_s04,-0.004312959738033986,-0.0703125,0.013888888888888867,0.029507941441305103
B8_norm_s09,-0.005953215445131195,-0.0703125,0.013888888888888881,0.028728373371334125
B8_norm_s10,-0.007380632758152602,-0.0625,0.006172839506172825,0.02440245681581093
ds_shape_mean_norm_s11,-0.007729467710897519,-0.078125,0.015432098765432084,0.031495802926495974
B4_norm_s10,-0.0086642523744212,-0.09375,0.019290123456790126,0.0380420453846056
B6_norm_s08,-0.010666053599167993,-0.09375,0.007716049382716042,0.036707777574465764
