max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,method,fold,cv_rmse_ns,n_train_rows,n_val_rows,alpha,note
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,-1,1.8189138412727612,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,0,1.0606793312672491,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,1,2.2156894279432944,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,2,2.0352458173838786,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,-1,1.770538192198141,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,0,1.0648615117231002,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,1,2.2156603381551268,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,2,2.036336673022886,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,-1,1.7722861743003708,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,0,1.0039681075927767,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,1,2.149624658314978,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,2,2.0025874831652084,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,-1,1.7187267496909877,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,0,1.008752895108992,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,1,2.1449804304139146,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,2,2.0123284432278052,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,-1,1.7220205895835707,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,0,0.9893718191773,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,1,2.1268385704127684,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,2,1.9781310161839087,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_run_family,-1,1.698113801924659,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_run_family,0,0.9936750812375306,2514.0,1266.0,,
