mode,family,run,method,n_events,sigma68_ns,n_pair_residuals
b2_heldout,b2_containing,62,cnn1d_shuffled,798,3.213410675377041,2394
b2_heldout,b2_containing,62,event_token_attention,798,2.102096695111787,2394
b2_heldout,b2_containing,62,event_token_attention_shuffled,798,3.637440632492522,2394
b2_heldout,downstream_only,62,base,798,2.8329588920828463,2394
b2_heldout,downstream_only,62,traditional,798,2.011612583247218,2394
b2_heldout,downstream_only,62,ridge,798,1.8229384062311171,2394
b2_heldout,downstream_only,62,ridge_shuffled,798,3.1389509852390596,2394
b2_heldout,downstream_only,62,gradient_boosted_trees,798,2.08800983436476,2394
b2_heldout,downstream_only,62,gradient_boosted_trees_shuffled,798,3.567147487645508,2394
b2_heldout,downstream_only,62,mlp,798,1.865469804719492,2394
b2_heldout,downstream_only,62,mlp_shuffled,798,3.6947309125839736,2394
b2_heldout,downstream_only,62,cnn1d,798,1.795654073276697,2394
b2_heldout,downstream_only,62,cnn1d_shuffled,798,2.8921034281240736,2394
b2_heldout,downstream_only,62,event_token_attention,798,1.7517183360050654,2394
b2_heldout,downstream_only,62,event_token_attention_shuffled,798,2.924564122402114,2394
b2_heldout,all_six,63,base,365,3.7565673884240343,2190
b2_heldout,all_six,63,traditional,365,3.7613030949300317,2190
b2_heldout,all_six,63,ridge,365,3.662604824729165,2190
b2_heldout,all_six,63,ridge_shuffled,365,3.7848079425626415,2190
b2_heldout,all_six,63,gradient_boosted_trees,365,3.8488899161912373,2190
b2_heldout,all_six,63,gradient_boosted_trees_shuffled,365,4.4812465379768085,2190
b2_heldout,all_six,63,mlp,365,3.7820507141510893,2190
b2_heldout,all_six,63,mlp_shuffled,365,4.599718510604751,2190
b2_heldout,all_six,63,cnn1d,365,3.2813831304767533,2190
b2_heldout,all_six,63,cnn1d_shuffled,365,3.649582669181084,2190
b2_heldout,all_six,63,event_token_attention,365,3.2418769654538435,2190
b2_heldout,all_six,63,event_token_attention_shuffled,365,3.9616664738239304,2190
b2_heldout,b2_containing,63,base,365,7.319544538279282,1095
b2_heldout,b2_containing,63,traditional,365,6.844987309036357,1095
b2_heldout,b2_containing,63,ridge,365,6.834035997665163,1095
b2_heldout,b2_containing,63,ridge_shuffled,365,7.173023384820234,1095
b2_heldout,b2_containing,63,gradient_boosted_trees,365,6.577517871261496,1095
b2_heldout,b2_containing,63,gradient_boosted_trees_shuffled,365,7.412473897129485,1095
b2_heldout,b2_containing,63,mlp,365,6.737603900457851,1095
b2_heldout,b2_containing,63,mlp_shuffled,365,7.53459082741719,1095
b2_heldout,b2_containing,63,cnn1d,365,6.776823826095627,1095
b2_heldout,b2_containing,63,cnn1d_shuffled,365,7.186607727157514,1095
b2_heldout,b2_containing,63,event_token_attention,365,6.70382601352117,1095
b2_heldout,b2_containing,63,event_token_attention_shuffled,365,7.356517575852636,1095
b2_heldout,downstream_only,63,base,365,3.0440118718976787,1095
b2_heldout,downstream_only,63,traditional,365,1.8408465662146511,1095
b2_heldout,downstream_only,63,ridge,365,1.8277796308412038,1095
b2_heldout,downstream_only,63,ridge_shuffled,365,3.2840090195793694,1095
b2_heldout,downstream_only,63,gradient_boosted_trees,365,2.0136956926464302,1095
b2_heldout,downstream_only,63,gradient_boosted_trees_shuffled,365,3.771204982984935,1095
b2_heldout,downstream_only,63,mlp,365,1.9919721700423108,1095
b2_heldout,downstream_only,63,mlp_shuffled,365,3.7368651229792524,1095
b2_heldout,downstream_only,63,cnn1d,365,2.0522301183360234,1095
b2_heldout,downstream_only,63,cnn1d_shuffled,365,3.028970280760065,1095
b2_heldout,downstream_only,63,event_token_attention,365,1.9400263330795386,1095
b2_heldout,downstream_only,63,event_token_attention_shuffled,365,3.1506511085083106,1095
b2_heldout,all_six,65,base,63,3.342522605512409,378
b2_heldout,all_six,65,traditional,63,3.933608427437584,378
b2_heldout,all_six,65,ridge,63,4.014890718961114,378
b2_heldout,all_six,65,ridge_shuffled,63,3.3286330836772047,378
b2_heldout,all_six,65,gradient_boosted_trees,63,4.146494139820902,378
b2_heldout,all_six,65,gradient_boosted_trees_shuffled,63,4.167693944184055,378
b2_heldout,all_six,65,mlp,63,3.8722696320544143,378
b2_heldout,all_six,65,mlp_shuffled,63,4.226067630574879,378
