baseline,amp_cut_adc,pickoff_kind,pickoff_value,events_total,selected_pulses,downstream_ge2,clean,violating,ambiguous,labelled_events,scope,delta_labelled,delta_clean,delta_violating,target_l1_distance,target_exact_match
mean4,1250.0,leading_adc,750.0,1096728,626909,14704,7644,2765,4295,10409,doc_32_runs,-1738,-2992,1254,5984,False
mean4,1250.0,leading_adc,1000.0,1649802,1066940,15926,7640,3768,4518,11408,all_b_53_runs,-739,-2996,2257,5992,False
median4,1500.0,cfd,0.7,1649802,1042551,15043,7638,2566,4839,10204,all_b_53_runs,-1943,-2998,1055,5996,False
mean4,1000.0,cfd,0.8,1096728,645242,15612,7635,2701,5276,10336,doc_32_runs,-1811,-3001,1190,6002,False
median4,1000.0,leading_adc,250.0,1096728,640737,15354,7634,2764,4956,10398,doc_32_runs,-1749,-3002,1253,6004,False
mean4,1250.0,cfd,0.2,1096728,626909,14704,7632,2178,4894,9810,doc_32_runs,-2337,-3004,667,6008,False
median4,500.0,leading_adc,1500.0,1096728,684377,17090,7620,4380,5090,12000,doc_32_runs,-147,-3016,2869,6032,False
median4,1250.0,cfd,0.2,1649802,1062132,15875,7618,2644,5613,10262,all_b_53_runs,-1885,-3018,1133,6036,False
mean4,500.0,cfd,0.5,650970,406681,14202,7618,2105,4479,9723,analysis_21_runs,-2424,-3018,594,6036,False
median4,1500.0,cfd,0.35,1649802,1042551,15043,7615,2388,5040,10003,all_b_53_runs,-2144,-3021,877,6042,False
median4,750.0,leading_adc,750.0,1096728,660336,16090,7610,3692,4788,11302,doc_32_runs,-845,-3026,2181,6052,False
mean4,500.0,cfd,0.1,650970,406681,14202,7603,2033,4566,9636,analysis_21_runs,-2511,-3033,522,6066,False
median4,1250.0,leading_adc,500.0,1096728,623084,14655,7598,2541,4516,10139,doc_32_runs,-2008,-3038,1030,6076,False
mean4,1500.0,cfd,0.7,1649802,1045680,14907,7597,2586,4724,10183,all_b_53_runs,-1964,-3039,1075,6078,False
median4,500.0,leading_adc,750.0,1649802,1138562,18589,8690,4551,5348,13241,all_b_53_runs,1094,-1946,3040,6080,False
median4,1000.0,leading_adc,750.0,1096728,640737,15354,7591,3179,4584,10770,doc_32_runs,-1377,-3045,1668,6090,False
median4,1000.0,cfd,0.2,1096728,640737,15354,7583,2314,5457,9897,doc_32_runs,-2250,-3053,803,6106,False
median4,1250.0,cfd,0.35,1096728,623084,14655,7578,2060,5017,9638,doc_32_runs,-2509,-3058,549,6116,False
median4,750.0,leading_adc,1000.0,1096728,660336,16090,7566,3834,4690,11400,doc_32_runs,-747,-3070,2323,6140,False
mean4,750.0,leading_adc,1500.0,1096728,664895,16416,7557,4344,4515,11901,doc_32_runs,-246,-3079,2833,6158,False
mean4,1250.0,cfd,0.7,1096728,626909,14704,7551,2308,4845,9859,doc_32_runs,-2288,-3085,797,6170,False
mean4,500.0,leading_adc,750.0,1649802,1143568,18967,9104,4598,5265,13702,all_b_53_runs,1555,-1532,3087,6174,False
mean4,1250.0,cfd,0.15,1096728,626909,14704,7546,2220,4938,9766,doc_32_runs,-2381,-3090,709,6180,False
mean4,750.0,leading_adc,1000.0,1649802,1114176,17792,8308,4603,4881,12911,all_b_53_runs,764,-2328,3092,6184,False
median4,1000.0,cfd,0.8,1096728,640737,15354,7541,2586,5227,10127,doc_32_runs,-2020,-3095,1075,6190,False
mean4,1500.0,cfd,0.25,1649802,1045680,14907,7540,2492,4875,10032,all_b_53_runs,-2115,-3096,981,6192,False
median4,1250.0,cfd,0.7,1096728,623084,14655,7538,2258,4859,9796,doc_32_runs,-2351,-3098,747,6196,False
median4,500.0,leading_adc,1000.0,1649802,1138562,18589,8450,4632,5507,13082,all_b_53_runs,935,-2186,3121,6242,False
median4,1500.0,cfd,0.3,1649802,1042551,15043,7512,2414,5117,9926,all_b_53_runs,-2221,-3124,903,6248,False
mean4,500.0,leading_adc,500.0,650970,406681,14202,7512,2717,3973,10229,analysis_21_runs,-1918,-3124,1206,6248,False
median4,1250.0,cfd,0.3,1096728,623084,14655,7494,2076,5085,9570,doc_32_runs,-2577,-3142,565,6284,False
mean4,1500.0,cfd,0.2,1649802,1045680,14907,7492,2518,4897,10010,all_b_53_runs,-2137,-3144,1007,6288,False
median4,1250.0,leading_adc,1000.0,1649802,1062132,15875,7490,3756,4629,11246,all_b_53_runs,-901,-3146,2245,6292,False
median4,500.0,cfd,0.4,650970,404199,13919,7480,1991,4448,9471,analysis_21_runs,-2676,-3156,480,6312,False
median4,1250.0,leading_adc,750.0,1096728,623084,14655,7477,2764,4414,10241,doc_32_runs,-1906,-3159,1253,6318,False
mean4,500.0,cfd,0.6,650970,406681,14202,7470,2206,4526,9676,analysis_21_runs,-2471,-3166,695,6332,False
median4,1500.0,cfd,0.8,1649802,1042551,15043,7448,2643,4952,10091,all_b_53_runs,-2056,-3188,1132,6376,False
median4,1000.0,leading_adc,1000.0,1649802,1084018,16648,7446,4380,4822,11826,all_b_53_runs,-321,-3190,2869,6380,False
mean4,1500.0,leading_adc,500.0,1096728,609685,13757,7434,2301,4022,9735,doc_32_runs,-2412,-3202,790,6404,False
median4,1250.0,cfd,0.15,1649802,1062132,15875,7431,2686,5758,10117,all_b_53_runs,-2030,-3205,1175,6410,False
median4,500.0,cfd,0.5,650970,404199,13919,7428,2041,4450,9469,analysis_21_runs,-2678,-3208,530,6416,False
mean4,1250.0,cfd,0.1,1096728,626909,14704,7426,2296,4982,9722,doc_32_runs,-2425,-3210,785,6420,False
median4,1500.0,leading_adc,250.0,1649802,1042551,15043,7424,2763,4856,10187,all_b_53_runs,-1960,-3212,1252,6424,False
mean4,1500.0,leading_adc,1000.0,1649802,1045680,14907,7422,3268,4217,10690,all_b_53_runs,-1457,-3214,1757,6428,False
mean4,500.0,leading_adc,1000.0,1649802,1143568,18967,8755,4732,5480,13487,all_b_53_runs,1340,-1881,3221,6442,False
median4,500.0,cfd,0.35,650970,404199,13919,7413,1967,4539,9380,analysis_21_runs,-2767,-3223,456,6446,False
mean4,1500.0,cfd,0.4,1096728,609685,13757,7409,1966,4382,9375,doc_32_runs,-2772,-3227,455,6454,False
mean4,750.0,leading_adc,2000.0,1649802,1114176,17792,7540,4741,5511,12281,all_b_53_runs,134,-3096,3230,6460,False
mean4,1500.0,cfd,0.8,1649802,1045680,14907,7400,2645,4862,10045,all_b_53_runs,-2102,-3236,1134,6472,False
median4,750.0,leading_adc,1500.0,1096728,660336,16090,7398,4336,4356,11734,doc_32_runs,-413,-3238,2825,6476,False
mean4,1500.0,cfd,0.5,1096728,609685,13757,7394,1963,4400,9357,doc_32_runs,-2790,-3242,452,6484,False
mean4,750.0,cfd,0.4,650970,392502,13439,7387,1775,4277,9162,analysis_21_runs,-2985,-3249,264,6498,False
median4,1000.0,cfd,0.15,1096728,640737,15354,7386,2353,5615,9739,doc_32_runs,-2408,-3250,842,6500,False
median4,1500.0,cfd,0.5,1096728,607286,13883,7385,1920,4578,9305,doc_32_runs,-2842,-3251,409,6502,False
mean4,1500.0,cfd,0.15,1649802,1045680,14907,7384,2561,4962,9945,all_b_53_runs,-2202,-3252,1050,6504,False
median4,1500.0,leading_adc,1000.0,1649802,1042551,15043,7383,3262,4398,10645,all_b_53_runs,-1502,-3253,1751,6506,False
median4,1500.0,cfd,0.6,1096728,607286,13883,7380,1980,4523,9360,doc_32_runs,-2787,-3256,469,6512,False
median4,1250.0,cfd,0.1,1649802,1062132,15875,7370,2775,5730,10145,all_b_53_runs,-2002,-3266,1264,6532,False
mean4,1500.0,cfd,0.6,1096728,609685,13757,7364,2011,4382,9375,doc_32_runs,-2772,-3272,500,6544,False
mean4,750.0,cfd,0.35,650970,392502,13439,7361,1755,4323,9116,analysis_21_runs,-3031,-3275,244,6550,False
median4,500.0,leading_adc,2000.0,1096728,684377,17090,7356,4278,5456,11634,doc_32_runs,-513,-3280,2767,6560,False
median4,1250.0,leading_adc,250.0,1096728,623084,14655,7355,2476,4824,9831,doc_32_runs,-2316,-3281,965,6562,False
median4,500.0,cfd,0.3,650970,404199,13919,7354,1964,4601,9318,analysis_21_runs,-2829,-3282,453,6564,False
mean4,1250.0,cfd,0.8,1096728,626909,14704,7351,2385,4968,9736,doc_32_runs,-2411,-3285,874,6570,False
median4,1250.0,cfd,0.8,1096728,623084,14655,7350,2341,4964,9691,doc_32_runs,-2456,-3286,830,6572,False
mean4,500.0,leading_adc,2000.0,1649802,1143568,18967,7724,4799,6444,12523,all_b_53_runs,376,-2912,3288,6576,False
median4,1500.0,cfd,0.4,1096728,607286,13883,7345,1920,4618,9265,doc_32_runs,-2882,-3291,409,6582,False
median4,1000.0,cfd,0.1,1096728,640737,15354,7342,2443,5569,9785,doc_32_runs,-2362,-3294,932,6588,False
mean4,750.0,cfd,0.3,650970,392502,13439,7340,1756,4343,9096,analysis_21_runs,-3051,-3296,245,6592,False
mean4,1000.0,leading_adc,2000.0,1649802,1089625,16917,7338,4701,4878,12039,all_b_53_runs,-108,-3298,3190,6596,False
median4,1500.0,cfd,0.25,1649802,1042551,15043,7336,2444,5263,9780,all_b_53_runs,-2367,-3300,933,6600,False
median4,1250.0,cfd,0.25,1096728,623084,14655,7333,2107,5215,9440,doc_32_runs,-2707,-3303,596,6606,False
median4,500.0,cfd,0.6,650970,404199,13919,7332,2119,4468,9451,analysis_21_runs,-2696,-3304,608,6608,False
mean4,500.0,leading_adc,2000.0,1096728,688328,17431,7331,4146,5954,11477,doc_32_runs,-670,-3305,2635,6610,False
mean4,1500.0,cfd,0.35,1096728,609685,13757,7326,1956,4475,9282,doc_32_runs,-2865,-3310,445,6620,False
mean4,750.0,leading_adc,250.0,650970,392502,13439,7318,2161,3960,9479,analysis_21_runs,-2668,-3318,650,6636,False
mean4,1500.0,leading_adc,750.0,1096728,609685,13757,7318,2431,4008,9749,doc_32_runs,-2398,-3318,920,6636,False
mean4,1000.0,leading_adc,1000.0,1096728,645242,15612,7313,3833,4466,11146,doc_32_runs,-1001,-3323,2322,6646,False
median4,1500.0,leading_adc,500.0,1096728,607286,13883,7313,2284,4286,9597,doc_32_runs,-2550,-3323,773,6646,False
mean4,750.0,cfd,0.25,650970,392502,13439,7309,1763,4367,9072,analysis_21_runs,-3075,-3327,252,6654,False
median4,1000.0,leading_adc,2000.0,1649802,1084018,16648,7342,4842,4464,12184,all_b_53_runs,37,-3294,3331,6662,False
mean4,750.0,cfd,0.5,650970,392502,13439,7293,1815,4331,9108,analysis_21_runs,-3039,-3343,304,6686,False
median4,500.0,cfd,0.25,650970,404199,13919,7287,1973,4659,9260,analysis_21_runs,-2887,-3349,462,6698,False
mean4,750.0,cfd,0.2,650970,392502,13439,7283,1758,4398,9041,analysis_21_runs,-3106,-3353,247,6706,False
mean4,1500.0,cfd,0.3,1096728,609685,13757,7273,1980,4504,9253,doc_32_runs,-2894,-3363,469,6726,False
mean4,500.0,leading_adc,750.0,650970,406681,14202,7271,2812,4119,10083,analysis_21_runs,-2064,-3365,1301,6730,False
median4,1500.0,leading_adc,750.0,1096728,607286,13883,7268,2429,4186,9697,doc_32_runs,-2450,-3368,918,6736,False
mean4,750.0,leading_adc,500.0,650970,392502,13439,7263,2315,3861,9578,analysis_21_runs,-2569,-3373,804,6746,False
median4,750.0,leading_adc,2000.0,1649802,1108434,17449,7561,4885,5003,12446,all_b_53_runs,299,-3075,3374,6748,False
median4,1500.0,cfd,0.7,1096728,607286,13883,7260,2066,4557,9326,doc_32_runs,-2821,-3376,555,6752,False
mean4,1500.0,leading_adc,250.0,1096728,609685,13757,7255,2281,4221,9536,doc_32_runs,-2611,-3381,770,6762,False
mean4,1000.0,leading_adc,1500.0,1096728,645242,15612,7250,4282,4080,11532,doc_32_runs,-615,-3386,2771,6772,False
mean4,1250.0,leading_adc,1000.0,1096728,626909,14704,7246,3191,4267,10437,doc_32_runs,-1710,-3390,1680,6780,False
mean4,500.0,cfd,0.7,650970,406681,14202,7245,2327,4630,9572,analysis_21_runs,-2575,-3391,816,6782,False
median4,500.0,leading_adc,250.0,650970,404199,13919,7244,2475,4200,9719,analysis_21_runs,-2428,-3392,964,6784,False
mean4,1500.0,cfd,0.1,1649802,1045680,14907,7242,2633,5032,9875,all_b_53_runs,-2272,-3394,1122,6788,False
median4,1500.0,cfd,0.35,1096728,607286,13883,7236,1906,4741,9142,doc_32_runs,-3005,-3400,395,6800,False
mean4,750.0,cfd,0.15,650970,392502,13439,7235,1768,4436,9003,analysis_21_runs,-3144,-3401,257,6802,False
median4,1250.0,cfd,0.2,1096728,623084,14655,7232,2137,5286,9369,doc_32_runs,-2778,-3404,626,6808,False
median4,1500.0,cfd,0.2,1649802,1042551,15043,7226,2476,5341,9702,all_b_53_runs,-2445,-3410,965,6820,False
mean4,1000.0,leading_adc,1500.0,1649802,1089625,16917,7632,4928,4357,12560,all_b_53_runs,413,-3004,3417,6834,False
mean4,1500.0,cfd,0.7,1096728,609685,13757,7219,2087,4451,9306,doc_32_runs,-2841,-3417,576,6834,False
median4,1000.0,leading_adc,1500.0,1649802,1084018,16648,7427,4933,4288,12360,all_b_53_runs,213,-3209,3422,6844,False
median4,500.0,cfd,0.2,650970,404199,13919,7213,1973,4733,9186,analysis_21_runs,-2961,-3423,462,6846,False
median4,500.0,leading_adc,2000.0,1649802,1138562,18589,7744,4943,5902,12687,all_b_53_runs,540,-2892,3432,6864,False
median4,750.0,leading_adc,2000.0,1096728,660336,16090,7192,4240,4658,11432,doc_32_runs,-715,-3444,2729,6888,False
mean4,750.0,leading_adc,2000.0,1096728,664895,16416,7167,4108,5141,11275,doc_32_runs,-872,-3469,2597,6938,False
mean4,750.0,cfd,0.6,650970,392502,13439,7159,1904,4376,9063,analysis_21_runs,-3084,-3477,393,6954,False
mean4,750.0,cfd,0.1,650970,392502,13439,7150,1828,4461,8978,analysis_21_runs,-3169,-3486,317,6972,False
mean4,1500.0,cfd,0.25,1096728,609685,13757,7145,2012,4600,9157,doc_32_runs,-2990,-3491,501,6982,False
median4,750.0,leading_adc,1500.0,1649802,1108434,17449,7785,5004,4660,12789,all_b_53_runs,642,-2851,3493,6986,False
mean4,750.0,leading_adc,1500.0,1649802,1114176,17792,7951,5006,4835,12957,all_b_53_runs,810,-2685,3495,6990,False
median4,1500.0,cfd,0.3,1096728,607286,13883,7137,1932,4814,9069,doc_32_runs,-3078,-3499,421,6998,False
median4,500.0,cfd,0.7,650970,404199,13919,7134,2236,4549,9370,analysis_21_runs,-2777,-3502,725,7004,False
median4,750.0,cfd,0.4,650970,389429,13176,7119,1714,4343,8833,analysis_21_runs,-3314,-3517,203,7034,False
median4,1250.0,leading_adc,1000.0,1096728,623084,14655,7111,3177,4367,10288,doc_32_runs,-1859,-3525,1666,7050,False
median4,500.0,leading_adc,500.0,650970,404199,13919,7109,2726,4084,9835,analysis_21_runs,-2312,-3527,1215,7054,False
mean4,1500.0,cfd,0.2,1096728,609685,13757,7096,2037,4624,9133,doc_32_runs,-3014,-3540,526,7080,False
median4,750.0,cfd,0.5,650970,389429,13176,7084,1755,4337,8839,analysis_21_runs,-3308,-3552,244,7104,False
median4,1500.0,cfd,0.8,1096728,607286,13883,7084,2135,4664,9219,doc_32_runs,-2928,-3552,624,7104,False
mean4,1000.0,cfd,0.4,650970,380297,12804,7076,1603,4125,8679,analysis_21_runs,-3468,-3560,92,7120,False
median4,500.0,leading_adc,1500.0,1649802,1138562,18589,8030,5073,5486,13103,all_b_53_runs,956,-2606,3562,7124,False
mean4,500.0,leading_adc,1500.0,1649802,1143568,18967,8195,5077,5695,13272,all_b_53_runs,1125,-2441,3566,7132,False
median4,500.0,cfd,0.15,650970,404199,13919,7069,1977,4873,9046,analysis_21_runs,-3101,-3567,466,7134,False
mean4,1250.0,leading_adc,1500.0,1649802,1066940,15926,7063,4810,4053,11873,all_b_53_runs,-274,-3573,3299,7146,False
median4,1000.0,leading_adc,1000.0,1096728,640737,15354,7063,3745,4546,10808,doc_32_runs,-1339,-3573,2234,7146,False
median4,1000.0,leading_adc,1500.0,1096728,640737,15354,7057,4282,4015,11339,doc_32_runs,-808,-3579,2771,7158,False
median4,1250.0,leading_adc,2000.0,1649802,1062132,15875,7046,4774,4055,11820,all_b_53_runs,-327,-3590,3263,7180,False
median4,750.0,cfd,0.35,650970,389429,13176,7044,1695,4437,8739,analysis_21_runs,-3408,-3592,184,7184,False
mean4,1500.0,leading_adc,1000.0,1096728,609685,13757,7044,2732,3981,9776,doc_32_runs,-2371,-3592,1221,7184,False
mean4,500.0,leading_adc,250.0,298034,156577,12355,7044,1641,3670,8685,sample_ii_8_runs,-3462,-3592,130,7184,False
mean4,1000.0,cfd,0.35,650970,380297,12804,7041,1589,4174,8630,analysis_21_runs,-3517,-3595,78,7190,False
mean4,1500.0,cfd,0.8,1096728,609685,13757,7039,2139,4579,9178,doc_32_runs,-2969,-3597,628,7194,False
mean4,1250.0,leading_adc,2000.0,1649802,1066940,15926,7037,4632,4257,11669,all_b_53_runs,-478,-3599,3121,7198,False
median4,1500.0,cfd,0.15,1649802,1042551,15043,7024,2520,5499,9544,all_b_53_runs,-2603,-3612,1009,7224,False
median4,1250.0,cfd,0.15,1096728,623084,14655,7024,2179,5452,9203,doc_32_runs,-2944,-3612,668,7224,False
median4,1500.0,leading_adc,250.0,1096728,607286,13883,7022,2266,4595,9288,doc_32_runs,-2859,-3614,755,7228,False
median4,500.0,cfd,0.1,650970,404199,13919,7017,2024,4878,9041,analysis_21_runs,-3106,-3619,513,7238,False
mean4,1000.0,leading_adc,500.0,650970,380297,12804,7015,2042,3747,9057,analysis_21_runs,-3090,-3621,531,7242,False
mean4,1000.0,cfd,0.3,650970,380297,12804,7010,1600,4194,8610,analysis_21_runs,-3537,-3626,89,7252,False
median4,1500.0,leading_adc,1000.0,1096728,607286,13883,7009,2728,4146,9737,doc_32_runs,-2410,-3627,1217,7254,False
median4,750.0,cfd,0.6,650970,389429,13176,7001,1825,4350,8826,analysis_21_runs,-3321,-3635,314,7270,False
mean4,1000.0,leading_adc,250.0,650970,380297,12804,6998,1934,3872,8932,analysis_21_runs,-3215,-3638,423,7276,False
mean4,500.0,leading_adc,1000.0,650970,406681,14202,6996,2954,4252,9950,analysis_21_runs,-2197,-3640,1443,7280,False
mean4,1000.0,cfd,0.5,650970,380297,12804,6993,1639,4172,8632,analysis_21_runs,-3515,-3643,128,7286,False
mean4,500.0,cfd,0.8,650970,406681,14202,6988,2444,4770,9432,analysis_21_runs,-2715,-3648,933,7296,False
median4,1250.0,leading_adc,1500.0,1649802,1062132,15875,6981,4833,4061,11814,all_b_53_runs,-333,-3655,3322,7310,False
median4,1000.0,leading_adc,2000.0,1096728,640737,15354,6981,4210,4163,11191,doc_32_runs,-956,-3655,2699,7310,False
median4,750.0,cfd,0.3,650970,389429,13176,6976,1702,4498,8678,analysis_21_runs,-3469,-3660,191,7320,False
mean4,1500.0,cfd,0.15,1096728,609685,13757,6975,2078,4704,9053,doc_32_runs,-3094,-3661,567,7322,False
mean4,1000.0,cfd,0.25,650970,380297,12804,6973,1613,4218,8586,analysis_21_runs,-3561,-3663,102,7326,False
mean4,1000.0,leading_adc,2000.0,1096728,645242,15612,6969,4080,4563,11049,doc_32_runs,-1098,-3667,2569,7334,False
median4,1500.0,cfd,0.25,1096728,607286,13883,6960,1965,4958,8925,doc_32_runs,-3222,-3676,454,7352,False
median4,1250.0,cfd,0.1,1096728,623084,14655,6956,2265,5434,9221,doc_32_runs,-2926,-3680,754,7360,False
mean4,750.0,cfd,0.7,650970,392502,13439,6943,2011,4485,8954,analysis_21_runs,-3193,-3693,500,7386,False
median4,500.0,leading_adc,750.0,650970,404199,13919,6938,2785,4196,9723,analysis_21_runs,-2424,-3698,1274,7396,False
mean4,1000.0,cfd,0.2,650970,380297,12804,6930,1624,4250,8554,analysis_21_runs,-3593,-3706,113,7412,False
median4,1500.0,cfd,0.1,1649802,1042551,15043,6927,2603,5513,9530,all_b_53_runs,-2617,-3709,1092,7418,False
median4,750.0,cfd,0.25,650970,389429,13176,6894,1719,4563,8613,analysis_21_runs,-3534,-3742,208,7484,False
mean4,1000.0,cfd,0.6,650970,380297,12804,6886,1722,4196,8608,analysis_21_runs,-3539,-3750,211,7500,False
median4,750.0,leading_adc,500.0,650970,389429,13176,6885,2337,3954,9222,analysis_21_runs,-2925,-3751,826,7502,False
mean4,1000.0,cfd,0.15,650970,380297,12804,6866,1646,4292,8512,analysis_21_runs,-3635,-3770,135,7540,False
median4,1500.0,cfd,0.2,1096728,607286,13883,6856,1997,5030,8853,doc_32_runs,-3294,-3780,486,7560,False
median4,500.0,cfd,0.8,650970,404199,13919,6855,2355,4709,9210,analysis_21_runs,-2937,-3781,844,7562,False
mean4,500.0,leading_adc,500.0,298034,156577,12355,6851,1871,3633,8722,sample_ii_8_runs,-3425,-3785,360,7570,False
mean4,500.0,cfd,0.4,298034,156577,12355,7148,1203,4004,8351,sample_ii_8_runs,-3796,-3488,-308,7592,False
mean4,1500.0,cfd,0.1,1096728,609685,13757,6824,2148,4785,8972,doc_32_runs,-3175,-3812,637,7624,False
median4,750.0,cfd,0.7,650970,389429,13176,6819,1932,4425,8751,analysis_21_runs,-3396,-3817,421,7634,False
median4,1000.0,cfd,0.4,650970,377362,12588,6819,1540,4229,8359,analysis_21_runs,-3788,-3817,29,7634,False
median4,1000.0,cfd,0.5,650970,377362,12588,6814,1569,4205,8383,analysis_21_runs,-3764,-3822,58,7644,False
median4,750.0,leading_adc,250.0,650970,389429,13176,6807,2192,4177,8999,analysis_21_runs,-3148,-3829,681,7658,False
mean4,750.0,leading_adc,750.0,650970,392502,13439,6800,2710,3929,9510,analysis_21_runs,-2637,-3836,1199,7672,False
median4,750.0,cfd,0.2,650970,389429,13176,6798,1737,4641,8535,analysis_21_runs,-3612,-3838,226,7676,False
mean4,500.0,cfd,0.35,298034,156577,12355,7123,1183,4049,8306,sample_ii_8_runs,-3841,-3513,-328,7682,False
mean4,500.0,cfd,0.5,298034,156577,12355,7063,1238,4054,8301,sample_ii_8_runs,-3846,-3573,-273,7692,False
mean4,500.0,cfd,0.3,298034,156577,12355,7094,1183,4078,8277,sample_ii_8_runs,-3870,-3542,-328,7740,False
median4,500.0,leading_adc,1000.0,650970,404199,13919,6763,2865,4291,9628,analysis_21_runs,-2519,-3873,1354,7746,False
median4,1000.0,cfd,0.6,650970,377362,12588,6752,1637,4199,8389,analysis_21_runs,-3758,-3884,126,7768,False
mean4,500.0,cfd,0.6,298034,156577,12355,6941,1315,4099,8256,sample_ii_8_runs,-3891,-3695,-196,7782,False
mean4,500.0,cfd,0.25,298034,156577,12355,7059,1193,4103,8252,sample_ii_8_runs,-3895,-3577,-318,7790,False
mean4,1000.0,cfd,0.1,650970,380297,12804,6740,1714,4350,8454,analysis_21_runs,-3693,-3896,203,7792,False
median4,1000.0,cfd,0.35,650970,377362,12588,6737,1526,4325,8263,analysis_21_runs,-3884,-3899,15,7798,False
mean4,750.0,leading_adc,250.0,298034,148882,11840,6807,1438,3595,8245,sample_ii_8_runs,-3902,-3829,-73,7804,False
mean4,1000.0,leading_adc,750.0,650970,380297,12804,6725,2292,3787,9017,analysis_21_runs,-3130,-3911,781,7822,False
mean4,500.0,cfd,0.2,298034,156577,12355,7044,1186,4125,8230,sample_ii_8_runs,-3917,-3592,-325,7834,False
mean4,1250.0,leading_adc,1500.0,1096728,626909,14704,6717,4189,3798,10906,doc_32_runs,-1241,-3919,2678,7838,False
mean4,750.0,leading_adc,500.0,298034,148882,11840,6713,1580,3547,8293,sample_ii_8_runs,-3854,-3923,69,7846,False
median4,1250.0,leading_adc,2000.0,1096728,623084,14655,6706,4161,3788,10867,doc_32_runs,-1280,-3930,2650,7860,False
mean4,750.0,cfd,0.8,650970,392502,13439,6703,2114,4622,8817,analysis_21_runs,-3330,-3933,603,7866,False
mean4,1250.0,leading_adc,500.0,650970,368676,12091,6696,1801,3594,8497,analysis_21_runs,-3650,-3940,290,7880,False
mean4,1000.0,cfd,0.7,650970,380297,12804,6691,1819,4294,8510,analysis_21_runs,-3637,-3945,308,7890,False
mean4,500.0,cfd,0.15,298034,156577,12355,7014,1188,4153,8202,sample_ii_8_runs,-3945,-3622,-323,7890,False
mean4,1250.0,leading_adc,2000.0,1096728,626909,14704,6689,4031,3984,10720,doc_32_runs,-1427,-3947,2520,7894,False
mean4,750.0,leading_adc,1000.0,650970,392502,13439,6687,2888,3864,9575,analysis_21_runs,-2572,-3949,1377,7898,False
mean4,500.0,leading_adc,750.0,298034,156577,12355,6684,1992,3679,8676,sample_ii_8_runs,-3471,-3952,481,7904,False
mean4,500.0,cfd,0.1,298034,156577,12355,6954,1236,4165,8190,sample_ii_8_runs,-3957,-3682,-275,7914,False
median4,500.0,leading_adc,250.0,298034,155179,12153,6669,1681,3803,8350,sample_ii_8_runs,-3797,-3967,170,7934,False
mean4,500.0,cfd,0.7,298034,156577,12355,6752,1426,4177,8178,sample_ii_8_runs,-3969,-3884,-85,7938,False
median4,1000.0,leading_adc,500.0,650970,377362,12588,6665,2043,3880,8708,analysis_21_runs,-3439,-3971,532,7942,False
mean4,1250.0,cfd,0.4,650970,368676,12091,6724,1451,3916,8175,analysis_21_runs,-3972,-3912,-60,7944,False
median4,1000.0,cfd,0.3,650970,377362,12588,6657,1538,4393,8195,analysis_21_runs,-3952,-3979,27,7958,False
median4,1250.0,leading_adc,1500.0,1096728,623084,14655,6641,4206,3808,10847,doc_32_runs,-1300,-3995,2695,7990,False
median4,1500.0,cfd,0.15,1096728,607286,13883,6638,2040,5205,8678,doc_32_runs,-3469,-3998,529,7996,False
median4,750.0,cfd,0.15,650970,389429,13176,6630,1758,4788,8388,analysis_21_runs,-3759,-4006,247,8012,False
mean4,1250.0,cfd,0.5,650970,368676,12091,6665,1471,3955,8136,analysis_21_runs,-4011,-3971,-40,8022,False
median4,500.0,cfd,0.5,298034,155179,12153,6915,1212,4026,8127,sample_ii_8_runs,-4020,-3721,-299,8040,False
median4,500.0,cfd,0.4,298034,155179,12153,6945,1176,4032,8121,sample_ii_8_runs,-4026,-3691,-335,8052,False
mean4,1250.0,leading_adc,250.0,650970,368676,12091,6599,1746,3746,8345,analysis_21_runs,-3802,-4037,235,8074,False
median4,1000.0,cfd,0.7,650970,377362,12588,6599,1734,4255,8333,analysis_21_runs,-3814,-4037,223,8074,False
mean4,1250.0,cfd,0.35,650970,368676,12091,6666,1443,3982,8109,analysis_21_runs,-4038,-3970,-68,8076,False
median4,500.0,cfd,0.6,298034,155179,12153,6836,1273,4044,8109,sample_ii_8_runs,-4038,-3800,-238,8076,False
mean4,1250.0,cfd,0.6,650970,368676,12091,6591,1538,3962,8129,analysis_21_runs,-4018,-4045,27,8090,False
median4,1500.0,leading_adc,2000.0,1649802,1042551,15043,6588,4696,3759,11284,all_b_53_runs,-863,-4048,3185,8096,False
mean4,1500.0,leading_adc,2000.0,1649802,1045680,14907,6577,4550,3780,11127,all_b_53_runs,-1020,-4059,3039,8118,False
median4,750.0,cfd,0.8,650970,389429,13176,6575,2031,4570,8606,analysis_21_runs,-3541,-4061,520,8122,False
median4,1000.0,cfd,0.25,650970,377362,12588,6569,1560,4459,8129,analysis_21_runs,-4018,-4067,49,8134,False
mean4,1250.0,cfd,0.3,650970,368676,12091,6621,1458,4012,8079,analysis_21_runs,-4068,-4015,-53,8136,False
median4,750.0,cfd,0.1,650970,389429,13176,6559,1822,4795,8381,analysis_21_runs,-3766,-4077,311,8154,False
mean4,500.0,leading_adc,1500.0,650970,406681,14202,6550,3344,4308,9894,analysis_21_runs,-2253,-4086,1833,8172,False
median4,500.0,cfd,0.7,298034,155179,12153,6673,1381,4099,8054,sample_ii_8_runs,-4093,-3963,-130,8186,False
