sample,pair,stage,amp_bin,run,n,sigma68_ns
sample_I,B2-B6,timewalk_corrected,4,53,38,36.05200815480298
sample_I,B2-B6,timewalk_corrected,4,54,47,44.92845456301466
sample_I,B2-B6,timewalk_corrected,4,55,25,30.75438013107301
sample_I,B2-B6,timewalk_corrected,4,56,59,27.769365266882502
sample_I,B2-B6,timewalk_corrected,4,57,52,5.890775124483124
sample_I,B2-B6,timewalk_corrected,5,45,76,26.65821069608154
sample_I,B2-B6,timewalk_corrected,5,48,54,15.904837936439534
sample_I,B2-B6,timewalk_corrected,5,49,65,8.842134746784865
sample_I,B2-B6,timewalk_corrected,5,50,67,36.88792555633803
sample_I,B2-B6,timewalk_corrected,5,51,31,21.243058630476586
sample_I,B2-B6,timewalk_corrected,5,53,54,48.45326677755609
sample_I,B2-B6,timewalk_corrected,5,54,45,34.068401221903954
sample_I,B2-B6,timewalk_corrected,5,55,37,38.47539154193379
sample_I,B2-B6,timewalk_corrected,5,56,71,38.079237663856034
sample_I,B2-B6,timewalk_corrected,5,57,51,10.508981015117456
sample_I,B2-B6,timewalk_corrected,6,45,37,48.40550040044659
sample_I,B2-B6,timewalk_corrected,6,49,25,47.53425893784578
sample_I,B2-B6,timewalk_corrected,6,50,35,36.84787177635774
sample_I,B2-B6,timewalk_corrected,6,53,29,35.71701634549246
sample_I,B2-B6,timewalk_corrected,6,54,32,48.19089107820616
sample_I,B2-B6,timewalk_corrected,6,56,52,39.07105892897267
sample_I,B2-B6,timewalk_corrected,6,57,27,11.575382036252986
sample_I,B2-B8,raw_cfd20,4,45,23,15.620905461307785
sample_I,B2-B8,raw_cfd20,4,56,25,15.139291760573062
sample_I,B2-B8,raw_cfd20,5,45,33,30.410663189615967
sample_I,B2-B8,raw_cfd20,5,50,23,37.78266879124779
sample_I,B2-B8,raw_cfd20,5,56,27,39.75042567289798
sample_I,B2-B8,raw_cfd20,5,57,25,23.482768975205456
sample_I,B2-B8,timewalk_corrected,4,45,23,17.26066594700018
sample_I,B2-B8,timewalk_corrected,4,56,25,6.717843614849456
sample_I,B2-B8,timewalk_corrected,5,45,33,32.386951091087866
sample_I,B2-B8,timewalk_corrected,5,50,23,31.636421692603577
sample_I,B2-B8,timewalk_corrected,5,56,27,36.221828203546714
sample_I,B2-B8,timewalk_corrected,5,57,25,20.478795487524195
sample_I,B4-B6,raw_cfd20,1,45,25,2.754636233408537
sample_I,B4-B6,raw_cfd20,2,45,41,1.908723948740477
sample_I,B4-B6,raw_cfd20,2,48,21,2.0874132158220915
sample_I,B4-B6,raw_cfd20,2,49,22,1.5823165861744237
sample_I,B4-B6,raw_cfd20,2,50,24,1.8142066584499852
sample_I,B4-B6,raw_cfd20,2,53,21,2.3792383566397888
sample_I,B4-B6,raw_cfd20,2,56,24,1.6098295400894185
sample_I,B4-B6,raw_cfd20,2,57,20,2.107083591611561
sample_I,B4-B6,raw_cfd20,3,45,46,1.196667672478247
sample_I,B4-B6,raw_cfd20,3,48,31,2.3677843615646443
sample_I,B4-B6,raw_cfd20,3,49,33,2.1309751521040963
sample_I,B4-B6,raw_cfd20,3,50,32,1.6921477337990356
sample_I,B4-B6,raw_cfd20,3,51,20,1.4793376132328544
sample_I,B4-B6,raw_cfd20,3,53,29,2.211256580852905
sample_I,B4-B6,raw_cfd20,3,54,29,1.6088990426178365
sample_I,B4-B6,raw_cfd20,3,55,28,1.5526361405334916
sample_I,B4-B6,raw_cfd20,3,56,40,1.2467667815320431
sample_I,B4-B6,raw_cfd20,3,57,36,1.7564807659894934
sample_I,B4-B6,raw_cfd20,4,45,73,1.430142003887452
sample_I,B4-B6,raw_cfd20,4,48,47,1.5267273030794775
sample_I,B4-B6,raw_cfd20,4,49,53,1.4301059705262107
sample_I,B4-B6,raw_cfd20,4,50,54,1.2594259872046387
sample_I,B4-B6,raw_cfd20,4,51,29,1.7135331869958663
