sample,pair,has_b2,stage,amp_bin,amp_lo,amp_hi,n,amp_median,sigma68_ns,ci_low_ns,ci_high_ns,run_spread_std_ns,n_runs_used,sigma68_per_stave_sqrt2_ns
sample_II,B4-B8,False,raw_cfd20,1,1250.0,1550.0,326,1419.5,2.613608905546469,2.2742745562482103,2.733268927232447,0.31741345405494537,5,1.848100580481459
sample_II,B4-B8,False,raw_cfd20,2,1550.0,1900.0,573,1752.5,2.118963132390914,1.8708767479368054,2.225671993271317,0.14672211598253138,5,1.4983331999979033
sample_II,B4-B8,False,raw_cfd20,3,1900.0,2300.0,911,2114.5,1.8368151980152607,1.720896867442884,1.9651523361548597,0.20045878303817885,6,1.2988244823031019
sample_II,B4-B8,False,raw_cfd20,4,2300.0,2800.0,1305,2549.0,1.6995027692721036,1.5825142913057428,1.7630553595899054,0.10842918971023578,6,1.201729932797621
sample_II,B4-B8,False,raw_cfd20,5,2800.0,3400.0,521,2952.5,1.5865394030506428,1.4162636207891592,1.714281726916408,0.11450753142508849,5,1.1218527705167665
sample_II,B4-B8,False,raw_cfd20,6,3400.0,4200.0,39,3565.5,,,,,0,
sample_II,B4-B8,False,raw_cfd20,7,4200.0,5200.0,8,4406.75,,,,,0,
sample_II,B4-B8,False,raw_cfd20,8,5200.0,6500.0,1,5827.0,,,,,0,
sample_II,B4-B8,False,raw_cfd20,9,6500.0,8000.0,0,,,,,,0,
sample_II,B4-B8,False,raw_cfd20,10,8000.0,,0,,,,,,0,
sample_II,B4-B8,False,timewalk_corrected,0,1000.0,1250.0,187,1127.5,2.7408608695883694,1.75805385367808,3.1302650153435905,0.40400660903659386,5,1.9380813071747933
sample_II,B4-B8,False,timewalk_corrected,1,1250.0,1550.0,326,1419.5,2.47633169467185,2.224339995892747,2.739157739587833,0.1861095734319793,5,1.7510309337696401
sample_II,B4-B8,False,timewalk_corrected,2,1550.0,1900.0,573,1752.5,1.9351076394346602,1.6885312329419415,1.971602040978465,0.21438642113443704,5,1.3683277341701408
sample_II,B4-B8,False,timewalk_corrected,3,1900.0,2300.0,911,2114.5,1.5803238310871053,1.4943519473567242,1.6908086249343541,0.21219008438733802,6,1.1174576974323962
sample_II,B4-B8,False,timewalk_corrected,4,2300.0,2800.0,1305,2549.0,1.4166731279187559,1.369967255510403,1.515365537195056,0.0826807134241745,6,1.0017391754761096
sample_II,B4-B8,False,timewalk_corrected,5,2800.0,3400.0,521,2952.5,1.5433358923993583,1.3094428390932098,1.594949014882729,0.14147799050326482,5,1.091303275164178
sample_II,B4-B8,False,timewalk_corrected,6,3400.0,4200.0,39,3565.5,,,,,0,
sample_II,B4-B8,False,timewalk_corrected,7,4200.0,5200.0,8,4406.75,,,,,0,
sample_II,B4-B8,False,timewalk_corrected,8,5200.0,6500.0,1,5827.0,,,,,0,
sample_II,B4-B8,False,timewalk_corrected,9,6500.0,8000.0,0,,,,,,0,
sample_II,B4-B8,False,timewalk_corrected,10,8000.0,,0,,,,,,0,
sample_II,B6-B8,False,raw_cfd20,0,1000.0,1250.0,190,1140.5,1.260014646756504,1.0300488105312553,1.5148028890687502,0.3016047513883124,5,0.8909649011158962
sample_II,B6-B8,False,raw_cfd20,1,1250.0,1550.0,322,1415.0,1.2401938843246132,1.102280848656139,1.390599479301773,0.17706726468393738,5,0.8769495055920187
sample_II,B6-B8,False,raw_cfd20,2,1550.0,1900.0,552,1744.75,1.3258853017796413,1.2040032982926678,1.4494984492737983,0.1658720595574057,5,0.9375424879639562
sample_II,B6-B8,False,raw_cfd20,3,1900.0,2300.0,907,2114.5,1.3462325241736393,1.2805568467182669,1.451176211167021,0.07691889940502122,7,0.951930146897063
sample_II,B6-B8,False,raw_cfd20,4,2300.0,2800.0,1308,2564.5,1.2709812099392903,1.2238896016127803,1.34048484915965,0.1999744482022826,6,0.8987194323087551
sample_II,B6-B8,False,raw_cfd20,5,2800.0,3400.0,727,2988.5,1.1764727134735917,1.0470896632629874,1.2388939331254254,0.09531671902127428,5,0.8318918335781148
sample_II,B6-B8,False,raw_cfd20,6,3400.0,4200.0,71,3532.5,1.23726151371391,0.886953403109268,2.5747857100809926,0.05463817142830879,2,0.8748760064482383
sample_II,B6-B8,False,raw_cfd20,7,4200.0,5200.0,2,4719.75,,,,,0,
sample_II,B6-B8,False,raw_cfd20,8,5200.0,6500.0,0,,,,,,0,
sample_II,B6-B8,False,raw_cfd20,9,6500.0,8000.0,0,,,,,,0,
sample_II,B6-B8,False,raw_cfd20,10,8000.0,,0,,,,,,0,
sample_II,B6-B8,False,timewalk_corrected,0,1000.0,1250.0,190,1140.5,1.4564783305099196,1.189750735098761,1.618588584482103,0.25249759125870447,5,1.0298857041548257
sample_II,B6-B8,False,timewalk_corrected,1,1250.0,1550.0,322,1415.0,1.3298186585386202,1.130210156619551,1.4346630925778232,0.03160986153172511,5,0.9403237912010562
sample_II,B6-B8,False,timewalk_corrected,2,1550.0,1900.0,552,1744.75,1.144779746083116,1.0236403434885115,1.1855187626100938,0.08642344384656818,5,0.8094815214203852
sample_II,B6-B8,False,timewalk_corrected,3,1900.0,2300.0,907,2114.5,1.0625926376058057,0.9796031354106307,1.1267811964928114,0.05821330578078801,7,0.7513664596899647
sample_II,B6-B8,False,timewalk_corrected,4,2300.0,2800.0,1308,2564.5,0.9357646651438652,0.88484385373568,0.9808452280580882,0.09013063554125475,6,0.661685540317986
sample_II,B6-B8,False,timewalk_corrected,5,2800.0,3400.0,727,2988.5,0.9021263406345399,0.8384977885194277,0.9692665826497724,0.06895329341611896,5,0.6378996529496884
sample_II,B6-B8,False,timewalk_corrected,6,3400.0,4200.0,71,3532.5,1.2125064851347074,0.7544763064096172,2.888843873049121,0.0811109731960443,2,0.8573715578714173
sample_II,B6-B8,False,timewalk_corrected,7,4200.0,5200.0,2,4719.75,,,,,0,
sample_II,B6-B8,False,timewalk_corrected,8,5200.0,6500.0,0,,,,,,0,
sample_II,B6-B8,False,timewalk_corrected,9,6500.0,8000.0,0,,,,,,0,
sample_II,B6-B8,False,timewalk_corrected,10,8000.0,,0,,,,,,0,
