method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns,calibration_slope,q_template_mse,failure_rate_abs_gt_5ns
ridge,57,610,1.8526214323340735,4.43140420684526,3.937605924067047,0.29508196721311475,0.00819672131147541,1.0209906618668119,0.21883468638772313,0.29508196721311475
ridge,58,594,-2.8636256982077306,4.4408200928968125,4.0966694622126365,0.335016835016835,0.03872053872053872,1.0126011546845595,0.18341250040181767,0.335016835016835
ridge,60,640,-0.30973014753935235,3.1339508130841516,3.166520809391192,0.1171875,0.003125,1.022923765793623,0.15976598623690796,0.1171875
ridge,62,640,-1.1476040518587745,2.995336857332224,3.03024518227153,0.1140625,0.0015625,1.0278526779607613,0.15353035940234294,0.1140625
ridge,64,640,-1.3270377625412664,2.9194085015809366,2.967150903570138,0.11875,0.0,1.0153302830938145,0.12095621608304426,0.11875
ridge,65,585,-1.587681035741725,3.8796683905326943,3.799852150982696,0.22735042735042735,0.010256410256410256,1.0121445184519622,0.13612330700774977,0.22735042735042735
traditional_median_template_cfd_timewalk_shape,42,597,-0.47948616777735964,0.978797786801056,0.9228233933273954,0.0,0.0,0.9971792867184361,0.2477986647540307,0.0
traditional_median_template_cfd_timewalk_shape,50,620,-0.18920767919067494,0.42882911461058837,0.5270926407427395,0.0,0.0,0.9964484771692588,0.19337668529713212,0.0
traditional_median_template_cfd_timewalk_shape,57,610,-1.1026375104760588,1.307867379808979,1.295016283697129,0.0,0.0,0.9977776560180878,0.21883468638772313,0.0
traditional_median_template_cfd_timewalk_shape,58,594,0.8535726980705522,0.6904817382955932,0.7197038075038095,0.0,0.0,0.9939277496805281,0.18341250040181767,0.0
traditional_median_template_cfd_timewalk_shape,60,640,-0.7661347054026575,1.0112753886724786,1.0533462521124948,0.0,0.0,0.9967351463367189,0.15976598623690796,0.0
traditional_median_template_cfd_timewalk_shape,62,640,0.33694347922183754,0.6428473455856765,0.6376729337633578,0.0,0.0,0.9948844547145995,0.15353035940234294,0.0
traditional_median_template_cfd_timewalk_shape,64,640,0.6482362790677065,0.3309517030252308,0.47582403719678024,0.0,0.0,0.9940602987725707,0.12095621608304426,0.0
traditional_median_template_cfd_timewalk_shape,65,585,0.7191159064125503,0.42166084663674097,0.537402045371477,0.0,0.0,0.9946240549440571,0.13612330700774977,0.0
