run,run_group,sample_family,method,family,model_family,n_pair_residuals,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
42,sample_i_calib,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,204,-0.5949492133497694,-0.6086393065202884,0.995340589662391,4.246791388731841,0.00980392156862745,0.8802911456337869,1.1659932499335226,-0.1903390765244568,-0.39995209939129756,-0.04634415079535505
42,sample_i_calib,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,204,-0.6069932385342192,-0.7872784682906513,1.1475588295888168,4.019039382429163,0.00980392156862745,1.0436856582585528,1.2001130298913831,-0.038120836598031005,-0.3140246379199425,0.05033088019971
42,sample_i_calib,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,204,1.2841267234041907,1.772582648706301,1.1856796661868478,3.297514787835663,0.014705882352941176,1.127370937317356,1.3860451248941477,0.0,0.0,0.0
42,sample_i_calib,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,204,-0.6123757625693872,-0.7408837032774436,1.2296198448592517,3.909953078234611,0.00980392156862745,1.0759277695223843,1.3446801476319137,0.04394017867240385,-0.23529688878011146,0.18148963625433498
44,sample_i_analysis,Sample I,analytic_timewalk,traditional,traditional_s03_analytic_timewalk,21,1.1287502773012241,1.5064245822049571,1.1960039445360082,1.243393585274277,0.0,1.0439859544339967,1.7717499157869818,0.0,0.0,0.0
44,sample_i_analysis,Sample I,mlp_waveform_amp_shape_stave,ml,mlp,21,-0.9935372174944381,-0.9202434030913764,1.232762063647156,1.1795772642815097,0.0,0.7017010841738477,1.6337499818174657,0.03675811911114768,-0.7173202550611932,0.2975949138966262
44,sample_i_analysis,Sample I,cnn1d_waveform_amp_shape_stave,ml,1d_cnn,21,-0.916998004745321,-0.9514843142593463,1.2525829292804647,1.201188385473534,0.0,0.7101278654591077,1.6050799582196023,0.05657898474445644,-0.7014754586344433,0.32721963540627447
44,sample_i_analysis,Sample I,ridge_waveform_amp_shape_stave,ml,ridge,21,-1.0025869013037185,-1.0327345339202338,1.3058729966422462,1.284072179974176,0.0,0.7504590145703268,1.7352319536532488,0.10986905210623799,-0.4915138799553081,0.6545738076606004
44,sample_i_analysis,Sample I,hgb_waveform_amp_shape_stave,ml,gradient_boosted_trees,21,-1.8037344826589377,-0.6239354512718478,1.42200350289785,4.0272940662225185,0.09523809523809523,0.8076153703514574,7.008535052896156,0.2259995583618417,-0.4917225410017047,5.337097052385396
44,sample_i_analysis,Sample I,feature_gated_waveform_amp_shape_stave,ml,new_feature_gated_architecture,21,-1.0349435424038174,-1.31392634576207,1.5692667743829312,1.3839742957935206,0.0,0.9096558435190041,1.826389074611289,0.37326282984692294,-0.5685247469392222,0.4983479566239257
