method,stratum,target,accepted_fraction,risk_threshold_abs_frac,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_median_frac_ci95,res68_abs_frac_ci95,full_rms_frac_ci95,within_10pct_ci95,within_25pct_ci95
1d_cnn_train_median_selector,dynamic_only,duplicate,0.2500672947510094,0.25064591285765997,929,-0.0487459080235634,0.1815311492000598,0.1509715864868147,0.35844994617868675,0.9956942949407965,"[-0.07596675541929505, 0.0004291709332344307]","[0.16824506329296368, 0.19242027696489195]","[0.14515929447787915, 0.15655839651982903]","[0.29808350457549193, 0.4014488741232928]","[0.9875161012903764, 1.0]"
residual_gated_cnn_train_median_selector,dynamic_only,duplicate,1.0,4293496.304511419,3715,-0.7558923099853435,0.9900364938742315,160.15154758252612,0.06056527590847914,0.15343203230148048,"[-0.8673203639087346, -0.4764652032377718]","[0.9056351323825502, 0.9931625809590975]","[0.7772397079720359, 194.12182694578567]","[0.04702322917734563, 0.07231441023525484]","[0.12939885544364296, 0.18901938468965435]"
residual_gated_cnn_train_median_selector,dynamic_only,duplicate,0.7499327052489906,0.9944444444444445,2786,-0.5896430797785117,0.8660419035855601,0.6832805666793975,0.08076094759511845,0.20459440057430006,"[-0.6965147032246197, -0.38122897232030917]","[0.7411920811506434, 0.9148315384407479]","[0.6131149899272836, 0.7154403806907881]","[0.05727259415133634, 0.0925791181945896]","[0.16938264448005094, 0.23234235254218014]"
residual_gated_cnn_train_median_selector,dynamic_only,duplicate,0.5001345895020188,0.8526559629928515,1858,-0.279836724931794,0.5922292112902718,0.4962306776886613,0.12109795479009688,0.3067814854682454,"[-0.43124962780779813, -0.23611103764467953]","[0.5601869773045458, 0.6378682371549298]","[0.4824284098085669, 0.523432749123633]","[0.08432430277068903, 0.14367829636754917]","[0.2505142240550789, 0.32871326812007234]"
residual_gated_cnn_train_median_selector,dynamic_only,duplicate,0.2500672947510094,0.40486260412437786,929,-0.045094252574981016,0.27295692358061735,0.23330586272267909,0.24219590958019377,0.6135629709364908,"[-0.15096375111040727, 0.007131358754612464]","[0.2602357827476112, 0.2955724139460634]","[0.22196843176573855, 0.2483370350533816]","[0.16566688712522046, 0.2939043871269384]","[0.5498594650429488, 0.656091936737098]"
shuffled_target_hgb_train_median_selector,dynamic_only,duplicate,1.0,325.67310494497275,3715,64.07940762575629,89.24522601652339,106.39376340186966,0.0,0.0,"[52.96546221021515, 68.72631963677036]","[73.5797080841772, 95.34371286796879]","[92.12487095540833, 110.85467685043183]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_median_selector,dynamic_only,duplicate,0.7499327052489906,105.60682749938317,2786,51.13965328788309,65.60068326186999,58.17340181252236,0.0,0.0,"[43.882262707601996, 55.1299328762415]","[56.58142768773223, 68.40722631674309]","[52.589610196789025, 61.21383063162282]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_median_selector,dynamic_only,duplicate,0.5001345895020188,64.07940762575629,1858,38.86794492403725,47.72714871273921,41.21248242150254,0.0,0.0,"[34.298824097572194, 43.9693393673138]","[44.027914465388136, 51.00431087531588]","[38.47889320211766, 44.976565398379044]","[0.0, 0.0]","[0.0, 0.0]"
shuffled_target_hgb_train_median_selector,dynamic_only,duplicate,0.2500672947510094,38.860387115012074,929,26.58746969392712,30.958387239170744,26.79951221691517,0.0,0.0,"[24.726193715583364, 28.806410724613514]","[29.456737910797166, 32.4801437330112]","[24.84203788773607, 28.447835740659936]","[0.0, 0.0]","[0.0, 0.0]"
ridge_target_stave_excluded_train_dynamic_selector,dynamic_only,duplicate,1.0,29.51421464085003,3715,-0.12624110119059348,0.45457191851458456,0.9609044248684903,0.14078061911170928,0.3892328398384926,"[-0.14156600585727216, -0.11386164524965711]","[0.4163541839293388, 0.4715969786375992]","[0.6255981980650842, 1.2318362670321454]","[0.12243569532196784, 0.17062249429295057]","[0.3709374540435978, 0.428020949890714]"
ridge_target_stave_excluded_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,0.5176906013881543,2786,-0.18236643231568755,0.3236983382765128,0.2831260084561172,0.187724335965542,0.5190236898779612,"[-0.19903987944514157, -0.15976836188174948]","[0.28720166980079487, 0.33867922524151495]","[0.2600527272897326, 0.29240590832228514]","[0.16408435694470858, 0.22768198038250598]","[0.49314538623093523, 0.5796064633261975]"
ridge_target_stave_excluded_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,0.3183858975187149,1858,-0.12068386393276567,0.22022211365978436,0.18782908930930559,0.2814854682454252,0.7782561894510226,"[-0.1524539896763299, -0.10953863848430391]","[0.2136940789263894, 0.23933131729368068]","[0.18299868830048835, 0.19911814176815937]","[0.24038347965047369, 0.31069389299600986]","[0.7114383322298242, 0.8061029364568706]"
ridge_target_stave_excluded_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,0.16890903856584855,929,-0.05713047533760699,0.11774423020363828,0.09995869296484296,0.5629709364908504,1.0,"[-0.06634331489437739, -0.04241079849401911]","[0.10690829583090912, 0.12296453582914013]","[0.0938106174044748, 0.10472691508771577]","[0.5177062387213199, 0.6364706385444593]","[1.0, 1.0]"
gradient_boosted_trees_train_dynamic_selector,dynamic_only,duplicate,1.0,4.442325600608652,3715,0.001929755551014362,0.08770432245347695,0.1608074170708486,0.7211305518169583,0.9257065948855989,"[-0.001996315015334904, 0.012776253406399013]","[0.0722007432848301, 0.0947184774083008]","[0.12541382410519827, 0.19496335180298793]","[0.6990517286336798, 0.7765613122829506]","[0.9126562617089836, 0.942237786818895]"
gradient_boosted_trees_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,0.11171053771483684,2786,0.0017092149451454516,0.05195635925097273,0.049895062227104034,0.9615936826992103,1.0,"[-0.0020704627582164483, 0.009771780217223533]","[0.04864159343842991, 0.053702027469624644]","[0.04781250813711605, 0.05129920050681897]","[0.9531151607406714, 0.9729372060326175]","[1.0, 1.0]"
gradient_boosted_trees_train_dynamic_selector,dynamic_only,duplicate,0.5001345895020188,0.05065698838020664,1858,0.0005815873918164719,0.030765714141628996,0.026781018108419895,1.0,1.0,"[-0.0016635080439606393, 0.006065476523433136]","[0.027978420714127015, 0.03217197272037143]","[0.025550055764053406, 0.02765469154472922]","[1.0, 1.0]","[1.0, 1.0]"
gradient_boosted_trees_train_dynamic_selector,dynamic_only,duplicate,0.2500672947510094,0.021100446648383682,929,-0.0004532057703282471,0.013659466227719814,0.0117907073315546,1.0,1.0,"[-0.0015058225559754475, 0.003736528941741376]","[0.012467992767588879, 0.01443452589544093]","[0.011242776607706523, 0.012317615182884137]","[1.0, 1.0]","[1.0, 1.0]"
mlp_train_dynamic_selector,dynamic_only,duplicate,1.0,1.5143150168851731,3715,-0.044876588413680404,0.14227771493703775,0.16819869161649653,0.5590847913862719,0.8791386271870794,"[-0.057484685614425206, -0.01560027049533808]","[0.12245467941576359, 0.15386081364891735]","[0.15315019600298496, 0.18339409240469784]","[0.524834226111259, 0.6263890078795973]","[0.8598461685735246, 0.9050861982054643]"
mlp_train_dynamic_selector,dynamic_only,duplicate,0.7499327052489906,0.1711490636043608,2786,-0.032377826740062385,0.08508436388509044,0.08125110303183955,0.7455132806891601,1.0,"[-0.039918532818464, -0.008302208077024755]","[0.06795161629437738, 0.09025070840565311]","[0.07188720067032695, 0.08455726979535234]","[0.7230833518809741, 0.8144126959807977]","[1.0, 1.0]"
