block,threshold_MeV,events,selected_events,B2,B4,B6,B8
61,50.0,10000,492,373,108,10,1
62,0.0,10000,2409,1091,439,246,633
63,0.0,10000,2380,1025,443,301,611
62,1.0,10000,2403,1101,434,242,626
63,1.0,10000,2372,1041,433,296,602
62,2.0,10000,2403,1104,433,242,624
63,2.0,10000,2366,1046,425,295,600
62,5.0,10000,2388,1094,433,252,609
63,5.0,10000,2356,1043,425,294,594
62,10.0,10000,2374,1098,422,259,595
63,10.0,10000,2337,1041,422,305,569
62,15.0,10000,2260,1042,389,260,569
63,15.0,10000,2226,989,382,313,542
62,20.0,10000,2045,1040,363,276,366
63,20.0,10000,1987,984,352,316,335
62,25.0,10000,1770,1008,356,90,316
63,25.0,10000,1688,950,344,103,291
62,30.0,10000,1616,992,346,31,247
63,30.0,10000,1542,943,340,31,228
62,40.0,10000,987,651,230,17,89
63,40.0,10000,930,609,213,20,88
62,50.0,10000,487,363,112,9,3
63,50.0,10000,445,342,91,7,5
64,0.0,10000,2390,1067,442,270,611
65,0.0,10000,2397,1070,451,256,620
64,1.0,10000,2388,1081,438,268,601
65,1.0,10000,2389,1071,453,255,610
64,2.0,10000,2385,1079,442,265,599
65,2.0,10000,2386,1076,446,257,607
64,5.0,10000,2375,1085,438,263,589
65,5.0,10000,2376,1078,440,262,596
64,10.0,10000,2356,1082,434,266,574
65,10.0,10000,2362,1077,434,273,578
64,15.0,10000,2239,1031,398,269,541
65,15.0,10000,2238,1015,402,266,555
64,20.0,10000,1990,1029,358,278,325
65,20.0,10000,2023,1015,376,284,348
64,25.0,10000,1698,983,349,93,273
65,25.0,10000,1726,984,369,90,283
64,30.0,10000,1547,972,341,29,205
65,30.0,10000,1574,976,362,25,211
64,40.0,10000,917,624,201,17,75
65,40.0,10000,949,631,232,12,74
64,50.0,10000,478,370,94,10,4
65,50.0,10000,455,347,101,7,0
66,0.0,10000,2431,1096,407,305,623
67,0.0,10000,2363,1109,400,264,590
66,1.0,10000,2424,1100,406,308,610
67,1.0,10000,2353,1114,401,253,585
66,2.0,10000,2419,1102,407,304,606
67,2.0,10000,2349,1113,400,252,584
66,5.0,10000,2409,1101,409,303,596
67,5.0,10000,2343,1118,392,256,577
66,10.0,10000,2396,1103,405,301,587
67,10.0,10000,2324,1107,391,270,556
66,15.0,10000,2288,1071,362,303,552
67,15.0,10000,2229,1066,362,270,531
66,20.0,10000,2067,1064,338,308,357
67,20.0,10000,2024,1059,340,275,350
66,25.0,10000,1738,1021,327,104,286
67,25.0,10000,1721,1021,336,83,281
66,30.0,10000,1582,1014,320,40,208
67,30.0,10000,1566,1004,326,18,218
66,40.0,10000,956,671,202,22,61
67,40.0,10000,953,657,206,15,75
66,50.0,10000,504,394,99,10,1
67,50.0,10000,482,378,91,9,4
68,0.0,10000,2387,1020,474,272,621
69,0.0,10000,2369,1032,445,281,611
68,1.0,10000,2385,1031,470,271,613
69,1.0,10000,2366,1049,438,272,607
68,2.0,10000,2384,1040,465,271,608
69,2.0,10000,2365,1050,439,272,604
68,5.0,10000,2367,1039,460,270,598
69,5.0,10000,2360,1053,435,277,595
68,10.0,10000,2357,1040,455,288,574
69,10.0,10000,2345,1051,433,285,576
68,15.0,10000,2240,985,423,280,552
69,15.0,10000,2262,1016,405,291,550
68,20.0,10000,2029,984,395,296,354
69,20.0,10000,2047,1018,370,307,352
68,25.0,10000,1719,949,391,92,287
69,25.0,10000,1731,979,362,101,289
68,30.0,10000,1567,938,381,24,224
69,30.0,10000,1564,969,355,28,212
68,40.0,10000,922,599,234,18,71
69,40.0,10000,978,664,228,16,70
68,50.0,10000,462,338,106,11,7
69,50.0,10000,476,363,98,12,3
70,0.0,10000,2361,1071,438,254,598
71,0.0,10000,2313,1089,377,248,599
70,1.0,10000,2357,1085,436,249,587
71,1.0,10000,2310,1105,368,246,591
70,2.0,10000,2353,1085,435,248,585
71,2.0,10000,2303,1101,371,240,591
70,5.0,10000,2340,1079,434,251,576
71,5.0,10000,2300,1104,369,245,582
70,10.0,10000,2333,1087,427,260,559
71,10.0,10000,2288,1104,366,253,565
70,15.0,10000,2234,1038,400,275,521
71,15.0,10000,2204,1072,340,257,535
70,20.0,10000,2007,1034,374,280,319
71,20.0,10000,1986,1064,314,272,336
70,25.0,10000,1720,998,368,96,258
71,25.0,10000,1720,1022,310,101,287
70,30.0,10000,1566,987,360,31,188
71,30.0,10000,1569,1015,303,23,228
70,40.0,10000,982,666,234,16,66
71,40.0,10000,972,668,201,9,94
70,50.0,10000,475,374,92,8,1
71,50.0,10000,498,395,93,5,5
72,0.0,10000,2370,1053,467,285,565
73,0.0,10000,2354,1070,418,275,591
72,1.0,10000,2364,1062,467,274,561
73,1.0,10000,2352,1084,414,268,586
72,2.0,10000,2359,1062,465,274,558
73,2.0,10000,2349,1085,412,268,584
72,5.0,10000,2353,1064,463,273,553
73,5.0,10000,2339,1086,417,258,578
72,10.0,10000,2334,1053,464,281,536
73,10.0,10000,2320,1077,408,271,564
72,15.0,10000,2249,1019,434,283,513
73,15.0,10000,2221,1037,374,273,537
72,20.0,10000,2041,1012,401,305,323
73,20.0,10000,1983,1034,347,285,317
72,25.0,10000,1727,951,396,111,269
73,25.0,10000,1676,986,340,95,255
72,30.0,10000,1568,946,387,26,209
73,30.0,10000,1545,976,330,28,211
72,40.0,10000,979,631,267,13,68
73,40.0,10000,935,652,197,17,69
72,50.0,10000,503,371,122,8,2
73,50.0,10000,488,386,92,7,3
74,0.0,10000,2397,1074,414,273,636
75,0.0,10000,2333,1046,410,266,611
74,1.0,10000,2393,1086,415,268,624
75,1.0,10000,2325,1052,410,257,606
74,2.0,10000,2386,1084,411,271,620
75,2.0,10000,2321,1057,405,256,603
74,5.0,10000,2374,1082,411,269,612
75,5.0,10000,2311,1054,402,264,591
74,10.0,10000,2362,1082,410,273,597
75,10.0,10000,2296,1053,398,271,574
74,15.0,10000,2252,1039,364,283,566
75,15.0,10000,2207,1012,368,280,547
74,20.0,10000,2040,1033,349,295,363
75,20.0,10000,1986,1013,331,290,352
74,25.0,10000,1733,999,342,98,294
75,25.0,10000,1688,971,325,102,290
74,30.0,10000,1597,989,343,35,230
75,30.0,10000,1548,964,316,37,231
74,40.0,10000,929,627,218,22,62
75,40.0,10000,947,633,207,25,82
74,50.0,10000,470,356,99,13,2
75,50.0,10000,474,361,96,15,2
76,0.0,10000,2358,1043,446,253,616
77,0.0,10000,2371,1048,450,260,613
76,1.0,10000,2357,1053,444,249,611
77,1.0,10000,2365,1055,447,254,609
76,2.0,10000,2351,1051,443,249,608
77,2.0,10000,2359,1056,448,250,605
76,5.0,10000,2337,1043,440,262,592
77,5.0,10000,2348,1047,451,253,597
76,10.0,10000,2319,1037,432,279,571
77,10.0,10000,2335,1050,444,256,585
76,15.0,10000,2231,997,406,290,538
77,15.0,10000,2232,1009,404,259,560
76,20.0,10000,2022,988,386,299,349
77,20.0,10000,2009,1004,375,260,370
76,25.0,10000,1723,959,376,95,293
77,25.0,10000,1705,955,368,81,301
76,30.0,10000,1570,950,367,35,218
77,30.0,10000,1560,946,358,29,227
76,40.0,10000,976,627,243,19,87
77,40.0,10000,948,613,228,19,88
76,50.0,10000,487,357,117,11,2
77,50.0,10000,465,349,108,5,3
78,0.0,10000,2399,1068,427,279,625
79,0.0,10000,2388,1053,466,267,602
78,1.0,10000,2394,1080,421,277,616
79,1.0,10000,2388,1070,461,261,596
78,2.0,10000,2391,1079,422,278,612
79,2.0,10000,2385,1074,459,260,592
78,5.0,10000,2383,1079,427,275,602
79,5.0,10000,2376,1076,453,259,588
78,10.0,10000,2363,1074,421,288,580
79,10.0,10000,2362,1076,451,263,572
78,15.0,10000,2248,1030,379,295,544
79,15.0,10000,2248,1020,417,265,546
78,20.0,10000,2032,1024,353,311,344
79,20.0,10000,2016,1011,389,271,345
78,25.0,10000,1714,987,345,95,287
79,25.0,10000,1717,974,377,86,280
78,30.0,10000,1582,985,334,32,231
79,30.0,10000,1578,966,366,27,219
78,40.0,10000,979,661,220,14,84
79,40.0,10000,936,626,228,7,75
78,50.0,10000,467,371,89,6,1
79,50.0,10000,461,356,98,2,5
80,0.0,10000,2346,1107,402,245,592
81,0.0,10000,2325,1050,417,243,615
80,1.0,10000,2339,1116,401,237,585
81,1.0,10000,2319,1062,412,241,604
80,2.0,10000,2336,1117,403,236,580
81,2.0,10000,2316,1069,407,239,601
80,5.0,10000,2330,1115,400,238,577
81,5.0,10000,2302,1065,401,245,591
80,10.0,10000,2316,1113,397,247,559
81,10.0,10000,2288,1063,394,260,571
80,15.0,10000,2214,1064,368,243,539
81,15.0,10000,2197,1018,371,266,542
80,20.0,10000,1990,1059,334,268,329
81,20.0,10000,1950,1008,351,263,328
80,25.0,10000,1700,1014,328,94,264
81,25.0,10000,1691,976,346,90,279
80,30.0,10000,1567,1014,321,36,196
81,30.0,10000,1545,969,335,30,211
80,40.0,10000,955,658,198,23,76
81,40.0,10000,943,632,209,19,83
80,50.0,10000,486,387,88,8,3
81,50.0,10000,494,377,104,12,1
82,0.0,10000,2352,1084,415,262,591
83,0.0,10000,2307,1039,424,265,579
82,1.0,10000,2349,1100,406,260,583
83,1.0,10000,2302,1050,419,259,574
82,2.0,10000,2344,1099,404,260,581
83,2.0,10000,2296,1052,418,252,574
82,5.0,10000,2332,1096,397,264,575
83,5.0,10000,2290,1058,411,255,566
82,10.0,10000,2316,1083,397,280,556
83,10.0,10000,2275,1063,401,262,549
82,15.0,10000,2236,1052,383,274,527
83,15.0,10000,2162,1004,372,263,523
82,20.0,10000,2038,1050,355,285,348
83,20.0,10000,1948,997,345,278,328
82,25.0,10000,1728,1003,348,91,286
83,25.0,10000,1664,955,338,92,279
82,30.0,10000,1588,994,343,32,219
83,30.0,10000,1501,945,327,27,202
82,40.0,10000,954,651,224,18,61
83,40.0,10000,907,610,217,16,64
82,50.0,10000,517,395,110,9,3
83,50.0,10000,472,358,102,10,2
84,0.0,10000,2379,1066,441,275,597
85,0.0,10000,2380,1050,427,266,637
84,1.0,10000,2373,1081,432,269,591
85,1.0,10000,2375,1063,422,257,633
84,2.0,10000,2370,1083,434,266,587
85,2.0,10000,2369,1067,417,257,628
84,5.0,10000,2361,1083,433,262,583
85,5.0,10000,2358,1067,410,263,618
84,10.0,10000,2342,1074,434,272,562
85,10.0,10000,2347,1073,407,266,601
84,15.0,10000,2225,1032,396,264,533
85,15.0,10000,2232,1018,371,271,572
84,20.0,10000,1986,1030,371,269,316
85,20.0,10000,2006,1012,346,282,366
84,25.0,10000,1717,993,361,100,263
85,25.0,10000,1706,967,343,92,304
84,30.0,10000,1547,984,350,28,185
85,30.0,10000,1534,957,330,28,219
84,40.0,10000,948,654,217,16,61
85,40.0,10000,924,632,206,16,70
84,50.0,10000,501,394,96,10,1
85,50.0,10000,459,354,91,9,5
86,0.0,10000,2350,1018,445,296,591
87,0.0,10000,2364,1093,430,258,583
86,1.0,10000,2347,1030,443,289,585
87,1.0,10000,2357,1102,426,254,575
86,2.0,10000,2343,1036,437,286,584
87,2.0,10000,2354,1105,426,250,573
86,5.0,10000,2337,1038,431,293,575
87,5.0,10000,2347,1109,422,248,568
86,10.0,10000,2328,1042,426,302,558
87,10.0,10000,2326,1102,413,259,552
86,15.0,10000,2214,995,388,300,531
87,15.0,10000,2244,1059,391,263,531
86,20.0,10000,1968,995,348,310,315
87,20.0,10000,2024,1048,366,279,331
86,25.0,10000,1642,953,339,99,251
87,25.0,10000,1736,1011,356,93,276
86,30.0,10000,1482,936,334,30,182
87,30.0,10000,1598,1000,349,34,215
86,40.0,10000,890,592,215,16,67
87,40.0,10000,962,656,205,22,79
86,50.0,10000,455,329,113,9,4
87,50.0,10000,501,398,89,11,3
88,0.0,10000,2415,1087,430,283,615
89,0.0,10000,2359,1057,453,247,602
88,1.0,10000,2408,1096,424,280,608
89,1.0,10000,2356,1065,453,245,593
88,2.0,10000,2407,1100,423,280,604
89,2.0,10000,2352,1070,453,240,589
88,5.0,10000,2396,1104,413,282,597
89,5.0,10000,2347,1075,451,240,581
88,10.0,10000,2385,1115,397,288,585
89,10.0,10000,2328,1069,444,249,566
88,15.0,10000,2262,1052,370,288,552
89,15.0,10000,2244,1023,419,251,551
88,20.0,10000,2006,1040,345,283,338
89,20.0,10000,2049,1022,384,264,379
88,25.0,10000,1715,992,339,106,278
89,25.0,10000,1769,981,378,89,321
88,30.0,10000,1556,987,335,29,205
89,30.0,10000,1618,968,367,25,258
88,40.0,10000,938,650,199,19,70
89,40.0,10000,968,644,223,13,88
88,50.0,10000,496,399,84,11,2
89,50.0,10000,475,351,106,9,9
90,0.0,10000,2367,1048,397,296,626
91,0.0,10000,2385,1107,450,241,587
90,1.0,10000,2360,1053,397,291,619
91,1.0,10000,2380,1120,446,232,582
90,2.0,10000,2355,1058,394,288,615
91,2.0,10000,2379,1125,444,231,579
90,5.0,10000,2342,1052,392,293,605
91,5.0,10000,2369,1124,440,234,571
90,10.0,10000,2331,1062,380,303,586
91,10.0,10000,2348,1117,434,246,551
90,15.0,10000,2224,1015,345,298,566
91,15.0,10000,2231,1064,408,232,527
90,20.0,10000,1978,1014,316,305,343
91,20.0,10000,1987,1060,372,239,316
90,25.0,10000,1655,974,301,102,278
91,25.0,10000,1724,1020,356,82,266
90,30.0,10000,1477,961,292,31,193
91,30.0,10000,1583,1011,346,25,201
90,40.0,10000,904,628,190,17,69
91,40.0,10000,981,661,230,18,72
90,50.0,10000,468,367,89,11,1
91,50.0,10000,509,387,113,6,3
92,0.0,10000,2350,1051,413,242,644
93,0.0,10000,2403,1056,442,236,669
92,1.0,10000,2343,1061,413,238,631
93,1.0,10000,2399,1069,439,231,660
92,2.0,10000,2339,1067,406,242,624
93,2.0,10000,2395,1072,439,229,655
92,5.0,10000,2324,1059,405,244,616
93,5.0,10000,2390,1079,433,230,648
92,10.0,10000,2305,1042,407,257,599
93,10.0,10000,2374,1074,431,242,627
92,15.0,10000,2238,1022,380,264,572
93,15.0,10000,2274,1035,389,249,601
92,20.0,10000,2001,1019,351,275,356
93,20.0,10000,2020,1034,361,263,362
92,25.0,10000,1691,978,343,85,285
93,25.0,10000,1738,993,354,83,308
92,30.0,10000,1543,966,337,26,214
93,30.0,10000,1580,984,345,29,222
92,40.0,10000,925,631,200,19,75
93,40.0,10000,959,637,220,20,82
92,50.0,10000,477,370,93,10,4
93,50.0,10000,486,358,111,11,6
94,0.0,10000,2444,1117,421,255,651
95,0.0,10000,2429,1109,426,267,627
94,1.0,10000,2440,1127,420,251,642
95,1.0,10000,2422,1120,421,264,617
94,2.0,10000,2438,1132,416,249,641
95,2.0,10000,2421,1126,418,263,614
94,5.0,10000,2434,1142,414,250,628
95,5.0,10000,2408,1125,408,272,603
94,10.0,10000,2423,1143,414,256,610
95,10.0,10000,2392,1119,406,279,588
94,15.0,10000,2313,1087,387,261,578
95,15.0,10000,2296,1068,386,280,562
94,20.0,10000,2081,1087,349,278,367
95,20.0,10000,2039,1058,363,272,346
94,25.0,10000,1784,1053,343,96,292
95,25.0,10000,1740,1025,352,85,278
94,30.0,10000,1623,1039,336,28,220
95,30.0,10000,1606,1019,345,23,219
94,40.0,10000,1019,708,217,15,79
95,40.0,10000,1005,677,243,14,71
94,50.0,10000,519,414,95,6,4
95,50.0,10000,505,381,112,8,4
96,0.0,10000,2332,1036,439,250,607
97,0.0,10000,2334,1072,400,258,604
96,1.0,10000,2326,1041,439,243,603
97,1.0,10000,2331,1085,397,254,595
96,2.0,10000,2325,1047,436,240,602
97,2.0,10000,2331,1092,396,253,590
96,5.0,10000,2312,1040,439,245,588
97,5.0,10000,2320,1089,397,250,584
96,10.0,10000,2302,1047,429,261,565
97,10.0,10000,2307,1092,389,258,568
96,15.0,10000,2192,989,403,262,538
97,15.0,10000,2203,1045,359,253,546
96,20.0,10000,1978,987,378,275,338
97,20.0,10000,1982,1040,329,276,337
96,25.0,10000,1695,947,370,97,281
97,25.0,10000,1685,988,322,93,282
96,30.0,10000,1548,940,363,27,218
97,30.0,10000,1530,976,306,28,220
96,40.0,10000,933,621,218,14,80
97,40.0,10000,937,640,197,21,79
96,50.0,10000,484,370,107,5,2
97,50.0,10000,465,365,86,10,4
98,0.0,10000,2335,1058,424,256,597
99,0.0,10000,2345,1065,405,275,600
98,1.0,10000,2333,1068,424,247,594
99,1.0,10000,2339,1071,406,270,592
98,2.0,10000,2327,1069,420,249,589
99,2.0,10000,2336,1079,399,267,591
98,5.0,10000,2314,1068,412,252,582
99,5.0,10000,2317,1069,396,267,585
98,10.0,10000,2302,1073,400,266,563
99,10.0,10000,2303,1064,392,280,567
98,15.0,10000,2190,1017,374,258,541
99,15.0,10000,2215,1026,369,276,544
98,20.0,10000,1970,1015,344,276,335
99,20.0,10000,1995,1024,336,297,338
98,25.0,10000,1695,977,336,105,277
99,25.0,10000,1691,984,328,95,284
98,30.0,10000,1536,968,327,26,215
99,30.0,10000,1553,975,320,25,233
98,40.0,10000,950,651,210,17,72
99,40.0,10000,929,624,206,19,80
98,50.0,10000,499,394,91,10,4
99,50.0,10000,444,340,91,7,6
