species,sample,ke_setting_MeV,n,edep_raw_median,edep_raw_p16,edep_raw_p84,edep_vis_median,birks_ratio_median,dedx_median,path_mm_median,n_scint_median,arrival_median,pe_median,pe_p16,pe_p84,pe_per_MeV_median,adc_median,stopped_frac
proton,A,120.0,4000,13.783392945485277,13.25840258246117,14.328452242231863,12.741439687705011,0.9248421182367337,0.6449940440964959,20.140369362043035,127475.5,500.0,152.0,119.0,198.0,10.955257031168772,3895.0,0.02275
proton,A,160.0,4000,11.084061109761677,10.58675173513043,11.628876534129791,10.39754914233254,0.9388358239085675,0.5111630029488574,20.139053473849327,103954.5,408.0,124.0,97.0,161.0,11.084512739907403,3895.0,0.02325
proton,A,200.0,4000,9.471720667492315,8.974354831696576,10.032955730431707,8.966166243716845,0.9470960419753505,0.43301805355955525,20.13865838856864,89690.5,355.0,107.0,83.0,142.0,11.176461729072123,3895.0,0.02575
proton,B,5.0,1000,4.992595000508104,4.989566671293634,4.994471744435033,1.6906452168906319,0.33867291103349617,14.517509090887163,0.3437947057661061,16901.0,65.0,20.0,15.0,24.0,4.0048496129073445,1057.0,1.0
proton,B,8.0,1000,7.995136758401092,7.992986294252013,7.996590445344756,3.3093283633126243,0.41394396130346667,10.148290238644112,0.787759177536542,33096.0,129.0,39.0,32.0,45.0,4.877332862267227,1996.5,1.0
proton,B,12.0,1000,11.996700383550111,11.99499899319043,11.997784073330143,5.801316031097734,0.48358043635947423,7.380573939994351,1.6253554176572231,58018.5,225.0,67.0,60.0,76.0,5.585353722547207,3382.0,1.0
proton,B,18.0,1000,17.99778126540064,17.99627897817446,17.998548776869153,9.986383954723074,0.5548879111377047,5.337488944656375,3.3712151919649456,99853.0,389.0,117.0,107.0,128.0,6.500627063561243,3895.0,1.0
proton,B,25.0,1000,24.998349619505454,24.996985254008315,24.99898740335706,15.266124731453418,0.6106846242350769,4.092642054594084,6.104271087450209,152653.5,596.0,179.0,167.0,193.0,7.1604910552704535,3895.0,1.0
proton,B,32.0,1000,31.998706994853332,31.997520545140535,31.99921332048972,20.836291379944214,0.6511689445248442,3.3532704612307422,9.534326931946046,208368.5,816.0,246.0,230.0,262.15999999999997,7.6877943855331745,3895.0,1.0
proton,B,40.0,1000,39.9989777567754,39.9978394645133,39.99940091862688,27.435222899345924,0.685896252667,2.796258718585621,14.288657304029535,274343.0,1079.0,326.0,307.0,344.0,8.150093650133105,3895.0,1.0
proton,B,42.0,1000,41.999011078623404,41.9978013879126,41.999435893550604,29.10672561288326,0.6930485911475756,2.6862362611016386,15.603795692458238,291082.5,1138.0,343.0,323.0,362.0,8.166815524387115,3895.0,1.0
proton,B,43.0,1000,42.999034465887505,42.99786723164281,42.99945141017504,29.948235089594576,0.6964814639921704,2.6372654611535147,16.273184353007743,299502.0,1173.0,353.0,334.0,373.0,8.209454484958005,3895.0,1.0
proton,B,44.0,1000,43.99906501872512,43.99795291168263,43.99946386125925,30.797534453337306,0.6999649415139858,2.587608310897492,16.97474985670697,307926.0,1205.0,363.0,343.0,384.0,8.250245018096386,3895.0,1.0
proton,B,46.0,1000,45.99910378004492,45.99800027140844,45.99947478343858,32.50538922945353,0.7066541884096743,2.4947057271305133,18.399173990218078,325042.5,1270.0,383.0,362.0,404.0,8.326479168652053,3895.0,1.0
proton,B,55.0,1000,31.668384961869684,30.94165942275747,32.468926754811804,26.264412357296944,0.8301860430287078,1.5714315934631005,20.006906062261358,262713.0,1028.5,311.0,292.0,331.0,9.820469265248331,3895.0,0.036
proton,B,70.0,1000,22.7902613496979,22.141039723767012,23.47824548626007,19.966696321960296,0.8769793201544056,1.1087845609248306,20.00342484709276,199685.0,782.0,236.0,220.0,255.0,10.354107919458642,3895.0,0.038
proton,B,90.0,1000,17.744981646082557,17.288457851097053,18.258130354110865,16.024016088698886,0.9038585722587753,0.8473828838077886,20.001958648401942,160276.0,629.0,190.0,175.0,205.0,10.686862400142575,3895.0,0.029
proton,B,120.0,1000,13.749812169728562,13.281355193626784,14.264878167458539,12.710584928940222,0.9249382291027664,0.6443884315443003,20.001123508553526,126999.0,498.0,150.0,138.0,165.0,10.903897174572007,3895.0,0.025
proton,B,160.0,1000,11.041440698890252,10.61521659263304,11.533021891084946,10.36675896811736,0.9389212245423684,0.5108844791854639,20.000567547011176,103714.5,407.0,124.0,112.0,135.0,11.103234202031846,3895.0,0.021
proton,B,200.0,1000,9.41637727803763,8.984000849428352,9.947466554194262,8.915781394253766,0.9471193515430347,0.4334918113433137,20.000396314750986,89146.5,350.0,105.0,94.0,118.0,11.092768207121306,3895.0,0.019
