method,stratum,value,n,tp,fp,tn,fn,pid_efficiency,pid_purity,pid_specificity,pid_balanced_accuracy
mlp,pedestal_bin,"(-170.068, -8.932]",220,67,25,87,41,0.6203703703703703,0.7282608695652174,0.7767857142857143,0.6985780423280423
mlp,pedestal_bin,"(-8.932, 609.332]",220,70,24,82,44,0.6140350877192983,0.7446808510638298,0.7735849056603774,0.6938099966898379
mlp,pedestal_hysteresis,falling,111,38,14,43,16,0.7037037037037037,0.7307692307692307,0.7543859649122807,0.7290448343079923
mlp,pedestal_hysteresis,flat,442,131,50,180,81,0.6179245283018868,0.7237569060773481,0.782608695652174,0.7002666119770304
mlp,pedestal_hysteresis,rising,107,38,11,34,24,0.6129032258064516,0.7755102040816326,0.7555555555555555,0.6842293906810035
mlp,pileup_bin,clean,330,108,34,133,55,0.6625766871165644,0.7605633802816901,0.7964071856287425,0.7294919363726534
mlp,pileup_bin,overlap,330,99,41,124,66,0.6,0.7071428571428572,0.7515151515151515,0.6757575757575758
mlp,saturation_bin,saturated,240,89,40,82,29,0.7542372881355932,0.689922480620155,0.6721311475409836,0.7131842178382883
mlp,saturation_bin,unsaturated,420,118,35,175,92,0.5619047619047619,0.7712418300653595,0.8333333333333334,0.6976190476190476
mlp,late_tail_bin,core,656,206,75,254,121,0.6299694189602446,0.7330960854092526,0.7720364741641338,0.7010029465621892
mlp,late_tail_bin,late_tail_abs_gt_15ns_equiv,4,1,0,3,0,1.0,1.0,1.0,1.0
ridge,pedestal_bin,"(-4320.819, -170.068]",220,76,20,94,30,0.7169811320754716,0.7916666666666666,0.8245614035087719,0.7707712677921218
ridge,pedestal_bin,"(-170.068, -8.932]",220,75,21,91,33,0.6944444444444444,0.78125,0.8125,0.7534722222222222
ridge,pedestal_bin,"(-8.932, 609.332]",220,77,22,84,37,0.6754385964912281,0.7777777777777778,0.7924528301886793,0.7339457133399536
ridge,pedestal_hysteresis,falling,111,42,11,46,12,0.7777777777777778,0.7924528301886793,0.8070175438596491,0.7923976608187134
ridge,pedestal_hysteresis,flat,442,144,42,188,68,0.6792452830188679,0.7741935483870968,0.8173913043478261,0.748318293683347
ridge,pedestal_hysteresis,rising,107,42,10,35,20,0.6774193548387096,0.8076923076923077,0.7777777777777778,0.7275985663082437
ridge,pileup_bin,clean,330,116,30,137,47,0.7116564417177914,0.7945205479452054,0.8203592814371258,0.7660078615774586
ridge,pileup_bin,overlap,330,112,33,132,53,0.6787878787878788,0.7724137931034483,0.8,0.7393939393939395
ridge,saturation_bin,saturated,240,81,28,94,37,0.6864406779661016,0.7431192660550459,0.7704918032786885,0.7284662406223951
ridge,saturation_bin,unsaturated,420,147,35,175,63,0.7,0.8076923076923077,0.8333333333333334,0.7666666666666666
ridge,late_tail_bin,core,660,228,63,269,100,0.6951219512195121,0.7835051546391752,0.8102409638554217,0.752681457537467
template_residual_boosted_stack_new,pedestal_bin,"(-4320.819, -170.068]",220,94,23,91,12,0.8867924528301887,0.8034188034188035,0.7982456140350878,0.8425190334326382
template_residual_boosted_stack_new,pedestal_bin,"(-170.068, -8.932]",220,99,22,90,9,0.9166666666666666,0.8181818181818182,0.8035714285714286,0.8601190476190477
template_residual_boosted_stack_new,pedestal_bin,"(-8.932, 609.332]",220,104,24,82,10,0.9122807017543859,0.8125,0.7735849056603774,0.8429328037073817
template_residual_boosted_stack_new,pedestal_hysteresis,falling,111,48,13,44,6,0.8888888888888888,0.7868852459016393,0.7719298245614035,0.8304093567251462
template_residual_boosted_stack_new,pedestal_hysteresis,flat,442,192,46,184,20,0.9056603773584906,0.8067226890756303,0.8,0.8528301886792453
template_residual_boosted_stack_new,pedestal_hysteresis,rising,107,57,10,35,5,0.9193548387096774,0.8507462686567164,0.7777777777777778,0.8485663082437276
template_residual_boosted_stack_new,pileup_bin,clean,330,153,34,133,10,0.9386503067484663,0.8181818181818182,0.7964071856287425,0.8675287461886043
template_residual_boosted_stack_new,pileup_bin,overlap,330,144,35,130,21,0.8727272727272727,0.8044692737430168,0.7878787878787878,0.8303030303030303
template_residual_boosted_stack_new,saturation_bin,saturated,240,111,32,90,7,0.940677966101695,0.7762237762237763,0.7377049180327869,0.839191442067241
template_residual_boosted_stack_new,saturation_bin,unsaturated,420,186,37,173,24,0.8857142857142857,0.8340807174887892,0.8238095238095238,0.8547619047619047
template_residual_boosted_stack_new,late_tail_bin,core,660,297,69,263,31,0.9054878048780488,0.8114754098360656,0.7921686746987951,0.8488282397884219
