heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
61,hgb_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.1602493748214138,2.240053290384363,2.75462092284195,0.020364415862808145,1.1084883468984617,1.2042314987021085,-1.02816835258725,-1.0989062988248073,-0.9532510542897966
61,hgb_full,ml,s02b_global_template_timewalk,933,2799,1.164543985356522,2.29369796396002,2.787888905745492,0.021436227224008574,1.1126735498408635,1.2197744711780487,-1.0238737420521418,-1.0924337224286158,-0.9374422270806124
61,hgb_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.170008645721631,2.2942777409214195,2.7582389405011036,0.022150768131475526,1.1241267243866555,1.2199633467839857,-1.0184090816870328,-1.0821153383888784,-0.9290522966323042
61,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,933,2799,1.1790956530230974,2.269223818120259,2.7362351238911518,0.021078956770275097,1.1255251438363387,1.2179233829405323,-1.0093220743855664,-1.0795204238294265,-0.9355934073885616
61,ridge_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.2808333478852418,2.4184247072122393,2.8868425285699164,0.018578063594140763,1.2090694846507148,1.3190482310745257,-0.907584379523422,-0.9786761107306948,-0.8277976196210539
61,ridge_full,ml,s02b_global_template_timewalk,933,2799,1.2817247664755165,2.4073666749174403,2.900960787382151,0.017506252232940337,1.2192935629078105,1.3332075131053744,-0.9066929609331473,-0.9707526215323633,-0.8217931777258772
61,ridge_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.2817646324461278,2.4073582535421583,2.9011250518226874,0.017506252232940337,1.2192002283223824,1.3332747898067057,-0.906653094962536,-0.9706920164981312,-0.8218249016722102
61,ridge_run_family_control,run_family_control,s02b_global_template_timewalk,933,2799,1.2908089353739054,2.4344051542522855,2.9149436617613396,0.018578063594140763,1.223821856014996,1.3404919531447856,-0.8976087920347584,-0.9731122244615377,-0.816517201682102
61,cnn1d_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.6165243328774241,2.6431972446953935,3.5725410033846936,0.02679528403001072,1.5441582829634917,1.7021269324232473,-0.5718933945312397,-0.6034827384210429,-0.5253610680172683
61,early_late_gated_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.639005845319054,2.6619500856083835,3.6516115406189584,0.0285816362986781,1.562872772932354,1.716971331701479,-0.5494118820896099,-0.5761597660448661,-0.5042984172689553
61,early_late_gated_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.8723030803471679,2.7695329827577106,3.835187821393697,0.03644158628081458,1.8076845847135241,1.9551061745258689,-0.31611464706149595,-0.34492804558556206,-0.2753725288304244
61,mlp_only_sample6,ml,s02b_global_template_timewalk,933,2799,1.8742288693450389,2.783405784029158,3.8779887974703033,0.036084315827081104,1.7996271313491845,1.955375372620384,-0.31418885806362495,-0.33932064174719445,-0.2837282805702747
61,cnn1d_full,ml,s02b_global_template_timewalk,933,2799,1.8752199803158152,2.7778122334720474,3.8538016619320445,0.037156127188281526,1.812938717272159,1.9488242207832924,-0.31319774709284864,-0.33396376608502293,-0.26632698277520683
61,cnn1d_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.9187064634274449,2.809079681055673,3.9143046539891526,0.03965702036441586,1.8514330724653991,2.0041407884028395,-0.2697112639812189,-0.2850203710666231,-0.2341123058528616
61,mlp_no_sample6,ml,s02b_global_template_timewalk,933,2799,1.9328394781708578,2.840606578127407,4.002439119775099,0.04215791354055019,1.8597971182919537,2.022183419873134,-0.25557824923780603,-0.2802214608333286,-0.2191603298181345
61,mlp_full,ml,s02b_global_template_timewalk,933,2799,2.0120475982427415,2.8620078913698204,4.028963478752167,0.04215791354055019,1.9369414089251769,2.104684708917743,-0.17637012916592232,-0.19489233004798123,-0.13757442470836084
61,cnn1d_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.01643525642974,2.8504272851502996,3.96834949301858,0.043586995355484104,1.9498949329024253,2.083025243782865,-0.17198247097892372,-0.19677229053035225,-0.14477723634178455
61,early_late_gated_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.0948671417337756,2.9048136418731274,4.091945860374158,0.04751697034655234,2.0214679668653672,2.168452022641875,-0.09355058567488816,-0.10973328185894954,-0.06134621357185183
61,early_late_gated_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.119490512712121,2.9029492676129722,4.073823825260468,0.04715969989281887,2.02766661242832,2.182549771730115,-0.06892721469654273,-0.08925569169329224,-0.051673528611182046
61,early_late_gated_full,ml,s02b_global_template_timewalk,933,2799,2.1215909284640375,2.9446201735233934,4.1889314492449214,0.05037513397642015,2.044148066793568,2.2027154307378742,-0.06682679894462629,-0.08431696511835496,-0.036126838050597555
61,mlp_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1490008070219484,2.9171249691302443,4.128075020534733,0.04858878170775277,2.092348912894794,2.2244753728864364,-0.039416920386715404,-0.05269927150257252,0.008425566983349977
61,ridge_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1623458780442775,2.938616731714508,4.257854003113333,0.05323329760628796,2.0915257923504598,2.267507570153616,-0.026071849364386335,-0.039821774961012614,0.019116122234557394
61,hgb_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.166895564727303,2.959855715411567,4.251702735472487,0.054305108967488386,2.0976073171618252,2.2582360390851917,-0.021522162681360868,-0.04518468022156765,0.025636623120688797
61,ridge_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1681427345938054,2.9333111431875873,4.178395494972029,0.04930332261521972,2.0929340513231742,2.248963704106307,-0.02027499281485845,-0.034570882219713314,0.010849083581479013
61,mlp_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1708083960401754,2.938471993092118,4.212994064700197,0.05144694533762058,2.0770354298335367,2.251843305133721,-0.017609331368488412,-0.03826799730633799,0.005638701010077632
61,extra_trees_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1790368099346,2.964115051248712,4.427923075548334,0.05930689531975706,2.118018141152773,2.241706161165628,-0.009380917474063999,-0.05643852943427465,0.04003677674455184
61,mlp_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.18171318475855,2.9505433805375474,4.214968087213583,0.05073240443015362,2.093552597702204,2.2632812565602873,-0.006704542650113776,-0.026938591033116622,0.01612337199805337
61,s02b_global_template_timewalk,traditional,s02b_global_template_timewalk,933,2799,2.188417727408664,2.9361812514532506,4.182424493267176,0.050017863522686674,2.1002083975355177,2.260739610824832,0.0,0.0,0.0
61,extra_trees_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1914275110583747,2.9773185313403996,4.272930821044919,0.055376920328688815,2.13281019291346,2.281117962976681,0.00300978364971094,-0.03909198519408981,0.07246737377352927
61,early_late_gated_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.1944616407393323,2.939851089347243,4.206392586300931,0.051089674883887104,2.1091119035395614,2.270595853896749,0.006043913330668449,-0.0034639267039827783,0.030911303202394713
61,cnn1d_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.2142662573140224,2.9545335253652896,4.230807750725592,0.05323329760628796,2.1290443066931335,2.281420098096218,0.025848529905358575,-0.0008611856510369663,0.042275342804666154
61,hgb_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.22638271825844,2.962067300599755,4.3093927952141,0.0571632725973562,2.164224002067101,2.301902969881397,0.037964990849776115,0.004872335737542655,0.08711013000771581
61,ridge_full_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.2417779635270376,2.963623040647832,4.254090720526617,0.05359056806002144,2.159840055835972,2.3113618036902293,0.053360236118373816,0.028788431107740577,0.08252241093832362
61,hgb_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.241931384510867,2.972949950845067,4.304984947185958,0.05609146123615577,2.17084224783249,2.331345477108011,0.053513657102203016,0.02589346945949007,0.09839024533593015
61,cnn1d_only_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.2526539300065114,2.960986189746709,4.283428836768404,0.055734190782422297,2.1633496507161754,2.3259923708640735,0.06423620259784757,0.03218486635376785,0.0847720296463118
61,extra_trees_no_sample6_shuffled,shuffled_target_control,s02b_global_template_timewalk,933,2799,2.2938479584633304,2.989173289860967,4.392952635775401,0.058592354412290104,2.234429314655873,2.3697354421737953,0.10543023105466665,0.06357386720568299,0.1724838658889088
62,extra_trees_no_sample6,ml,s02b_global_template_timewalk,807,2421,1.0955003605424245,2.1387484645223203,2.733721287592722,0.02808756712102437,1.0276487796793001,1.1737997180274333,-0.5344447533348531,-0.6112320810916383,-0.44929112943123684
62,extra_trees_full,ml,s02b_global_template_timewalk,807,2421,1.0987950128011221,2.1189948683442537,2.753576726235643,0.027674514663362248,1.0380824481540794,1.1697359168354964,-0.5311501010761555,-0.6067133125932345,-0.4610948560884676
62,early_late_gated_full,ml,s02b_global_template_timewalk,807,2421,1.1042227948293628,2.297543642042193,2.7515460587869924,0.027261462205700124,1.050918494946862,1.1884470125342133,-0.5257223190479148,-0.5691205192027615,-0.4583700830312417
62,hgb_full,ml,s02b_global_template_timewalk,807,2421,1.1398789398403208,2.059929506916684,2.751082629869387,0.03139198678232136,1.0830582493836591,1.2122113626024698,-0.49006617403695674,-0.5603165435800729,-0.4121107985516101
62,hgb_no_sample6,ml,s02b_global_template_timewalk,807,2421,1.1418256906781152,2.0748841306720514,2.7432422648545014,0.030152829409334985,1.0874695266577676,1.2136632203084248,-0.48811942319916235,-0.5596206911276279,-0.4109857544876815
62,extra_trees_only_sample6,ml,s02b_global_template_timewalk,807,2421,1.1694149439271682,2.1717035508211273,2.8025404104412246,0.02973977695167286,1.1043273810174261,1.240566819579503,-0.4605301699501094,-0.5453429851091042,-0.3870338637270195
62,hgb_only_sample6,ml,s02b_global_template_timewalk,807,2421,1.1768985028603147,2.1061595912095643,2.7552076143844886,0.028913672036348616,1.1253310901559805,1.2507556832028364,-0.45304661101696286,-0.5196249953504242,-0.37628391340545686
62,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,807,2421,1.2404154063025963,2.134500098231857,2.8527459770230905,0.0322180916976456,1.182479176403882,1.3042982351452048,-0.3895297075746813,-0.45614594330718344,-0.31908116422686306
62,cnn1d_only_sample6,ml,s02b_global_template_timewalk,807,2421,1.3033549586914888,2.3406307200926255,2.85111579852655,0.028913672036348616,1.241989431990005,1.3555846543348855,-0.3265901551857888,-0.3659678042731154,-0.2913903639565367
62,early_late_gated_no_sample6,ml,s02b_global_template_timewalk,807,2421,1.3067473525275843,2.3363681860787295,2.832824523021145,0.02973977695167286,1.2600619836685796,1.371709058780305,-0.32319776134969325,-0.3477534181226186,-0.2853731160023606
62,early_late_gated_only_sample6,ml,s02b_global_template_timewalk,807,2421,1.313199691508509,2.346646684669952,2.859770630325009,0.030978934324659233,1.266906092283707,1.372636528534585,-0.3167454223687687,-0.34290096575558,-0.28175518746273337
62,ridge_only_sample6,ml,s02b_global_template_timewalk,807,2421,1.322502139357045,2.323386275713675,3.00629150685063,0.040479140850888065,1.2624354889823062,1.3918715662098198,-0.3074429745202325,-0.3798013944687108,-0.23163233811077133
62,ridge_no_sample6,ml,s02b_global_template_timewalk,807,2421,1.328214757879401,2.2822273923225143,2.8683852098056377,0.035522511358942584,1.2771354124416805,1.3822115449285928,-0.30173035599787656,-0.36682993442331574,-0.2328223908490255
62,ridge_full,ml,s02b_global_template_timewalk,807,2421,1.328231286247397,2.282227817136083,2.868516995675236,0.035522511358942584,1.2771285896842577,1.3822027058577957,-0.3017138276298805,-0.36686968252574226,-0.2328864360398368
62,cnn1d_full,ml,s02b_global_template_timewalk,807,2421,1.3350310070000853,2.3567492464962303,2.875513609436325,0.0322180916976456,1.2807392738370742,1.3906746333425544,-0.29491410687719233,-0.32203263274598687,-0.25966032730403743
62,ridge_run_family_control,run_family_control,s02b_global_template_timewalk,807,2421,1.3439134552711947,2.3356326191499637,3.0478761616462577,0.040479140850888065,1.2779394072367534,1.4134275819050546,-0.28603165860608293,-0.36284345443621047,-0.2057193715363652
