method,run,stave,n,ks,wasserstein,median_frac_error,p90_frac_error
ridge,65,B6,323,0.23529411764705882,0.13046205404819958,0.11907446015035865,-0.08110443204786792
ridge,65,B8,105,0.1619047619047619,0.10197036592300183,-0.017646681080454148,-0.14353555359431786
gradient_boosted_trees,44,B2,1884,0.19002123142250532,0.16147585001031284,-0.07062215875214167,-0.19213071482941568
gradient_boosted_trees,44,B4,93,0.27956989247311825,0.2160658890373602,-0.06811317079416217,-0.2239494342820052
gradient_boosted_trees,44,B6,44,0.3181818181818182,0.237589860767087,0.15105250473227697,-0.23573595589886423
gradient_boosted_trees,44,B8,17,0.35294117647058826,0.3644499786878415,0.03215645783240627,-0.49970817109364085
gradient_boosted_trees,45,B2,22786,0.24778372684982009,0.1632230677966587,0.19239068833543727,-0.20672595581135614
gradient_boosted_trees,45,B4,969,0.2218782249742002,0.1895726231174142,-0.001156966455142392,-0.22666048562012234
gradient_boosted_trees,45,B6,401,0.29925187032418954,0.17959379821735647,-0.022895184848800546,-0.24756885928970554
gradient_boosted_trees,45,B8,177,0.3898305084745763,0.23047898961784796,-0.0800159877742771,-0.27285019439003155
gradient_boosted_trees,46,B2,675,0.32296296296296295,0.2495968030853621,0.353762327972534,-0.1632762033537215
gradient_boosted_trees,46,B4,7,0.5714285714285714,0.48397840968506545,0.43360273222219464,-0.13497016289648608
