stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
normal_matched_pool,template_fit_calibrated,618487,-0.16800574364151083,0.24546452426061008,0.8699801440013363,0.30126098042481086,0.1291199329977833,"[-0.17138397085524656, -0.0771844937889428]","[0.24345158835325892, 0.2980713814245419]","[0.8294341412056112, 1.0514087381480433]","[0.2923672495575051, 0.3769488176021523]"
normal_matched_pool,p04_frozen_mlp,618487,-0.43291543113700176,0.9666374434365683,5467791.210972049,0.8588604125874917,0.05583140793581757,"[-0.5817824248883787, -0.4267596693953587]","[0.9635591634431746, 0.9803522417089692]","[36848.57716832043, 602574.5419787341]","[0.8570419323515969, 0.8854865780688828]"
normal_matched_pool,p04f_residual_mlp,618487,-0.0005199079798518416,0.053327906968446144,0.12444229172316545,0.03203786013287264,0.8597852501346027,"[-0.0018948006119887104, 0.0007184885705346898]","[0.05096563724062917, 0.06355913445254328]","[0.10903961297512506, 0.13341859938319411]","[0.02849660781428805, 0.04395946341375844]"
normal_matched_pool,shuffled_residual_mlp,618487,-0.04363715770936115,0.1566480227568574,1669068354.794125,0.1852601590655907,0.5226868147592432,"[-0.06634119847090957, -0.03644640196935833]","[0.14724901553203748, 0.21540561187477777]","[0.7757781197517293, 37.00715341409663]","[0.16541298226269238, 0.2692768421969124]"
baseline_excursion,peak_charge_calibrated,4763,11.346346352974924,13.567337182876946,14.19361522575446,0.9993701448666806,0.0002099517111064455,"[11.038233431721984, 11.730737877682506]","[13.306750215357797, 13.819845351949759]","[13.331681452967347, 15.15545214745541]","[0.9987507766809939, 1.0]"
baseline_excursion,integral_calibrated,4763,5.726255620683234,7.0501727540695835,10.1749310762204,0.9580096577787109,0.017006088599622087,"[5.510409622128606, 5.961456033687462]","[6.886551604408696, 7.2326921725621425]","[9.144008169588954, 11.285478820063526]","[0.9506660500306923, 0.9656060544028983]"
baseline_excursion,robust_pretrigger_charge,4763,5.726250361899247,7.050161558082337,10.17493700597942,0.9580096577787109,0.017006088599622087,"[5.503630700571137, 5.96258014918142]","[6.88252266514554, 7.23267638859202]","[9.079578091206145, 11.434599845736596]","[0.9499071439903, 0.9656740069871835]"
baseline_excursion,template_fit_calibrated,4763,6.289887907000576,10.343082635249244,10.760449980869003,0.9976905311778291,0.0014696619777451185,"[5.480415982614798, 7.226185337704028]","[9.841208196788752, 10.933036682176617]","[10.391172382122674, 11.108614229989062]","[0.9963417418869547, 0.9988247114225574]"
baseline_excursion,p04_frozen_mlp,4763,0.9976009754975977,3.0777801359064663,1.4112505569694509e+35,0.9006928406466512,0.03653159773252152,"[0.6427972663956797, 1.7384483257252898]","[2.212416758580708, 4.915086529227546]","[2.779569150357074e+27, 2.549573520548847e+35]","[0.8793024511485857, 0.9199601312153306]"
baseline_excursion,p04f_residual_mlp,4763,0.07031548468461495,0.4533364466785785,877.6120935320068,0.5649800545874449,0.18391769892924628,"[0.041446800325130866, 0.09437426489254365]","[0.40907981013332145, 0.5084486399394974]","[34.582259407233195, 1611.078427438223]","[0.5285934541315229, 0.6089403744869383]"
