dimension,stratum,method,method_label,calibration_loss,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,traditional_calibration_loss,traditional_sigma68_ns,traditional_full_rms_ns,traditional_tail_frac_abs_gt5ns,traditional_pull_width68,traditional_coverage68,traditional_coverage95,ml_minus_traditional_calibration_loss,ml_minus_traditional_sigma68_ns,ml_minus_traditional_full_rms_ns,ml_minus_traditional_tail_frac_abs_gt5ns,ml_minus_traditional_pull_width68,ml_minus_traditional_coverage68,ml_minus_traditional_coverage95
charge_bin,"charge[24000,40000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.0563184783074579,1.5455303956982913,1.4344868872343288,0.0,1.0754475958164107,0.602970297029703,0.9584158415841584,0.18681879726513667,1.8307787103484487,1.8470740449157,0.007920792079207921,1.2779439211520764,0.5118811881188119,0.807920792079208,-0.13050031895767877,-0.28524831465015743,-0.4125871576813711,-0.007920792079207921,-0.20249632533566575,0.09108910891089106,0.1504950495049504
charge_bin,"charge[24000,40000)",cnn1d,1D-CNN residual scale model,0.13527287679683422,1.5108284589386027,1.459936825207885,0.0,1.1809681600709458,0.49306930693069306,0.9089108910891089,0.18681879726513667,1.8307787103484487,1.8470740449157,0.007920792079207921,1.2779439211520764,0.5118811881188119,0.807920792079208,-0.05154592046830245,-0.319950251409846,-0.3871372197078149,-0.007920792079207921,-0.0969757610811306,-0.01881188118811883,0.10099009900990097
charge_bin,"charge[24000,40000)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.1720633084086939,1.5182480181503468,1.4759891402807477,0.0,1.2752585993896717,0.5079207920792079,0.8514851485148515,0.18681879726513667,1.8307787103484487,1.8470740449157,0.007920792079207921,1.2779439211520764,0.5118811881188119,0.807920792079208,-0.014755488856442761,-0.3125306921981019,-0.37108490463495225,-0.007920792079207921,-0.0026853217624047687,-0.003960396039603964,0.04356435643564349
charge_bin,"charge[24000,40000)",mlp,MLP residual scale model,0.1797221043433956,1.5713365081812316,1.4884057754293984,0.0,1.3202502187720428,0.503960396039604,0.8663366336633663,0.18681879726513667,1.8307787103484487,1.8470740449157,0.007920792079207921,1.2779439211520764,0.5118811881188119,0.807920792079208,-0.00709669292174106,-0.25944220216721714,-0.3586682694863015,-0.007920792079207921,0.042306297619966404,-0.007920792079207928,0.05841584158415836
charge_bin,"charge[24000,40000)",ridge,Ridge residual scale model,0.1983584012014956,1.7863538489974449,1.749199008034828,0.0039603960396039604,1.3487558022440467,0.49405940594059405,0.8435643564356435,0.18681879726513667,1.8307787103484487,1.8470740449157,0.007920792079207921,1.2779439211520764,0.5118811881188119,0.807920792079208,0.011539603936358916,-0.044424861351003875,-0.09787503688087185,-0.0039603960396039604,0.07081188109197023,-0.017821782178217838,0.035643564356435564
charge_bin,"charge[8000,14000)",ridge,Ridge residual scale model,0.15478019078713423,1.7153122247819417,1.729018598215751,0.0056179775280898875,0.8242954975288732,0.4887640449438202,0.848314606741573,0.1907977844153198,1.8342818369746035,1.9067297710306594,0.016853932584269662,1.1632699752803184,0.4887640449438202,0.7528089887640449,-0.036017593628185574,-0.11896961219266178,-0.17771117281490834,-0.011235955056179775,-0.3389744777514452,0.0,0.0955056179775281
charge_bin,"charge[8000,14000)",gradient_boosted_trees,HistGradientBoosting residual scale model,0.15761220198983653,1.629981000959524,1.5797698164879892,0.0,0.9309449808079516,0.43820224719101125,0.8202247191011236,0.1907977844153198,1.8342818369746035,1.9067297710306594,0.016853932584269662,1.1632699752803184,0.4887640449438202,0.7528089887640449,-0.03318558242548328,-0.20430083601507953,-0.32695995454267024,-0.016853932584269662,-0.23232499447236676,-0.050561797752808946,0.0674157303370787
charge_bin,"charge[8000,14000)",mlp,MLP residual scale model,0.16276390870526886,1.6151128028056785,1.5388317155010662,0.0,0.928877479788919,0.4550561797752809,0.797752808988764,0.1907977844153198,1.8342818369746035,1.9067297710306594,0.016853932584269662,1.1632699752803184,0.4887640449438202,0.7528089887640449,-0.02803387571005095,-0.21916903416892497,-0.3678980555295932,-0.016853932584269662,-0.2343924954913994,-0.0337078651685393,0.0449438202247191
charge_bin,"charge[8000,14000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.2028521505571659,1.48834516845401,1.5363946894206244,0.0,0.4135985476794657,0.5786516853932584,0.9943820224719101,0.1907977844153198,1.8342818369746035,1.9067297710306594,0.016853932584269662,1.1632699752803184,0.4887640449438202,0.7528089887640449,0.012054366141846101,-0.34593666852059335,-0.37033508161003503,-0.016853932584269662,-0.7496714276008527,0.0898876404494382,0.2415730337078652
charge_bin,"charge[8000,14000)",cnn1d,1D-CNN residual scale model,0.23013991044394794,1.6850796642886292,1.58170219178347,0.0,0.5885869559802702,0.37640449438202245,0.9831460674157303,0.1907977844153198,1.8342818369746035,1.9067297710306594,0.016853932584269662,1.1632699752803184,0.4887640449438202,0.7528089887640449,0.03934212602862813,-0.14920217268597424,-0.3250275792471895,-0.016853932584269662,-0.5746830193000482,-0.11235955056179775,0.2303370786516854
