stratum,method,alpha,fold,sigma68_ns,n_pair_residuals,n_bins
b2_penetrating_ge2,monotonic_binned_timewalk,,1,3.8017410675040715,2138,10.0
b2_penetrating_ge2,monotonic_binned_timewalk,,2,3.2664719664118635,2105,10.0
b2_penetrating_ge2,monotonic_binned_timewalk,,-1,3.4213943510815867,0,10.0
b2_penetrating_ge2,monotonic_binned_timewalk,,0,3.241049109589895,2056,12.0
b2_penetrating_ge2,monotonic_binned_timewalk,,1,3.835594654262426,2138,12.0
b2_penetrating_ge2,monotonic_binned_timewalk,,2,3.4361647468890766,2105,12.0
b2_penetrating_ge2,monotonic_binned_timewalk,,-1,3.5042695035804656,0,12.0
b2_penetrating_ge2,waveform_ridge,0.01,0,3.274866077202695,2056,
b2_penetrating_ge2,waveform_ridge,0.01,1,3.273354866226213,2138,
b2_penetrating_ge2,waveform_ridge,0.01,2,3.2935159887918863,2105,
b2_penetrating_ge2,waveform_ridge,0.01,-1,3.280578977406931,0,
b2_penetrating_ge2,waveform_ridge,0.1,0,3.274840435588708,2056,
b2_penetrating_ge2,waveform_ridge,0.1,1,3.2731522897198233,2138,
b2_penetrating_ge2,waveform_ridge,0.1,2,3.293462132893951,2105,
b2_penetrating_ge2,waveform_ridge,0.1,-1,3.280484952734161,0,
b2_penetrating_ge2,waveform_ridge,1.0,0,3.2777792016544014,2056,
b2_penetrating_ge2,waveform_ridge,1.0,1,3.2732880799366404,2138,
b2_penetrating_ge2,waveform_ridge,1.0,2,3.2881598872766338,2105,
b2_penetrating_ge2,waveform_ridge,1.0,-1,3.279742389622559,0,
b2_penetrating_ge2,waveform_ridge,10.0,0,3.2736708530992686,2056,
b2_penetrating_ge2,waveform_ridge,10.0,1,3.263117565505005,2138,
b2_penetrating_ge2,waveform_ridge,10.0,2,3.2862308353702674,2105,
b2_penetrating_ge2,waveform_ridge,10.0,-1,3.274339751324847,0,
b2_penetrating_ge2,waveform_ridge,100.0,0,3.239192043065664,2056,
b2_penetrating_ge2,waveform_ridge,100.0,1,3.2373310607762416,2138,
b2_penetrating_ge2,waveform_ridge,100.0,2,3.257092760513127,2105,
b2_penetrating_ge2,waveform_ridge,100.0,-1,3.2445386214516776,0,
