method,run,pair_a,pair_b,cov_ns2,pair_a_has_b2,pair_b_has_b2
raw_pair_median,62,B2-B4,B2-B6,121.33856037054886,True,True
raw_pair_median,62,B2-B4,B2-B8,104.77636784485978,True,True
raw_pair_median,62,B2-B4,B4-B6,0.427840271998273,True,False
raw_pair_median,62,B2-B4,B4-B8,0.16148385634364767,True,False
raw_pair_median,62,B2-B4,B6-B8,-0.1707623484809497,True,False
raw_pair_median,62,B2-B6,B2-B8,95.41191429217373,True,True
raw_pair_median,62,B2-B6,B4-B6,26.20972719081262,True,False
raw_pair_median,62,B2-B6,B4-B8,2.5371543524112643,True,False
raw_pair_median,62,B2-B6,B6-B8,-1.0622038419115352,True,False
raw_pair_median,62,B2-B8,B4-B6,2.629863400204285,True,False
raw_pair_median,62,B2-B8,B4-B8,26.79915787880714,True,False
raw_pair_median,62,B2-B8,B6-B8,22.98264585171914,True,False
raw_pair_median,62,B4-B6,B4-B8,3.1469743293516674,False,False
raw_pair_median,62,B4-B6,B6-B8,-1.0668370100380222,False,False
raw_pair_median,62,B4-B8,B6-B8,23.551304425121963,False,False
raw_pair_median,63,B2-B4,B2-B6,324.7214820848861,True,True
raw_pair_median,63,B2-B4,B2-B8,323.13278084461734,True,True
raw_pair_median,63,B2-B4,B4-B6,-12.834151404027061,True,False
raw_pair_median,63,B2-B4,B4-B8,-2.74806003867888,True,False
raw_pair_median,63,B2-B4,B6-B8,-3.345639165518044,True,False
raw_pair_median,63,B2-B6,B2-B8,287.9032089870075,True,True
raw_pair_median,63,B2-B6,B4-B6,38.53256298935719,True,False
raw_pair_median,63,B2-B6,B4-B8,0.9632541210950921,True,False
raw_pair_median,63,B2-B6,B6-B8,-4.130766950137914,True,False
raw_pair_median,63,B2-B8,B4-B6,5.268629362288977,True,False
raw_pair_median,63,B2-B8,B4-B8,57.829386011508035,True,False
raw_pair_median,63,B2-B8,B6-B8,49.10865953169694,True,False
raw_pair_median,63,B4-B6,B4-B8,3.600438279797963,False,False
raw_pair_median,63,B4-B6,B6-B8,-1.1661433504584013,False,False
raw_pair_median,63,B4-B8,B6-B8,53.13103777367846,False,False
raw_pair_median,65,B2-B4,B2-B6,639.7688041739026,True,True
