n_pairs,n_events,veto_fraction,timing_efficiency,tail_capture,tail_fraction_before,tail_fraction_after,tail_fraction_delta,sigma68_before_ns,sigma68_after_ns,full_rms_before_ns,full_rms_after_ns,charge_support_tvd,current_proxy_tvd,topology_support_tvd,saturation_fraction_delta,late_peak_fraction_delta,support_drift_max,method,threshold_quantile,heldout_run
2799,933,0.23687031082529475,0.7631296891747053,0.5789473684210527,0.020364415862808145,0.011235955056179775,-0.00912846080662837,1.6969451470464478,1.5771768618883004,6.264312275363575,4.0376009619859445,0.04306162714613163,0.010367366354757518,0.1044007490636704,0.0,0.003020239973345218,0.1044007490636704,ridge,0.75,61
2421,807,0.2598099958694754,0.7401900041305246,0.6521739130434783,0.00950020652622883,0.004464285714285714,-0.005035920811943116,1.685448011531863,1.5221808038571398,4.387585259011599,1.6861846550320876,0.041100333023543954,0.004216039343246589,0.12518601190476192,0.0,0.003772561146515613,0.12518601190476192,ridge,0.75,62
1110,370,0.24234234234234234,0.7576576576576577,0.47058823529411764,0.015315315315315315,0.01070154577883472,-0.0046137695364805945,1.8190125506653212,1.6279660180115267,6.186312428191332,5.53912056682545,0.02296386755364165,0.01724137931034482,0.1181133571145462,0.0,0.007379674561600838,0.1181133571145462,ridge,0.75,63
198,66,0.17676767676767677,0.8232323232323232,0.0,0.0,0.0,0.0,1.5639898548543092,1.4982635604019223,1.6496900544024526,1.5931513238642208,0.006072999938030593,0.015337423312883444,0.11860940695296522,0.0,0.00030984693561381116,0.11860940695296522,ridge,0.75,65
219,73,0.1872146118721461,0.812785388127854,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4624033029093404,4.245584726803905,1.5223635907038355,0.03340003078343853,0.04055718023703246,0.08052434456928839,0.0,0.022754091632035317,0.08052434456928839,ridge,0.8,58
2289,763,0.1852337265181302,0.8147662734818698,0.6944444444444444,0.015727391874180863,0.005898123324396783,-0.009829268549784081,1.6083042242117618,1.484295771062317,5.355791269302135,1.8160551184259888,0.023386121056878824,0.0028299466969314846,0.060947274352100095,0.0,0.0028615701390377404,0.060947274352100095,ridge,0.8,59
2424,808,0.22318481848184818,0.7768151815181519,0.4358974358974359,0.01608910891089109,0.01168348380244291,-0.004405625108448179,1.6585190010528037,1.5472500733679373,6.872022451994516,6.150310230796181,0.02743914194924538,0.010886882634094541,0.08691803859090105,0.0,0.007148378141053617,0.08691803859090105,ridge,0.8,60
2799,933,0.1847088245802072,0.8152911754197928,0.5263157894736842,0.020364415862808145,0.011831726555652936,-0.008532689307155209,1.6969451470464478,1.5673615366481388,6.264312275363575,4.147765561521019,0.041326422138368554,0.010614783857637894,0.05682150160677771,0.0,0.004077611291625059,0.05682150160677771,ridge,0.8,61
2421,807,0.21396117306897977,0.7860388269310202,0.6521739130434783,0.00950020652622883,0.004203888596952181,-0.00529631792927665,1.685448011531863,1.533592814300134,4.387585259011599,1.6869342013729844,0.03757735508815298,0.003509752096897842,0.08162550359082152,0.0,0.004223857501894336,0.08162550359082152,ridge,0.8,62
1110,370,0.1945945945945946,0.8054054054054054,0.47058823529411764,0.015315315315315315,0.010067114093959731,-0.005248201221355584,1.8190125506653212,1.6221474975248542,6.186312428191332,5.384272410103143,0.021845335268154065,0.01901565995525728,0.0760626398210291,0.0,0.007624402926416349,0.0760626398210291,ridge,0.8,63
198,66,0.11616161616161616,0.8838383838383839,0.0,0.0,0.0,0.0,1.5639898548543092,1.5285536251494662,1.6496900544024526,1.5852592436289195,0.0010389610389610754,0.031861471861471855,0.06476190476190477,0.0,0.012871572871572867,0.06476190476190477,ridge,0.8,65
219,73,0.1187214611872146,0.8812785388127854,1.0,0.0091324200913242,0.0,-0.0091324200913242,1.6403874822690652,1.4651308179688984,4.245584726803905,1.5445365090894239,0.03002342252821354,0.02498403009439988,0.027633851468048365,0.0,0.010906854046892372,0.03002342252821354,ridge,0.85,58
2289,763,0.13717780690257755,0.8628221930974225,0.6666666666666666,0.015727391874180863,0.0060759493670886075,-0.009651442507092257,1.6083042242117618,1.4786481326465537,5.355791269302135,1.8005048062760574,0.022270296575255318,0.00445277634918792,0.024472573839662476,0.0,0.0024692668845496674,0.024472573839662476,ridge,0.85,59
2424,808,0.17615511551155116,0.8238448844884488,0.41025641025641024,0.01608910891089109,0.011517275913870806,-0.004571832997020284,1.6585190010528037,1.5455460369056686,6.872022451994516,6.162923821034581,0.0254848031122592,0.008763144717075622,0.04490068435987313,0.0,0.007637694165009888,0.04490068435987313,ridge,0.85,60
2799,933,0.13933547695605572,0.8606645230439443,0.49122807017543857,0.020364415862808145,0.012038190120381901,-0.008326225742426243,1.6969451470464478,1.5467703302140547,6.264312275363575,4.619129674028406,0.037940965395486796,0.00904566076569778,0.021170610211706103,0.0,0.0046031383740056595,0.037940965395486796,ridge,0.85,61
2421,807,0.15613382899628253,0.8438661710037174,0.6086956521739131,0.00950020652622883,0.004405286343612335,-0.005094920182616495,1.685448011531863,1.5328145826037805,4.387585259011599,1.7526075129741754,0.037673295521747155,0.0052696031603062105,0.03377386196769458,0.0,0.003955841598931524,0.037673295521747155,ridge,0.85,62
1110,370,0.14504504504504503,0.854954954954955,0.47058823529411764,0.015315315315315315,0.009483667017913594,-0.005831648297401721,1.8190125506653212,1.6160399961057164,6.186312428191332,5.242261881921151,0.02534483904346917,0.017386722866174903,0.03512469265893922,0.0,0.005582927500735718,0.03512469265893922,ridge,0.85,63
198,66,0.0707070707070707,0.9292929292929293,0.0,0.0,0.0,0.0,1.5639898548543092,1.542502535005296,1.6496900544024526,1.5974419549080459,0.003238910847606455,0.021739130434782594,0.03442028985507248,0.0,0.005324989020641213,0.03442028985507248,ridge,0.85,65
