method,heldout_run,n,q_template_mse,tail_mse,live10_abs_error_ns,live20_abs_error_ns,tau_eff_abs_error_ns,timing_abs_error_ns,secondary_abs_error,timing_sigma68_ns
ridge_tail_surrogate,54,598,0.13174636837252343,0.23835581531577746,31.30360205831904,33.481989708404804,13.594981637623231,0.6690618681510737,0.05782385959893353,0.5572751990841892
ridge_tail_surrogate,55,561,0.10219790352429317,0.20083487792513152,30.511882998171846,33.089579524680076,13.251142418583678,0.5883845259270425,0.06334447517354504,0.5980365186278648
ridge_tail_surrogate,56,613,0.1200488821635314,0.2130263493230335,31.277310924369747,34.94117647058823,13.583563543226077,0.8107950767714922,0.06233316629296862,0.6253546947491733
ridge_tail_surrogate,57,601,0.12778920089485166,0.1743271159748648,30.23931623931624,32.58119658119658,13.132768179262435,0.7257497416806461,0.059072553723475724,0.5549931884124
ridge_tail_surrogate,58,598,0.09314627819503604,0.22074949508272063,31.5979381443299,34.43298969072165,13.72281017560275,0.6431911162318693,0.061498758175233065,0.595611866716033
ridge_tail_surrogate,59,666,0.04674777077640294,0.07231781198203967,18.09667673716012,21.238670694864048,7.859286847735584,0.5196306409574571,0.044356679272080514,0.5598717955551411
ridge_tail_surrogate,60,710,0.07872394264529532,0.11348260947906057,20.483641536273115,22.916073968705547,8.89593248848766,0.5674596265708753,0.03956679196783358,0.5272790724625092
ridge_tail_surrogate,61,675,0.055624184079009445,0.08170156637559917,19.6996996996997,21.62162162162162,8.555470874730727,0.5137181844734512,0.041276933846442085,0.5163320309355601
ridge_tail_surrogate,62,670,0.05532488120055088,0.09051261672389434,18.32579185520362,21.14630467571644,7.958790279222487,0.5540475956238496,0.03918525473085068,0.5732840270897889
ridge_tail_surrogate,63,648,0.045589887406399555,0.06148524837200764,19.034267912772584,21.386292834890966,8.266477521585259,0.47376515648740314,0.03927016527909326,0.5408316561578274
ridge_tail_surrogate,65,584,0.07976427436260126,0.12437560084837124,27.012089810017272,30.0,11.731201549165556,0.687909250211839,0.053117579780578295,0.6394629951799014
sentinel_amplitude_only_ridge,44,374,0.08517602573987308,0.12572499338963034,22.099447513812155,25.0,9.597668108359153,0.6723116804743771,0.05195780217883266,0.4996857298278965
sentinel_amplitude_only_ridge,45,624,0.10868881175730494,0.1805145897189308,29.151712887438826,32.23491027732463,12.660428045042591,0.7694214073234548,0.06266286241663799,0.6017759959159381
sentinel_amplitude_only_ridge,46,227,0.021668151541004148,0.02985354429131225,9.68609865470852,13.721973094170403,4.20661919691042,0.39902389470972055,0.03207692689403786,0.44838054188897924
sentinel_amplitude_only_ridge,47,379,0.056166936017752925,0.08524508274702783,17.333333333333332,20.8,7.527771019656362,0.47098786490019035,0.044240977750067155,0.4263972897567227
sentinel_amplitude_only_ridge,48,594,0.10543882802630722,0.18761233723930182,28.39041095890411,30.736301369863014,12.329798818417663,0.6581527989305732,0.06005738998764895,0.4762772346288511
sentinel_amplitude_only_ridge,49,589,0.11628878535926222,0.18413093591977936,26.43979057591623,29.581151832460733,11.482655149798019,0.6622157198755463,0.05482613195542274,0.4978359023529262
sentinel_amplitude_only_ridge,50,602,0.10172282186961543,0.19608196021393662,30.733788395904437,33.24232081911263,13.347514708323489,0.6582673132813784,0.06757717894816516,0.5244346492918369
sentinel_amplitude_only_ridge,51,527,0.09713605533592395,0.1744838963511512,29.941520467836256,32.39766081871345,13.003437118974555,0.6635761053471751,0.06468043037874456,0.5029820063053728
sentinel_amplitude_only_ridge,52,447,0.07417513333160353,0.1530821361084981,24.70046082949309,26.889400921658986,10.727273838716265,0.6436638368139412,0.056727404830690865,0.47489373545716973
sentinel_amplitude_only_ridge,53,594,0.12586958151886746,0.2452112550173364,33.09153713298791,35.52677029360967,14.371471974553202,0.8914181286102328,0.06382806524515873,0.6482457642566087
sentinel_amplitude_only_ridge,54,598,0.12619268721878346,0.22283984582027677,31.217838765008576,33.19039451114923,13.557735112588649,0.7035740684540422,0.06096842033576214,0.5337556808577638
sentinel_amplitude_only_ridge,55,561,0.09835196665486515,0.1915489035933127,30.585009140767824,33.144424131627055,13.282900698795983,0.6766266347520266,0.06548276918653255,0.482342937617241
sentinel_amplitude_only_ridge,56,613,0.11519789004030355,0.20098860513299363,31.294117647058822,34.890756302521005,13.59086261014882,0.8508137599248806,0.06450208386541932,0.5782638348555112
sentinel_amplitude_only_ridge,57,601,0.12247409326148603,0.16528176728439495,30.376068376068375,32.75213675213675,13.192158877642367,0.769055152365212,0.06137814454952886,0.4958964221208991
sentinel_amplitude_only_ridge,58,598,0.09153446075980051,0.21357425495876795,31.68384879725086,34.34707903780069,13.76012069810303,0.6683750513901066,0.0652876288928963,0.5561606531625424
sentinel_amplitude_only_ridge,59,666,0.047107100952556,0.07048467361540044,18.459214501510573,21.435045317220546,8.016734998274528,0.5503407305143271,0.04682709852526992,0.5277718292202437
sentinel_amplitude_only_ridge,60,710,0.07929610991500738,0.11116898611320486,20.597439544807965,22.887624466571836,8.945354335645925,0.6337146663524563,0.04304531683362221,0.5183045660867167
sentinel_amplitude_only_ridge,61,675,0.05650321366860028,0.08203940690416721,19.864864864864863,21.71171171171171,8.627201194564597,0.5656113895994224,0.043692816047487336,0.4833024285610992
sentinel_amplitude_only_ridge,62,670,0.05634059413657415,0.08962563051674473,18.582202111613878,20.784313725490197,8.070147838684859,0.5749367855323725,0.04225108558110136,0.49911883580995003
sentinel_amplitude_only_ridge,63,648,0.04643234576706859,0.061885101768608786,19.595015576323988,21.806853582554517,8.510007137605774,0.48458174204584253,0.044061068707835556,0.48240537705923897
sentinel_amplitude_only_ridge,65,584,0.07732464288469976,0.11877207684334354,27.219343696027632,29.689119170984455,11.821210768212863,0.7372225860223646,0.05578752498750671,0.5930595152787437
sentinel_run_only_ridge,44,374,0.2143926562652673,0.28660753454137616,27.265193370165747,32.430939226519335,11.841123028688108,0.7189034086692574,0.0753776339074085,0.11830067556822091
sentinel_run_only_ridge,45,624,0.24556474501267153,0.34620948438866583,35.36704730831974,40.32626427406199,15.359713487214517,0.7042899158093686,0.08684437003546953,0.12559320820188344
sentinel_run_only_ridge,46,227,0.04192338093621444,0.0549248869467548,10.941704035874439,17.982062780269057,4.751921685398808,0.5723514055647515,0.051944353720965106,0.11835470204106427
sentinel_run_only_ridge,47,379,0.13063390962766538,0.17351321062714115,20.613333333333333,27.573333333333334,8.95225692029903,0.6159369645712246,0.06704498534217344,0.10924619498208862
sentinel_run_only_ridge,48,594,0.20863435097559732,0.3199340874947201,33.52739726027397,38.21917808219178,14.56076362271519,0.7061064893628035,0.08663490662806952,0.1170944762959765
sentinel_run_only_ridge,49,589,0.23953709346477084,0.344281191471354,32.024432809773124,37.696335078534034,13.908034455365916,0.6663780715866697,0.08191416849083281,0.13528544813316976
sentinel_run_only_ridge,50,602,0.17728293456548477,0.28942968933423147,34.522184300341294,39.232081911262796,14.992794144885297,0.6748730692822947,0.0868682824045047,0.1162592014468431
sentinel_run_only_ridge,51,527,0.1833267185654181,0.2778935892373822,34.619883040935676,38.98635477582846,15.03522416881433,0.670776631624525,0.08615696213190624,0.11466788933194949
sentinel_run_only_ridge,52,447,0.13980265076464074,0.24403360500117052,28.617511520737327,33.38709677419355,12.428427339258956,0.6395828665744382,0.07680188763805722,0.11382967018085571
sentinel_run_only_ridge,53,594,0.245207933235026,0.3999328807707362,38.23834196891192,42.62521588946459,16.60670091422797,0.7716125027555507,0.08732787791497555,0.11980483077163445
sentinel_run_only_ridge,54,598,0.24964869064330106,0.38052616875458456,35.54030874785592,39.94854202401372,15.434959974331694,0.7189080679325675,0.08411599472751269,0.12012928230742956
sentinel_run_only_ridge,55,561,0.1802811540439898,0.2947153178571906,35.831809872029254,40.054844606946986,15.561557304028767,0.6216803155597679,0.08797447072170703,0.1212942784944615
sentinel_run_only_ridge,56,613,0.1905892199340498,0.29438086488262577,34.6890756302521,39.64705882352941,15.065274128543054,0.77281198659178,0.08456422262139454,0.11837112625428273
sentinel_run_only_ridge,57,601,0.2515207096158572,0.3229795425416079,35.47008547008547,39.82905982905983,15.40446239229483,0.803895796434031,0.08552643277439352,0.1362704309354795
