method,policy,heldout_run,n_features,feature_names_sha256,choice,seq_scaler_mean_sha256,tab_scaler_mean_sha256
gradient_boosted_trees,train_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1127538531125285, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
cnn,train_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
gated_label_fusion,train_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
ridge,heldout_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1127538531125285, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
cnn,heldout_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
gated_label_fusion,heldout_label_permutation,63,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,b4911846f107b038c69c91d1947e410f309da0c75e013b86c2e1decef8def6eb
ridge,no_stave,65,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,100.0,,
gradient_boosted_trees,no_stave,65,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,"{'score': 1.1216734209826467, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,no_stave,65,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,281cd20caa1b3f0b2dc10015907cce7445526c88b011bf613cc249bb6e6e6534
cnn,no_stave,65,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,281cd20caa1b3f0b2dc10015907cce7445526c88b011bf613cc249bb6e6e6534
gated_label_fusion,no_stave,65,30,ac6479d99dd430bca38e28254cc27cec8652d100dc3fc6373ff68ed2be4af1a0,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,281cd20caa1b3f0b2dc10015907cce7445526c88b011bf613cc249bb6e6e6534
ridge,real_stave,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,real_stave,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1216734209826467, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,real_stave,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
cnn,real_stave,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
gated_label_fusion,real_stave,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
ridge,train_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,train_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1216734209826467, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,train_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
cnn,train_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
gated_label_fusion,train_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
ridge,heldout_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,100.0,,
gradient_boosted_trees,heldout_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,"{'score': 1.1216734209826467, 'learning_rate': 0.03, 'max_leaf_nodes': 31}",,
mlp,heldout_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
cnn,heldout_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
gated_label_fusion,heldout_label_permutation,65,32,3bc9fa4be54d48c2533d4248ce3f5b9f6f4819bc7e9564b7963fb149ec6c0137,,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,fd6861aa54e6fda7237033b1b64da48f1a67f74dde53587c83e80d4799f502d5
