run,method,method_label,abstention_budget,abstain_fraction,n,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_ece,calibration_loss,mean_sigma_hat_ns
61,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.033583422650946715,2705,1,2.0545340295217316,2.9193268150346507,0.07985212569316082,3.033537618530382,0.25693160813308685,0.4658040665434381,0.4549769087302375,0.8496170861802737,1.0035821930764943
62,cnn1d,1D-CNN residual scale model,0.1,0.11400247831474597,2145,1,1.321634989892222,1.6146664496980587,0.002797202797202797,0.979114744827104,0.5384615384615384,0.9477855477855478,0.09496442723739697,0.06557302207505167,1.3401193505400544
62,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.2028087567121024,1930,1,1.433948547174132,1.6563663340746286,0.0062176165803108805,0.9885373281523888,0.5865284974093264,0.9119170984455959,0.08227738855554664,0.056995989171308874,1.5100595984477274
62,mlp,MLP residual scale model,0.1,0.14869888475836435,2061,1,1.5714191096159924,1.7741010444459322,0.0077632217370208634,1.0658840298238477,0.5618631732168851,0.905870936438622,0.09728414976993326,0.08203089051881846,1.5706017812382302
62,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.12804626187525814,2111,1,1.3178451816114025,1.4428376530132672,0.0014211274277593558,0.912058898263532,0.7119848413074372,0.9474182851729038,0.08161360436849857,0.05035794252562496,1.5584676111313722
62,ridge,Ridge residual scale model,0.1,0.23089632383312686,1862,1,1.4729944026805333,1.9416996886611027,0.006981740064446832,0.9939797726339376,0.5746509129967776,0.9232008592910849,0.09077189340044362,0.05790746015391089,1.4937372816172374
62,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.14828583230070214,2062,1,1.4189001690103864,2.600283253086772,0.014064015518913677,2.9473575975126254,0.40446168768186225,0.6527643064985451,0.2877317489782963,0.7026382111118785,1.0139505635750707
63,cnn1d,1D-CNN residual scale model,0.1,0.08018018018018014,1021,1,1.258251540352753,1.308686711131791,0.002938295788442703,0.9197880624976786,0.47698334965719885,0.9461312438785504,0.12448945224525221,0.10356907208720607,1.3014359463090177
63,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.1603603603603604,932,1,1.3777084749582067,1.4131825672489626,0.002145922746781116,0.9269205045306435,0.6040772532188842,0.9238197424892703,0.07396277181957298,0.06295869092944376,1.5026239693662027
63,mlp,MLP residual scale model,0.1,0.1603603603603604,932,1,1.4862187513508045,1.6537606365116493,0.008583690987124463,0.9680860356265739,0.5665236051502146,0.9281115879828327,0.08029324392257726,0.06256537682498901,1.5350777191217877
63,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.0972972972972973,1002,1,1.408502577073446,1.412144490283835,0.00499001996007984,0.9800476277856607,0.5788423153692615,0.9620758483033932,0.07810235484169162,0.05349443803179069,1.5257970639174767
63,ridge,Ridge residual scale model,0.1,0.16486486486486485,927,1,1.4105199930927395,1.4392998582497767,0.002157497303128371,0.9540679068242917,0.5900755124056095,0.941747572815534,0.0812487782413328,0.057011819583224405,1.4940566113851603
63,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.09549549549549552,1004,1,1.353197548485784,2.676538363218839,0.018924302788844622,2.8623138868130713,0.41733067729083667,0.6573705179282868,0.2789941484589382,0.6748240830474714,1.0267092053775606
65,cnn1d,1D-CNN residual scale model,0.1,0.0757575757575758,183,1,1.4076409604099562,1.398535690029876,0.0,1.1139278790702156,0.4098360655737705,0.9562841530054644,0.1499513034455492,0.1357541905211147,1.3371337032546111
65,gradient_boosted_trees,HistGradientBoosting residual scale model,0.1,0.18181818181818177,162,1,1.3582529074655563,1.5030778221958991,0.006172839506172839,0.8495236740033584,0.5925925925925926,0.9135802469135802,0.06757931396973456,0.08614307314930085,1.4956462385350568
65,mlp,MLP residual scale model,0.1,0.16666666666666663,165,1,1.6092574400399338,1.5458987044228456,0.0,1.074555991810388,0.5393939393939394,0.8848484848484849,0.10876898849274244,0.09794301204942651,1.4992845419681433
65,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,0.1,0.11616161616161613,175,1,1.4131156603076196,1.385306041121224,0.0,0.8574579219046333,0.7142857142857143,0.9885714285714285,0.0613466284683343,0.06851408932096095,1.6160030959307792
65,ridge,Ridge residual scale model,0.1,0.03535353535353536,191,1,1.4454330470524068,1.5568651343806388,0.0,0.9106282000644921,0.4973821989528796,0.9162303664921466,0.12603060994284557,0.1086198341425818,1.428105752349524
65,traditional,S02/S03/S04 atom robust-width baseline,0.1,0.09090909090909094,180,1,1.4161055353405794,1.6556454429436573,0.011111111111111112,3.316747262049096,0.4222222222222222,0.6333333333333333,0.28856696829072215,0.7956120417303157,0.9874026735362291
