run,event_index,eventno,evt,group,depth_idx,multiplicity
31,414,391804,5301,sample_i_calib,0,1
31,416,391806,5303,sample_i_calib,0,1
31,418,391808,5305,sample_i_calib,0,1
31,421,391811,5308,sample_i_calib,0,1
31,422,391812,5309,sample_i_calib,0,1
31,424,391814,5311,sample_i_calib,0,1
31,426,391816,5313,sample_i_calib,0,1
31,427,391817,5314,sample_i_calib,0,1
31,429,391819,5316,sample_i_calib,0,1
31,432,391822,5319,sample_i_calib,0,1
31,433,391823,5320,sample_i_calib,0,1
31,434,391824,5320,sample_i_calib,0,1
31,437,391827,5323,sample_i_calib,0,1
31,438,391828,5324,sample_i_calib,0,1
31,439,391829,5325,sample_i_calib,0,1
31,440,391830,5326,sample_i_calib,0,1
31,441,391831,5327,sample_i_calib,0,1
31,444,391834,5330,sample_i_calib,0,1
31,445,391835,5331,sample_i_calib,0,1
31,447,391837,5333,sample_i_calib,0,1
31,449,391839,5334,sample_i_calib,0,1
31,452,391842,5337,sample_i_calib,0,1
31,453,391843,5338,sample_i_calib,0,1
31,457,391847,5342,sample_i_calib,0,1
31,458,391848,5343,sample_i_calib,0,1
31,459,391849,5344,sample_i_calib,0,1
31,460,391850,5345,sample_i_calib,0,1
31,463,391853,5348,sample_i_calib,0,1
31,464,391854,5349,sample_i_calib,0,1
31,466,391856,5351,sample_i_calib,0,1
31,467,391857,5352,sample_i_calib,0,1
31,468,391858,5353,sample_i_calib,0,1
31,469,391859,5354,sample_i_calib,0,1
31,471,391861,5356,sample_i_calib,0,1
31,472,391862,5357,sample_i_calib,0,1
31,473,391863,5358,sample_i_calib,0,1
31,474,391864,5359,sample_i_calib,0,1
31,475,391865,5360,sample_i_calib,0,1
31,478,391868,5362,sample_i_calib,0,1
31,479,391869,5363,sample_i_calib,0,1
31,482,391872,5366,sample_i_calib,0,1
31,483,391873,5367,sample_i_calib,0,1
31,485,391875,5369,sample_i_calib,0,1
31,486,391876,5369,sample_i_calib,0,1
31,487,391877,5370,sample_i_calib,0,1
31,489,391879,5372,sample_i_calib,0,1
31,490,391880,5373,sample_i_calib,0,1
31,492,391882,5375,sample_i_calib,0,1
31,493,391883,5376,sample_i_calib,0,1
31,495,391885,5377,sample_i_calib,0,1
31,497,391887,5379,sample_i_calib,0,1
31,498,391888,5380,sample_i_calib,0,1
31,499,391889,5381,sample_i_calib,0,1
31,502,391892,5383,sample_i_calib,0,1
31,503,391893,5384,sample_i_calib,0,1
31,504,391894,5385,sample_i_calib,0,1
31,505,391895,5386,sample_i_calib,0,1
31,508,391898,5389,sample_i_calib,0,1
31,509,391899,5390,sample_i_calib,0,1
31,510,391900,5391,sample_i_calib,0,1
31,511,391901,5392,sample_i_calib,0,1
31,512,391902,5393,sample_i_calib,0,1
31,515,391905,5396,sample_i_calib,0,1
31,516,391906,5396,sample_i_calib,0,1
31,517,391907,5397,sample_i_calib,0,1
31,518,391908,5398,sample_i_calib,0,1
31,519,391909,5399,sample_i_calib,0,1
31,520,391910,5400,sample_i_calib,0,1
31,521,391911,5401,sample_i_calib,0,1
31,523,391913,5403,sample_i_calib,0,1
31,524,391914,5403,sample_i_calib,0,1
31,525,391915,5404,sample_i_calib,0,1
31,526,391916,5405,sample_i_calib,0,1
31,528,391918,5406,sample_i_calib,0,1
31,529,391919,5407,sample_i_calib,0,1
31,531,391921,5409,sample_i_calib,0,1
31,532,391922,5410,sample_i_calib,0,1
31,533,391923,5411,sample_i_calib,0,1
31,534,391924,5412,sample_i_calib,0,1
31,535,391925,5413,sample_i_calib,0,1
31,537,391927,5415,sample_i_calib,1,2
31,539,391929,5417,sample_i_calib,0,1
31,540,391930,5418,sample_i_calib,0,1
31,542,391932,5420,sample_i_calib,0,1
31,543,391933,5421,sample_i_calib,0,1
31,545,391935,5423,sample_i_calib,0,1
31,546,391936,5424,sample_i_calib,0,1
31,548,391938,5426,sample_i_calib,0,1
31,549,391939,5427,sample_i_calib,0,1
31,551,391941,5429,sample_i_calib,0,1
31,552,391942,5430,sample_i_calib,0,1
31,553,391943,5431,sample_i_calib,0,1
31,554,391944,5432,sample_i_calib,0,1
31,557,391947,5435,sample_i_calib,0,1
31,558,391948,5436,sample_i_calib,0,1
31,560,391950,5438,sample_i_calib,0,1
31,561,391951,5439,sample_i_calib,0,1
31,562,391952,5440,sample_i_calib,0,1
31,563,391953,5441,sample_i_calib,0,1
31,564,391954,5442,sample_i_calib,0,1
31,565,391955,5443,sample_i_calib,0,1
31,567,391957,5445,sample_i_calib,0,1
31,568,391958,5446,sample_i_calib,0,1
31,569,391959,5447,sample_i_calib,0,1
31,571,391961,5448,sample_i_calib,0,1
31,573,391963,5450,sample_i_calib,0,1
31,575,391965,5452,sample_i_calib,0,1
31,577,391967,5454,sample_i_calib,0,1
31,578,391968,5455,sample_i_calib,2,3
31,579,391969,5456,sample_i_calib,0,1
31,581,391971,5458,sample_i_calib,0,1
31,582,391972,5459,sample_i_calib,0,1
