late_residual_taxon,current_group,downstream_topology,amplitude_bin,run,n_pulses,mean_inflation20_ns,mean_live20_ns,inflated_label_rate,final_sample_censored_rate,mean_positive_residual_area
prompt_clean,high_20nA,two_staves,amp_2p5k_q95,51,119,-39.45079910759872,63.25724997688216,0.0,0.8067226890756303,0.010648279673280196
final_sample_censored_tail,high_20nA,three_or_more_staves,amp_2p5k_q95,49,117,26.81736865997339,128.65469101442955,0.9401709401709402,1.0,0.7538731470348885
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,56,116,23.32417197379907,128.14550729515983,0.9482758620689655,0.0,0.3415836284304324
final_sample_censored_tail,high_20nA,three_or_more_staves,amp_2p5k_q95,48,115,25.37870195009375,128.0510182557474,0.8782608695652174,1.0,0.7408771220875715
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,50,114,-36.980276063388175,65.51777320175921,0.0,0.41228070175438597,0.0016301632733637754
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,55,113,11.765700483556481,111.86543512083307,0.40707964601769914,0.0,0.08016693358274163
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,49,113,-32.38935317588809,70.08933666850372,0.0,0.22123893805309736,0.0006906058474262855
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,45,112,-45.216616038969626,56.532526472061356,0.0,0.3482142857142857,0.00038041448842419695
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,48,112,-37.44935373436812,67.12607563073422,0.0,0.33035714285714285,0.0008828426906280436
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,56,110,-51.314550798655134,54.5047658992175,0.0,0.34545454545454546,0.0
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,44,102,19.802011651523248,118.08655569342592,0.9215686274509803,0.0,0.17790902176312
late_rebound_peak,high_20nA,single_upstream,amp_2p5k_q95,52,102,17.910941684924918,119.56839345696301,0.803921568627451,0.0,0.17864976586713666
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,57,101,-34.87328111940793,67.76911188201987,0.0,0.3465346534653465,0.0004398477328523446
moderate_late_residual,low_2nA,single_upstream,amp_2p5k_q95,47,98,15.665626117699167,118.96633928589256,0.7142857142857143,0.0,0.10418307483485242
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,55,97,25.251727595138867,125.35146223241544,0.9587628865979382,0.0,0.31749161649117136
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,50,95,-45.244442058419956,57.63081923310846,0.0,0.29473684210526313,0.00012359666289010195
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,50,92,23.587708243882883,126.39727334534429,0.9347826086956522,0.0,0.32320556370676695
final_sample_censored_tail,high_20nA,three_or_more_staves,amp_2p5k_q95,55,92,29.765557587297536,130.16991051715212,0.9239130434782609,1.0,0.8429301111095274
final_sample_censored_tail,high_20nA,two_staves,amp_2p5k_q95,52,89,27.32545343737286,128.96883657347897,0.9550561797752809,1.0,0.8103640140075885
prompt_clean,low_2nA,single_upstream,amp_1p5k_2p5k,46,88,-13.900296415449363,88.25772768593284,0.0,0.0,6.444760971100137e-05
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,50,87,13.438867327260366,116.24843242872176,0.6781609195402298,0.0,0.07690547759346415
prompt_clean,high_20nA,three_or_more_staves,amp_1p5k_2p5k,51,87,-28.671049247717022,73.11858743791912,0.0,0.4942528735632184,0.00039854596801495795
prompt_clean,high_20nA,three_or_more_staves,amp_1p5k_2p5k,55,87,-29.18225165641394,74.38540817394473,0.0,0.47126436781609193,0.0008090696253532061
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,51,84,10.940874136975754,111.75538676403444,0.40476190476190477,0.0,0.05473422403256171
final_sample_censored_tail,high_20nA,downstream_event,amp_2p5k_q95,56,83,23.151788492681316,127.86158155890362,0.9879518072289156,1.0,0.39344505934537777
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,48,83,-47.83553311824405,56.37054586410313,0.0,0.25301204819277107,0.0006191257890277647
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,54,82,23.246766585744442,128.70915153006874,0.9146341463414634,0.0,0.33412346272585036
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,54,82,-35.38307394341711,69.60872148837399,0.0,0.4024390243902439,0.0008078974815164469
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,53,81,24.357490577974424,127.86174908374589,0.9382716049382716,0.0,0.38024835827692405
final_sample_censored_tail,high_20nA,downstream_event,amp_2p5k_q95,54,81,22.567302065317822,125.8862659924773,0.9753086419753086,1.0,0.4028615508010104
final_sample_censored_tail,high_20nA,three_or_more_staves,amp_2p5k_q95,51,79,26.363475273251268,127.77302570086569,0.9240506329113924,1.0,0.843216861349079
prompt_clean,high_20nA,three_or_more_staves,amp_2p5k_q95,52,79,-27.520635930104888,83.64680447627474,0.0,0.6582278481012658,0.0012848418142802035
final_sample_censored_tail,high_20nA,downstream_event,amp_2p5k_q95,50,75,23.085391662838013,127.08027403347846,1.0,1.0,0.3971347811174807
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,53,73,-57.280341060193,46.629723323931714,0.0,0.410958904109589,0.0
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,53,72,-37.43215961502229,66.92860630169433,0.0,0.4444444444444444,0.002563019748055422
baseline_noise_residual,high_20nA,single_upstream,amp_2p5k_q95,51,71,24.35869601493036,125.17320864198905,0.9295774647887324,0.0,0.30202606812391125
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,49,71,-42.541289270012406,60.286529950198165,0.0,0.28169014084507044,0.00019933380543971443
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,54,71,-53.73982269877995,50.60794877902807,0.0,0.30985915492957744,9.749997350544186e-05
final_sample_censored_tail,high_20nA,downstream_event,amp_2p5k_q95,53,69,25.578259022483103,126.05949279578783,1.0,1.0,0.46833725988869407
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,44,68,11.559856211576944,109.84440025347962,0.3235294117647059,0.0,0.07170532157725662
high_amplitude_late_tail,high_20nA,two_staves,amp_top5pct,56,66,29.9642518023406,134.78558712370133,1.0,1.0,0.6575942705960907
prompt_clean,low_2nA,single_upstream,amp_2p5k_q95,46,66,-3.793669577135205,98.36435452424699,0.0,0.015151515151515152,0.015191224894061292
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,57,65,-50.2549089940513,51.773412234865056,0.0,0.3076923076923077,1.6188246176971855e-05
prompt_clean,high_20nA,downstream_event,amp_1k_1p5k,45,63,-56.15982696126369,46.27578667649218,0.0,0.25396825396825395,0.002386134995242401
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,53,59,12.27988195524927,115.78414046102074,0.6949152542372882,0.0,0.06576761911951043
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,51,55,-34.35512943456544,69.15251394887974,0.0,0.32727272727272727,0.004212495128849155
high_amplitude_late_tail,high_20nA,single_upstream,amp_top5pct,44,54,34.46758025448776,132.75212429639043,1.0,1.0,0.6242844514503203
moderate_late_residual,high_20nA,single_upstream,amp_2p5k_q95,54,54,13.143730744430734,118.60611568875504,0.6666666666666666,0.0,0.08671594358075863
prompt_clean,high_20nA,three_or_more_staves,amp_1k_1p5k,45,53,-40.64406806963949,60.43228878876463,0.0,0.32075471698113206,0.0
prompt_clean,high_20nA,two_staves,amp_1p5k_2p5k,55,52,-38.21005935814601,66.8268112331549,0.0,0.4807692307692308,0.0
prompt_clean,high_20nA,two_staves,amp_1k_1p5k,55,50,-57.2197181636495,46.1911819164733,0.0,0.52,0.00031501230516817023
prompt_clean,high_20nA,two_staves,amp_2p5k_q95,52,50,-43.10023804227634,62.29574703323896,0.0,0.72,0.0022911382018319555
