method,slice_axis,slice,n,cluster_entropy,reconstruction_mse_median,timing_abs_error_median_ns,energy_proxy_area_median,pid_inner_high_charge_fraction
gradient_boosted_trees,pedestal_drift_bin,low,1660,1.3961681513442006,464622.7885991712,2.4188948364013267,22672.5,0.0
mlp,pedestal_drift_bin,low,1660,1.39855650712267,464981.0085304136,2.823922207075194,22672.5,0.0
ridge,pedestal_drift_bin,low,1660,1.3860070344911906,462887.6601752824,2.461018326841309,22672.5,0.0
shape_time_gate_transformer_new,pedestal_drift_bin,low,1660,1.4650613087905122,0.3589180610373489,3.333001996919551,22672.5,0.0
traditional_median_template_cfd_timewalk_shape,pedestal_drift_bin,low,1660,0.8216129357001976,4.128897354740438,0.7370782969539831,22672.5,0.0
1d_cnn,pedestal_drift_bin,mid,1761,0.743853142961054,0.1882976145719091,3.1770217344639136,23534.0,0.0
compact_waveform_transformer,pedestal_drift_bin,mid,1761,1.4081511825887443,0.19886369508518154,4.491513212864774,23534.0,0.0
gradient_boosted_trees,pedestal_drift_bin,mid,1761,1.3502920995108987,555537.2364542325,2.2338651856273204,23534.0,0.0
mlp,pedestal_drift_bin,mid,1761,1.3559262612851375,562614.6094988929,2.8327701991960765,23534.0,0.0
ridge,pedestal_drift_bin,mid,1761,1.3426893022234527,568728.8743144477,2.4805196076710425,23534.0,0.0
shape_time_gate_transformer_new,pedestal_drift_bin,mid,1761,1.407888461293644,0.33348728566741376,3.260517540280543,23534.0,0.0
traditional_median_template_cfd_timewalk_shape,pedestal_drift_bin,mid,1761,0.7513402461858835,3.535273113292159,0.7466057232479191,23534.0,0.0
1d_cnn,pid_proxy_class_s66a,inner_high_charge,68,0.9204889941522967,3.7149803362377893,4.827965143007059,37104.5,1.0
compact_waveform_transformer,pid_proxy_class_s66a,inner_high_charge,68,0.8523965793133215,1.3973017240134733,11.608948711077018,37104.5,1.0
gradient_boosted_trees,pid_proxy_class_s66a,inner_high_charge,68,0.9157028737504569,846723.209472318,2.5675114688851313,37104.5,1.0
mlp,pid_proxy_class_s66a,inner_high_charge,68,0.9157028737504569,846012.2138106908,3.8591069239539735,37104.5,1.0
ridge,pid_proxy_class_s66a,inner_high_charge,68,0.915702873750457,762163.7192669897,3.8852459122577088,37104.5,1.0
shape_time_gate_transformer_new,pid_proxy_class_s66a,inner_high_charge,68,0.8523965793133216,2.0731895893908123,11.341923345130263,37104.5,1.0
traditional_median_template_cfd_timewalk_shape,pid_proxy_class_s66a,inner_high_charge,68,1.0319290355992057,7.461882689785169,0.7038600613577479,37104.5,1.0
1d_cnn,pid_proxy_class_s66a,other,4858,1.123728543068099,0.22512725353257873,3.4478672493404687,21759.5,0.0
compact_waveform_transformer,pid_proxy_class_s66a,other,4858,1.7229067471363186,0.28630336626145325,4.502225208998764,21759.5,0.0
gradient_boosted_trees,pid_proxy_class_s66a,other,4858,1.4050387352160598,618417.1246435139,2.356017308819433,21759.5,0.0
mlp,pid_proxy_class_s66a,other,4858,1.4090715275306096,624656.9415468699,2.816489356981032,21759.5,0.0
ridge,pid_proxy_class_s66a,other,4858,1.3954171609254087,628470.6987623421,2.519048694756626,21759.5,0.0
shape_time_gate_transformer_new,pid_proxy_class_s66a,other,4858,1.7216685206543174,0.4428900149656323,3.679469084700221,21759.5,0.0
traditional_median_template_cfd_timewalk_shape,pid_proxy_class_s66a,other,4858,1.1174709255823183,4.4018728005660925,0.7390559333508961,21759.5,0.0
1d_cnn,saturation_onset_bin,linear,3557,1.2266669110675434,0.27880200898262103,3.605434335388488,20539.0,0.016587011526567334
compact_waveform_transformer,saturation_onset_bin,linear,3557,1.7697241970639035,0.3661250939647143,4.680794393756372,20539.0,0.016587011526567334
gradient_boosted_trees,saturation_onset_bin,linear,3557,1.4475395608190067,538723.8201173733,2.4173256188979053,20539.0,0.016587011526567334
mlp,saturation_onset_bin,linear,3557,1.4519172624299608,541980.0994082501,2.870496374109006,20539.0,0.016587011526567334
ridge,saturation_onset_bin,linear,3557,1.4394430620456746,547211.9154496437,2.586464600624904,20539.0,0.016587011526567334
shape_time_gate_transformer_new,saturation_onset_bin,linear,3557,1.7685889832875517,0.5440224527820754,3.8962393727606113,20539.0,0.016587011526567334
traditional_median_template_cfd_timewalk_shape,saturation_onset_bin,linear,3557,1.2340787699292985,4.6141928631007785,0.7574363176727559,20539.0,0.016587011526567334
1d_cnn,saturation_onset_bin,near_saturation,1369,0.7917631142244975,0.16390767089106736,3.0924870166849354,23523.0,0.006574141709276844
compact_waveform_transformer,saturation_onset_bin,near_saturation,1369,1.536177908590801,0.16164676801617947,4.286629614892028,23523.0,0.006574141709276844
gradient_boosted_trees,saturation_onset_bin,near_saturation,1369,1.2655349137147724,844630.2526165169,2.2610092845866863,23523.0,0.006574141709276844
mlp,saturation_onset_bin,near_saturation,1369,1.2690575413463907,847930.5825605069,2.6821806598820084,23523.0,0.006574141709276844
ridge,saturation_onset_bin,near_saturation,1369,1.2493034803012022,841508.9610713741,2.4094319416530503,23523.0,0.006574141709276844
shape_time_gate_transformer_new,saturation_onset_bin,near_saturation,1369,1.5350492283157948,0.25011951181731384,3.2161569889640065,23523.0,0.006574141709276844
traditional_median_template_cfd_timewalk_shape,saturation_onset_bin,near_saturation,1369,0.7562593992031672,4.066979708614751,0.678175106071194,23523.0,0.006574141709276844
