alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
100.0,1,1.4350584910415243,57,S03 analytic timewalk,amp_rise_shape,14.0
100.0,2,1.4786195327688219,57,S03 analytic timewalk,amp_rise_shape,14.0
100.0,-1,1.5623838118505249,57,S03 analytic timewalk,amp_rise_shape,14.0
0.0,0,1.8741129363237827,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,1,1.4132494136222422,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,2,1.4473447073478962,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.0,-1,1.5782356857646402,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,1.8750799563324128,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,1,1.4077894101693804,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,2,1.4574029083006668,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,-1,1.5800907582674866,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,0,1.871438932069724,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,1,1.4090891386567146,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,2,1.4694565362392316,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.1,-1,1.58332820232189,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,0,1.8533658419849628,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,1,1.3943658599617614,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,2,1.4559434735574714,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
1.0,-1,1.5678917251680653,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,0,1.8218233037345417,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,1,1.3779262987876582,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,2,1.442202337790218,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
10.0,-1,1.5473173134374727,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,0,1.7801913682944126,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,1,1.3888989052903098,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,2,1.4574974755255898,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
100.0,-1,1.542195916370104,57,S03 analytic timewalk,amp_rise_shape_by_stave,47.0
0.01,0,2.139469036059931,64,S02 ML ridge,,
0.01,1,1.9609448803276213,64,S02 ML ridge,,
0.01,2,1.9307684865438366,64,S02 ML ridge,,
0.01,-1,2.010394134310463,64,S02 ML ridge,,
0.1,0,2.138121820264975,64,S02 ML ridge,,
0.1,1,1.9623067018922418,64,S02 ML ridge,,
0.1,2,1.9303983416761736,64,S02 ML ridge,,
0.1,-1,2.010275621277797,64,S02 ML ridge,,
1.0,0,2.133469186790621,64,S02 ML ridge,,
1.0,1,1.956454681266602,64,S02 ML ridge,,
1.0,2,1.9312880421802303,64,S02 ML ridge,,
1.0,-1,2.007070636745818,64,S02 ML ridge,,
10.0,0,2.1056664540165024,64,S02 ML ridge,,
10.0,1,1.9273851797626997,64,S02 ML ridge,,
10.0,2,1.9334917493803438,64,S02 ML ridge,,
10.0,-1,1.9888477943865153,64,S02 ML ridge,,
100.0,0,2.0877712098180137,64,S02 ML ridge,,
100.0,1,1.9141649036513553,64,S02 ML ridge,,
100.0,2,1.9176949685575353,64,S02 ML ridge,,
100.0,-1,1.9732103606756348,64,S02 ML ridge,,
0.0,0,1.6789300606297854,64,S03 analytic timewalk,amp_only,6.0
0.0,1,1.4089442873923668,64,S03 analytic timewalk,amp_only,6.0
0.0,2,1.4322330902265241,64,S03 analytic timewalk,amp_only,6.0
0.0,-1,1.5067024794162254,64,S03 analytic timewalk,amp_only,6.0
0.01,0,1.683169431645249,64,S03 analytic timewalk,amp_only,6.0
0.01,1,1.409212793194349,64,S03 analytic timewalk,amp_only,6.0
0.01,2,1.4338226682488593,64,S03 analytic timewalk,amp_only,6.0
0.01,-1,1.5087349643628192,64,S03 analytic timewalk,amp_only,6.0
0.1,0,1.6991414774747815,64,S03 analytic timewalk,amp_only,6.0
0.1,1,1.4135229422851028,64,S03 analytic timewalk,amp_only,6.0
0.1,2,1.4360049084853759,64,S03 analytic timewalk,amp_only,6.0
0.1,-1,1.5162231094150869,64,S03 analytic timewalk,amp_only,6.0
1.0,0,1.7364269349316845,64,S03 analytic timewalk,amp_only,6.0
1.0,1,1.4237695640932218,64,S03 analytic timewalk,amp_only,6.0
1.0,2,1.4586258614770347,64,S03 analytic timewalk,amp_only,6.0
1.0,-1,1.539607453500647,64,S03 analytic timewalk,amp_only,6.0
10.0,0,1.7536784302313757,64,S03 analytic timewalk,amp_only,6.0
10.0,1,1.4262089784762182,64,S03 analytic timewalk,amp_only,6.0
10.0,2,1.4717319554544153,64,S03 analytic timewalk,amp_only,6.0
10.0,-1,1.550539788054003,64,S03 analytic timewalk,amp_only,6.0
100.0,0,1.7257805643560677,64,S03 analytic timewalk,amp_only,6.0
100.0,1,1.400442249920865,64,S03 analytic timewalk,amp_only,6.0
100.0,2,1.4421028311417303,64,S03 analytic timewalk,amp_only,6.0
100.0,-1,1.5227752151395544,64,S03 analytic timewalk,amp_only,6.0
0.0,0,1.7305198850544645,64,S03 analytic timewalk,amp_rise_shape,14.0
0.0,1,1.4317695965742885,64,S03 analytic timewalk,amp_rise_shape,14.0
0.0,2,1.4670819195086504,64,S03 analytic timewalk,amp_rise_shape,14.0
0.0,-1,1.5431238003791343,64,S03 analytic timewalk,amp_rise_shape,14.0
0.01,0,1.7307059796103883,64,S03 analytic timewalk,amp_rise_shape,14.0
0.01,1,1.431702452520779,64,S03 analytic timewalk,amp_rise_shape,14.0
