method,heldout_run,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
ridge,65,0.849201961990671,0.8587293388429752,0.008730983110027957,6.194710167741144,0.10833333333333334,0.3181818181818182,0.125,0.013146767105975388,0.07654665629626747,176,88
saturation_residual_fusion_new,58,0.8893412034064776,0.8916580578512397,-1.3281631881681655,7.112401192055769,0.05,0.20454545454545456,0.17045454545454544,0.018298883840557147,0.05753583247820261,176,88
saturation_residual_fusion_new,60,0.7911077861129956,0.7635588842975207,1.5283575882147504,7.849604437251068,0.10317460317460317,0.2840909090909091,0.3181818181818182,0.0026762421855936994,0.07758174636072812,176,88
saturation_residual_fusion_new,62,0.8441260538842354,0.8166322314049587,0.27007919909781464,6.926453147905244,0.09259259259259259,0.38636363636363635,0.13636363636363635,0.01725759309756214,0.06055957773309215,176,88
saturation_residual_fusion_new,64,0.8517880811926846,0.8472365702479338,-0.9565428948405552,7.225455018203483,0.09649122807017543,0.3522727272727273,0.1590909090909091,0.0027906233571176236,0.07740424179236023,176,88
saturation_residual_fusion_new,65,0.8891131584839761,0.8796487603305785,-0.5643238778066806,6.127072677324497,0.06779661016949153,0.32954545454545453,0.10227272727272728,-0.018465409241491773,0.08469308277357987,176,88
tiny_sequence_transformer,58,0.8390771356533926,0.8162448347107437,-7.623265469106517,12.972311722202077,0.32456140350877194,0.3522727272727273,0.18181818181818182,-0.034419136701180464,0.08257895834222867,176,88
tiny_sequence_transformer,60,0.7151848636656253,0.7110020661157026,-6.447438678712252,13.406262666201899,0.35,0.3181818181818182,0.3181818181818182,-0.02948353670315978,0.0794766636377709,176,88
tiny_sequence_transformer,62,0.7775832075396187,0.7627840909090908,-10.947874284252276,14.974051288868957,0.4230769230769231,0.4090909090909091,0.19318181818181818,-0.017243650400984592,0.09269142684557483,176,88
tiny_sequence_transformer,64,0.804222162178812,0.8091425619834711,-7.402998164071044,15.826937379400054,0.3333333333333333,0.42045454545454547,0.19318181818181818,-0.0238639136146611,0.1052271826724471,176,88
tiny_sequence_transformer,65,0.8416948467282421,0.8317407024793387,-9.40646677298525,12.320716660102278,0.38181818181818183,0.375,0.11363636363636363,-0.024565227634141422,0.11082539948207537,176,88
