rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
28,0.02155506541525268,0.027109869341256324,0.005554803926003642,0.0,0.0
29,0.021720428769303583,0.02885378794116858,0.007133359171864997,0.0,0.0
30,0.020376324942573562,0.026533228333050288,0.006156903390476726,0.0,0.0
31,0.019384942732140347,0.02465498146841344,0.005270038736273092,0.0,0.0
32,0.020595310617946245,0.02612437122754444,0.005529060609598194,0.0,0.0
33,0.021204366830505205,0.027171021034485092,0.005966654203979887,0.0,0.0
34,0.019534594455744493,0.02423064294759867,0.004696048491854177,0.0,0.0
35,0.021014529592859484,0.02808793032144494,0.007073400728585456,0.0,0.0
36,0.020280458873813783,0.025201706621008218,0.004921247747194435,0.0,0.0
37,0.020653794880237854,0.02662566666336382,0.005971871783125967,0.0,0.0
38,0.02087316367834849,0.02684175778780649,0.005968594109458002,0.0,0.0
39,0.020420951771535207,0.024432660285348844,0.004011708513813637,0.0,0.0
40,0.020163928899123502,0.0264108248244053,0.006246895925281798,0.0,0.0
41,0.02219661327597736,0.02886322187037392,0.006666608594396561,0.0,0.0
42,0.021914567211043134,0.030008416596154698,0.008093849385111564,0.0,0.0
43,0.02039723628256208,0.02633353481512909,0.005936298532567011,0.0,0.0
44,0.020401137358362048,0.024365395169549105,0.003964257811187057,0.0,0.0
45,0.02004376596234217,0.024373479951678195,0.004329713989336025,0.0,0.0
46,0.02110855421967721,0.02810040978909469,0.00699185556941748,0.0,0.0
47,0.02090098733296376,0.028186176500270502,0.007285189167306742,0.0,0.0
48,0.019386036525117153,0.023685622560908403,0.0042995860357912495,0.0,0.0
49,0.020344621360490787,0.024629663988251838,0.004285042627761051,0.0,0.0
50,0.021136459155891588,0.02716850241004549,0.006032043254153904,0.0,0.0
51,0.020246048792163452,0.024403109507851694,0.004157060715688242,0.0,0.0
52,0.020022685948234392,0.0250761163152035,0.005053430366969109,0.0,0.0
53,0.019694411968598828,0.02334214117848881,0.0036477292098899827,0.0,0.0
54,0.021262648224665535,0.027993500271120964,0.006730852046455429,0.0,0.0
55,0.021275499041015812,0.0261847360232128,0.004909236982196988,0.0,0.0
56,0.020599810705150934,0.027846062182570016,0.007246251477419082,0.0,0.0
57,0.0214729692092537,0.0273059604117037,0.00583299120245,0.0,0.0
58,0.020849314009807628,0.02448377798368325,0.0036344639738756235,0.0,0.0
59,0.020707792671767773,0.025962416032148484,0.005254623360380711,0.0,0.0
60,0.0198391746970945,0.023704651711667524,0.0038654770145730225,0.0,0.0
61,0.020702063049832492,0.026462483049813707,0.005760419999981215,0.0,0.0
62,0.02057774736440087,0.02711975716572928,0.006542009801328408,0.0,0.0
63,0.02078346931547396,0.02710951879243996,0.006326049476966002,0.0,0.0
64,0.02041947893308422,0.0264954295325482,0.006075950599463982,0.0,0.0
65,0.0213248207166718,0.0266062871177142,0.005281466401042399,0.0,0.0
66,0.020551077171139524,0.026357899165395996,0.0058068219942564725,0.0,0.0
67,0.021215434756948946,0.02726378555590304,0.006048350798954095,0.0,0.0
68,0.020893957452198866,0.027099464525124784,0.006205507072925918,0.0,0.0
69,0.02045859760858819,0.026465047166483787,0.006006449557895598,0.0,0.0
70,0.021072275809303712,0.027953442586757634,0.006881166777453922,0.0,0.0
71,0.019371119451493824,0.024200582780265368,0.004829463328771544,0.0,0.0
72,0.02118627360079172,0.02704875127340388,0.005862477672612158,0.0,0.0
73,0.02076408712799503,0.026898942878143026,0.006134855750147997,0.0,0.0
74,0.019773655474117174,0.02532552067625048,0.005551865202133306,0.0,0.0
75,0.020858411055886848,0.0269198607288759,0.006061449672989053,0.0,0.0
76,0.020942358937517294,0.026397422180998265,0.005455063243480971,0.0,0.0
77,0.02064484210507607,0.02606267260031548,0.0054178304952394105,0.0,0.0
78,0.019844516001181325,0.023451186585877276,0.0036066705846959507,0.0,0.0
79,0.019861712847145902,0.024575908577626687,0.004714195730480784,0.0,0.0
