alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
0.1,2,2.197337836919908,2700,62,dynamic_range,59 60 61,mid_rate
0.1,-1,2.352057253446544,0,62,dynamic_range,59 60 61,mid_rate
1.0,0,2.3524919467620826,3225,62,dynamic_range,59 60 61,mid_rate
1.0,1,2.2315325529253913,2865,62,dynamic_range,59 60 61,mid_rate
1.0,2,2.215158417718467,2700,62,dynamic_range,59 60 61,mid_rate
1.0,-1,2.2663943058019806,0,62,dynamic_range,59 60 61,mid_rate
10.0,0,2.3022839839385987,3225,62,dynamic_range,59 60 61,mid_rate
10.0,1,2.1886417588018827,2865,62,dynamic_range,59 60 61,mid_rate
10.0,2,2.2187803702957076,2700,62,dynamic_range,59 60 61,mid_rate
10.0,-1,2.2365687043453963,0,62,dynamic_range,59 60 61,mid_rate
100.0,0,2.2886543063829845,3225,62,dynamic_range,59 60 61,mid_rate
100.0,1,2.1806737052531373,2865,62,dynamic_range,59 60 61,mid_rate
100.0,2,2.2179607640305576,2700,62,dynamic_range,59 60 61,mid_rate
100.0,-1,2.22909625855556,0,62,dynamic_range,59 60 61,mid_rate
0.01,0,2.157579814130261,2700,63,dynamic_range,58 59 65,low_rate
0.01,1,3.3321663031954447,270,63,dynamic_range,58 59 65,low_rate
0.01,2,3.259259510009744,270,63,dynamic_range,58 59 65,low_rate
0.01,-1,2.9163352091118164,0,63,dynamic_range,58 59 65,low_rate
0.1,0,2.1818481251811708,2700,63,dynamic_range,58 59 65,low_rate
0.1,1,2.9041345401390846,270,63,dynamic_range,58 59 65,low_rate
0.1,2,2.969101315628626,270,63,dynamic_range,58 59 65,low_rate
0.1,-1,2.685027993649627,0,63,dynamic_range,58 59 65,low_rate
1.0,0,2.179551662437847,2700,63,dynamic_range,58 59 65,low_rate
1.0,1,2.640278198294815,270,63,dynamic_range,58 59 65,low_rate
1.0,2,2.6105661624289183,270,63,dynamic_range,58 59 65,low_rate
1.0,-1,2.4767986743871937,0,63,dynamic_range,58 59 65,low_rate
10.0,0,2.192000372133986,2700,63,dynamic_range,58 59 65,low_rate
10.0,1,2.534368853556207,270,63,dynamic_range,58 59 65,low_rate
10.0,2,2.524038172406069,270,63,dynamic_range,58 59 65,low_rate
10.0,-1,2.4168024660320873,0,63,dynamic_range,58 59 65,low_rate
100.0,0,2.0611068077223558,2700,63,dynamic_range,58 59 65,low_rate
100.0,1,2.5734002259535496,270,63,dynamic_range,58 59 65,low_rate
100.0,2,2.387461041245289,270,63,dynamic_range,58 59 65,low_rate
100.0,-1,2.3406560249737316,0,63,dynamic_range,58 59 65,low_rate
0.01,0,2.2178531882908934,2700,65,dynamic_range,58 59 63,low_rate
0.01,1,2.7799249933309222,1323,65,dynamic_range,58 59 63,low_rate
0.01,2,3.110209209351035,270,65,dynamic_range,58 59 63,low_rate
0.01,-1,2.702662463657617,0,65,dynamic_range,58 59 63,low_rate
0.1,0,2.2281870435185236,2700,65,dynamic_range,58 59 63,low_rate
0.1,1,2.6476879722352424,1323,65,dynamic_range,58 59 63,low_rate
0.1,2,2.852272160544486,270,65,dynamic_range,58 59 63,low_rate
0.1,-1,2.5760490587660843,0,65,dynamic_range,58 59 63,low_rate
1.0,0,2.2181277866245614,2700,65,dynamic_range,58 59 63,low_rate
1.0,1,2.337834638618991,1323,65,dynamic_range,58 59 63,low_rate
1.0,2,2.600584204644235,270,65,dynamic_range,58 59 63,low_rate
1.0,-1,2.385515543295929,0,65,dynamic_range,58 59 63,low_rate
10.0,0,2.217191972421221,2700,65,dynamic_range,58 59 63,low_rate
10.0,1,2.2825807151779,1323,65,dynamic_range,58 59 63,low_rate
10.0,2,2.38276034471734,270,65,dynamic_range,58 59 63,low_rate
10.0,-1,2.2941776774388205,0,65,dynamic_range,58 59 63,low_rate
100.0,0,2.1486260411673404,2700,65,dynamic_range,58 59 63,low_rate
100.0,1,2.2137757933907394,1323,65,dynamic_range,58 59 63,low_rate
100.0,2,2.409176283540855,270,65,dynamic_range,58 59 63,low_rate
100.0,-1,2.257192706032978,0,65,dynamic_range,58 59 63,low_rate
