method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
of_4_12,2.0,train,7644,-3.5504548492637866,3.3645115061345594,4.054190013220856,0.16535845107273678,13.283652399524815,7.134986082890246,59,median_first4,60 61 62,mid_rate
of_4_12,2.0,heldout,2289,-3.932998729682801,3.3526946796270147,3.8685757738704782,0.16164263870685888,1.2250733560348,5.923683524848086,59,median_first4,60 61 62,mid_rate
le500,2.0,train,7509,-1.199968679233585,4.156972089894421,6.548240421930322,0.2105473431881742,230.04834313004667,1.0730128599555029,60,median_first4,59 61 62,high_rate
le500,2.0,heldout,2424,-1.752144972076458,3.983702456246327,7.9065441157033645,0.19884488448844884,208.70361570446178,1.1228800684844102,60,median_first4,59 61 62,high_rate
cfd10,2.0,train,7509,-2.6464313220840694,3.2281892249154813,6.2376742527086195,0.04501265148488481,246.73449060042515,14.784472295087474,60,median_first4,59 61 62,high_rate
cfd10,2.0,heldout,2424,-2.8467103131570575,3.2085017307935164,7.495046830248049,0.04372937293729373,287.4678521464896,5.789632774698061,60,median_first4,59 61 62,high_rate
cfd20,2.0,train,7509,-2.7466794094493636,3.1050667223666393,5.864459360791175,0.05579970701824477,284.28152386086504,11.22770375338082,60,median_first4,59 61 62,high_rate
cfd20,2.0,heldout,2424,-2.8184186273716314,3.138618995026782,7.2620101671075705,0.0594059405940594,304.07450481318807,4.948351630043332,60,median_first4,59 61 62,high_rate
cfd30,2.0,train,7509,-2.6318112695426237,3.2080397462987733,5.954188620425997,0.08776135304301505,293.39092388289873,10.42790864641145,60,median_first4,59 61 62,high_rate
cfd30,2.0,heldout,2424,-2.783180425804723,3.2877541313475347,7.346525599999202,0.09570957095709572,280.50129998719297,4.674486946598311,60,median_first4,59 61 62,high_rate
cfd40,2.0,train,7509,-2.387510702793449,3.3795246705653224,6.0262867111816485,0.11066719936076708,217.31982076593093,7.590762348084736,60,median_first4,59 61 62,high_rate
cfd40,2.0,heldout,2424,-2.5408963229593837,3.4424995774391984,7.450630765263077,0.12334983498349834,200.30484481274667,3.570651349280473,60,median_first4,59 61 62,high_rate
cfd50,2.0,train,7509,-2.0283146565368924,3.5718096961136783,6.576839928705244,0.1377014249567186,216.20412544892918,5.966285309144598,60,median_first4,59 61 62,high_rate
cfd50,2.0,heldout,2424,-2.304352394268168,3.604317660973906,7.7198444874179595,0.1613036303630363,1.4651658658934192,2.555363053698972,60,median_first4,59 61 62,high_rate
template_phase,2.0,train,7509,-3.368854252704452,2.6844271263522224,3.2851921633860566,0.05952856572113464,1.5742576162680235,86.91708759024998,60,median_first4,59 61 62,high_rate
template_phase,2.0,heldout,2424,-3.7450057523384928,2.7463513765351983,3.2846293333318055,0.0886963696369637,292.5981686669876,58.23697470563707,60,median_first4,59 61 62,high_rate
of_1_9,2.0,train,7509,-3.043858221050513,3.327256289928875,3.80612714385358,0.1486216540151818,140.07381406279436,7.940576680712376,60,median_first4,59 61 62,high_rate
of_1_9,2.0,heldout,2424,-3.4123300340970992,3.4142224731047475,3.9044350993023853,0.17533003300330033,7.592810964626785,3.889828999502704,60,median_first4,59 61 62,high_rate
of_2_10,2.0,train,7509,-3.191816130970743,3.3699562012734225,3.853264930203234,0.1559461978958583,99.04432054463211,7.858414191419478,60,median_first4,59 61 62,high_rate
of_2_10,2.0,heldout,2424,-3.574451243669934,3.460913234662767,3.9286785843873107,0.183993399339934,8.364040569491067,3.543010386600711,60,median_first4,59 61 62,high_rate
of_3_11,2.0,train,7509,-3.3727134680778192,3.3606103616217324,3.8903101547296703,0.15128512451724596,7.447699118905745,7.719694104734113,60,median_first4,59 61 62,high_rate
of_3_11,2.0,heldout,2424,-3.67156037044154,3.5575815642241584,3.9166413556473416,0.17326732673267325,1.2974721663125643,2.328365293901194,60,median_first4,59 61 62,high_rate
of_4_12,2.0,train,7509,-3.3948497466912784,3.3037352676662826,4.043545097145896,0.15807697429750966,100.89051218206096,5.482277935852428,60,median_first4,59 61 62,high_rate
of_4_12,2.0,heldout,2424,-3.735961054781452,3.5458118528525158,4.072498114222374,0.18853135313531352,6.452747244360663,3.342390596128295,60,median_first4,59 61 62,high_rate
le500,2.0,train,7134,-1.4906646783991988,4.249460757451136,6.91360763687715,0.219932716568545,236.78059715866044,1.1152349703352178,61,median_first4,59 60 62,high_rate
le500,2.0,heldout,2799,-1.0015033271560299,3.750141281051537,6.899220858130814,0.16863165416220077,225.12879175335092,1.4688045970529275,61,median_first4,59 60 62,high_rate
cfd10,2.0,train,7134,-2.808282242422745,3.274181001429111,6.435884147945578,0.044715447154471545,257.52479478913637,14.701049501946683,61,median_first4,59 60 62,high_rate
