method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
of_1_9,2.0,heldout,198,-2.660663828640871,3.4649498139273227,3.17853598505313,0.16161616161616163,2.029319702035139,1.5179518013816644,65,median_first4,58 59 63,low_rate
of_2_10,2.0,train,3618,-3.549900896421935,3.5329385168708667,3.9360967269775315,0.17136539524599226,146.91047265801456,6.113346219323891,65,median_first4,58 59 63,low_rate
of_2_10,2.0,heldout,198,-2.8366931914978366,3.5372183794164993,3.256998933288561,0.15656565656565657,1.6428606703603195,1.90742856983189,65,median_first4,58 59 63,low_rate
of_3_11,2.0,train,3618,-3.795293808989072,3.481170609616513,3.932107514359663,0.16777224986180211,151.80601447925642,7.820505198054576,65,median_first4,58 59 63,low_rate
of_3_11,2.0,heldout,198,-3.55164018947508,3.228811961751099,2.9635000593841894,0.10606060606060606,1.3723274598460526,1.6968718739753845,65,median_first4,58 59 63,low_rate
of_4_12,2.0,train,3618,-3.816950754924026,3.4778872239488803,4.050191381430363,0.1730237700386954,171.89796736808242,6.504989800534364,65,median_first4,58 59 63,low_rate
of_4_12,2.0,heldout,198,-3.5385698508605152,2.9083260168164764,2.9503849964964264,0.10101010101010101,2.230241476986183,1.4391554056212275,65,median_first4,58 59 63,low_rate
le500,2.0,train,3876,-0.949111777494565,4.549074373940448,7.403598438477515,0.26238390092879255,272.649490388366,0.7465336735680235,58,dynamic_range,59 63 65,low_rate
le500,2.0,heldout,222,-1.809188908407112,4.258864164088971,4.245089183209422,0.2072072072072072,6.7788760599297,1.500347291080429,58,dynamic_range,59 63 65,low_rate
cfd10,2.0,train,4293,-2.0964984159287496,3.234943555652234,8.06226446936808,0.07756813417190776,327.70478423375897,18.27900353117625,58,dynamic_range,59 63 65,low_rate
