method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
,,,0,,1.6049539195280118,,,,,59,analytic_cv,amp_only,0.0,-1.0,6.0
,,,2799,,2.14626500525599,,,,,59,analytic_cv,amp_only,0.01,0.0,6.0
,,,2841,,1.3002476530224107,,,,,59,analytic_cv,amp_only,0.01,1.0,6.0
,,,3531,,1.3678350489949167,,,,,59,analytic_cv,amp_only,0.01,2.0,6.0
,,,0,,1.604782569091106,,,,,59,analytic_cv,amp_only,0.01,-1.0,6.0
,,,2799,,2.15034423535877,,,,,59,analytic_cv,amp_only,0.1,0.0,6.0
,,,2841,,1.2996153293910724,,,,,59,analytic_cv,amp_only,0.1,1.0,6.0
,,,3531,,1.3815909529799035,,,,,59,analytic_cv,amp_only,0.1,2.0,6.0
,,,0,,1.6105168392432485,,,,,59,analytic_cv,amp_only,0.1,-1.0,6.0
,,,2799,,2.1505174583369633,,,,,59,analytic_cv,amp_only,1.0,0.0,6.0
,,,2841,,1.3238059394372022,,,,,59,analytic_cv,amp_only,1.0,1.0,6.0
,,,3531,,1.419722046200014,,,,,59,analytic_cv,amp_only,1.0,2.0,6.0
,,,0,,1.6313484813247265,,,,,59,analytic_cv,amp_only,1.0,-1.0,6.0
,,,2799,,2.1475321340408993,,,,,59,analytic_cv,amp_only,10.0,0.0,6.0
,,,2841,,1.3254012267218442,,,,,59,analytic_cv,amp_only,10.0,1.0,6.0
,,,3531,,1.4197120465813695,,,,,59,analytic_cv,amp_only,10.0,2.0,6.0
,,,0,,1.6308818024480376,,,,,59,analytic_cv,amp_only,10.0,-1.0,6.0
,,,2799,,2.1124370044005816,,,,,59,analytic_cv,amp_only,100.0,0.0,6.0
,,,2841,,1.253061653665808,,,,,59,analytic_cv,amp_only,100.0,1.0,6.0
,,,3531,,1.3556723993018678,,,,,59,analytic_cv,amp_only,100.0,2.0,6.0
,,,0,,1.5737236857894192,,,,,59,analytic_cv,amp_only,100.0,-1.0,6.0
,,,2799,,2.098393173262241,,,,,59,analytic_cv,amp_rise_shape,0.0,0.0,14.0
,,,2841,,1.3177070222956608,,,,,59,analytic_cv,amp_rise_shape,0.0,1.0,14.0
,,,3531,,1.4024803342358623,,,,,59,analytic_cv,amp_rise_shape,0.0,2.0,14.0
,,,0,,1.6061935099312548,,,,,59,analytic_cv,amp_rise_shape,0.0,-1.0,14.0
,,,2799,,2.0967029773774066,,,,,59,analytic_cv,amp_rise_shape,0.01,0.0,14.0
,,,2841,,1.3170483096606787,,,,,59,analytic_cv,amp_rise_shape,0.01,1.0,14.0
,,,3531,,1.3995803683854149,,,,,59,analytic_cv,amp_rise_shape,0.01,2.0,14.0
,,,0,,1.6044438851411666,,,,,59,analytic_cv,amp_rise_shape,0.01,-1.0,14.0
,,,2799,,2.088846177970166,,,,,59,analytic_cv,amp_rise_shape,0.1,0.0,14.0
,,,2841,,1.3111531922732373,,,,,59,analytic_cv,amp_rise_shape,0.1,1.0,14.0
,,,3531,,1.403841366873422,,,,,59,analytic_cv,amp_rise_shape,0.1,2.0,14.0
,,,0,,1.6012802457056086,,,,,59,analytic_cv,amp_rise_shape,0.1,-1.0,14.0
,,,2799,,2.0736234606014365,,,,,59,analytic_cv,amp_rise_shape,1.0,0.0,14.0
,,,2841,,1.3186329221226256,,,,,59,analytic_cv,amp_rise_shape,1.0,1.0,14.0
,,,3531,,1.4391059388971652,,,,,59,analytic_cv,amp_rise_shape,1.0,2.0,14.0
