method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
mlp,spectral_centroid_bin,high,1593,0.7961346762803814,4.2720820906693415,6.620340097172121,0.2711864406779661,0.11738857501569366
ridge,spectral_centroid_bin,high,1593,0.5908790211543078,4.32505654281131,6.667947553027412,0.2768361581920904,0.11613308223477715
spectrogram_patch_transformer_new,spectral_centroid_bin,high,1593,-0.9758248261734614,7.492433081201954,10.124048154328,0.4613935969868173,0.22284996861268047
traditional_fft_template_cfd_timewalk,spectral_centroid_bin,high,1593,0.289430138301765,1.0267755434838086,0.9987141208037487,0.0,0.0
1d_cnn,spectral_centroid_bin,low,2049,-0.9518662398901778,5.406606243077057,7.917450333102964,0.3826256710590532,0.08931185944363104
gradient_boosted_trees,spectral_centroid_bin,low,2049,-0.8166198937758962,3.9456655572813712,5.131749930338467,0.2015617374328941,0.03074670571010249
lightweight_transformer,spectral_centroid_bin,low,2049,1.3929365100666118,6.355730003162757,7.220415396803011,0.47047340165934604,0.10151293313811616
mlp,spectral_centroid_bin,low,2049,-1.006143439376018,4.661830522647603,5.4486672186459275,0.2567105905319668,0.040995607613469986
ridge,spectral_centroid_bin,low,2049,0.09036024354093541,4.341819177047679,5.368271826103388,0.25329428989751096,0.035627135187896536
spectrogram_patch_transformer_new,spectral_centroid_bin,low,2049,-1.8342124447443258,5.508004058548165,7.0698143312907336,0.42752562225475843,0.11127379209370425
traditional_fft_template_cfd_timewalk,spectral_centroid_bin,low,2049,0.46436293636741244,0.9882315322842234,1.016497044236572,0.0,0.0
1d_cnn,spectral_centroid_bin,mid,1824,0.4715319052099023,5.233049191993696,8.165503303974207,0.3294956140350877,0.10416666666666667
gradient_boosted_trees,spectral_centroid_bin,mid,1824,-0.38073126557446924,3.8358982169572835,5.149173846647522,0.21052631578947367,0.03399122807017544
lightweight_transformer,spectral_centroid_bin,mid,1824,1.8658871211869714,6.795654572384018,7.873956187978181,0.48355263157894735,0.16776315789473684
mlp,spectral_centroid_bin,mid,1824,-0.6791799154310967,4.279830233322434,5.304696016305,0.24780701754385964,0.05098684210526316
ridge,spectral_centroid_bin,mid,1824,-0.6481687253360042,4.273845469042948,5.35813254325258,0.24013157894736842,0.046600877192982455
spectrogram_patch_transformer_new,spectral_centroid_bin,mid,1824,0.6563953918301779,5.187971685213329,7.212856428452613,0.3393640350877193,0.10307017543859649
traditional_fft_template_cfd_timewalk,spectral_centroid_bin,mid,1824,0.5260625237618788,1.0031871521320554,0.9565978865586169,0.0,0.0
