split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
holdout_sample_ii_calib,traditional_huber,64,sample_ii_calib,14630,0.0077262801008420035,0.026339354431326116,0.28637495626191506,0.7857142857142857,0.84149008885851
holdout_sample_ii_calib,peak_loglinear,64,sample_ii_calib,14630,-0.0786646437829898,0.13176036668961572,0.4397594316196472,0.2127136021872864,0.5253588516746411
holdout_sample_ii_calib,ml_extra_trees,64,sample_ii_calib,14630,-6.716010715912787e-05,0.0025257082011583866,0.030382855468972954,0.9544771018455229,0.9822966507177033
holdout_sample_ii_calib,shuffled_target_ml,64,sample_ii_calib,14630,0.4669614330120428,0.9151038322134795,2.14109113049797,0.04900888585099111,0.10321257689678742
holdout_sample_ii_analysis,traditional_huber,58,sample_ii_analysis,16780,0.006021278244535159,0.014782179688953146,0.10912110728554038,0.9362336114421931,0.9635280095351609
holdout_sample_ii_analysis,traditional_huber,59,sample_ii_analysis,21374,0.01697161826158748,0.06319386857018085,0.3629356619506702,0.6148123888836905,0.7794516702535791
holdout_sample_ii_analysis,traditional_huber,60,sample_ii_analysis,17021,0.016767191084228424,0.06520828273374182,0.4011996873489494,0.6132424651900593,0.7782151459961224
holdout_sample_ii_analysis,traditional_huber,61,sample_ii_analysis,18963,0.018429305340763306,0.06117711816642589,0.3884655197209403,0.6263776828560882,0.7929652481147498
holdout_sample_ii_analysis,traditional_huber,62,sample_ii_analysis,19088,0.016345697447157796,0.0600667553117313,0.3498879791868209,0.631548616932104,0.7925398155909472
holdout_sample_ii_analysis,traditional_huber,63,sample_ii_analysis,18814,0.010836075377514878,0.03753567634168899,0.3130257895266891,0.7275964707132986,0.834325502285532
holdout_sample_ii_analysis,traditional_huber,65,sample_ii_analysis,13038,0.00615766822012096,0.019129939685307986,0.3088181774780272,0.8141586132842461,0.8694585059058137
holdout_sample_ii_analysis,peak_loglinear,58,sample_ii_analysis,16780,-0.06596863565831751,0.09094606588099724,0.18679388328812727,0.35762812872467226,0.7386174016686532
holdout_sample_ii_analysis,peak_loglinear,59,sample_ii_analysis,21374,-0.06877926118857677,0.13575663075381258,0.538734628886559,0.19823149621034902,0.5214279030597923
holdout_sample_ii_analysis,peak_loglinear,60,sample_ii_analysis,17021,-0.06423324828273039,0.12068968031956,0.6052264859049403,0.2239586393278891,0.590740849538805
holdout_sample_ii_analysis,peak_loglinear,61,sample_ii_analysis,18963,-0.06856179723951437,0.12105649901278313,0.5748571100739578,0.20756209460528396,0.5728523967726625
holdout_sample_ii_analysis,peak_loglinear,62,sample_ii_analysis,19088,-0.06928649696064454,0.128073501505557,0.5396842783532115,0.19918273260687344,0.5497170997485331
holdout_sample_ii_analysis,peak_loglinear,63,sample_ii_analysis,18814,-0.07480076396925982,0.1242480988971884,0.45721583812345645,0.2216434570001063,0.5542680982247262
holdout_sample_ii_analysis,peak_loglinear,65,sample_ii_analysis,13038,-0.08596553211618346,0.1390857812505371,0.42610112195555355,0.19052001840773125,0.4874980825279951
holdout_sample_ii_analysis,ml_extra_trees,58,sample_ii_analysis,16780,-0.00013229257675555884,0.0011642724442866795,0.02555938046671429,0.9850417163289631,0.9945172824791418
holdout_sample_ii_analysis,ml_extra_trees,59,sample_ii_analysis,21374,0.00014890866030411694,0.005423600250442738,0.06275833662212617,0.912931599139141,0.9643959951342753
holdout_sample_ii_analysis,ml_extra_trees,60,sample_ii_analysis,17021,-9.9325540813553e-05,0.004443038198747778,0.05317098546383649,0.9377239880148053,0.9784383996239939
holdout_sample_ii_analysis,ml_extra_trees,61,sample_ii_analysis,18963,0.0002945906734351362,0.0056460838624731845,0.05700302214783092,0.9272267046353425,0.9722090386542214
holdout_sample_ii_analysis,ml_extra_trees,62,sample_ii_analysis,19088,1.6202409481011136e-05,0.004571391796039797,0.04694441291066027,0.9294321039396479,0.9741722548197821
