method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
analytic_clipped_template_sideband_traditional,clip_bin,mild_clip,7.0,5.0,0.12755629397635468,0.02516382169960657,0.02516382169960657,0.7142857142857143,0.2857142857142857,0.0013789313491513744,0.65,0.14285714285714282,-7.582350527055546,5.019854723880173,0.2857142857142857,,1.0,0.09999999999999998
analytic_clipped_template_sideband_traditional,clip_bin,unclipped,851.0,260.0,0.06421969131593439,0.11081419104216511,0.013563998663146892,0.9941245593419507,0.003525264394829612,0.012531048910578421,0.4998903388529444,0.7015276145710928,-0.8466943935490301,7.46643210008795,0.5819477434679335,0.19534883720930232,0.8846153846153846,0.015384615384615441
analytic_clipped_template_sideband_traditional,morphology_state,late_tail_high,436.0,80.0,0.12341067166210434,0.1481432758706036,,0.9885321100917431,0.0022935779816513763,-0.011509481202285107,0.3492990654205608,0.6295871559633028,0.22889454012320787,5.970711414760171,0.732620320855615,0.12048192771084337,0.7375,0.16249999999999998
analytic_clipped_template_sideband_traditional,morphology_state,late_tail_low,424.0,187.0,0.05191973895516488,0.08616612619040726,0.06559800281200215,0.9952830188679245,0.004716981132075471,0.01489406617407308,0.5720193784709914,0.7629716981132075,-1.3691695222109956,7.884306874351934,0.45267489711934156,0.2983425414364641,0.9518716577540107,0.0518716577540107
analytic_clipped_template_sideband_traditional,stave,B2,215.0,54.0,0.11368847107364462,0.08461442448271307,0.05760832813344862,0.9813953488372092,0.0,0.008841407466389478,0.648379970544919,0.6255813953488372,-9.144020985255224,8.43481436816468,0.6407766990291263,0.15178571428571427,0.9074074074074074,0.007407407407407418
analytic_clipped_template_sideband_traditional,stave,B4,233.0,43.0,0.017036159002443756,0.11483948382569176,0.0,1.0,0.0,0.016914055621394936,0.41361111111111115,0.6115879828326181,-3.2066914095292276,13.548262080685717,0.7560975609756098,0.11818181818181818,1.0,0.09999999999999998
analytic_clipped_template_sideband_traditional,stave,B6,208.0,74.0,0.005839830523540777,0.047812258171395575,0.0,0.9951923076923077,0.004807692307692308,-0.010769509501198132,,0.6947115384615385,0.32492375615897906,6.244650958080741,0.5092592592592593,0.21,1.0,0.09999999999999998
analytic_clipped_template_sideband_traditional,stave,B8,204.0,96.0,0.128126700898955,0.13899668892584496,,0.9901960784313726,0.00980392156862745,0.06706743834109022,,0.8651960784313725,-0.06579734276346283,3.7383523442396607,0.34375,0.3055555555555556,0.7395833333333334,0.16041666666666665
analytic_clipped_template_sideband_traditional,pid_proxy_class,inner_high_charge,29.0,15.0,0.12422827198006482,0.05796449254012828,0.06380561993575659,0.8620689655172413,0.0,-0.019584217527550046,,0.22413793103448276,-9.890976162374372,5.399038471991518,0.48148148148148145,0.5,1.0,0.09999999999999998
analytic_clipped_template_sideband_traditional,pid_proxy_class,other,831.0,252.0,0.06291245023182929,0.11181418410327013,0.0,0.9963898916967509,0.0012033694344163659,0.012890481778674412,,0.7274368231046932,-0.6438544084596076,7.37917966413265,0.5806451612903226,0.1939252336448598,0.8809523809523809,0.01904761904761909
gradient_boosted_trees,pedestal_state,nominal,308.0,131.0,0.00785504881157858,0.06571159837273882,0.034311589576154364,1.0,0.0,,0.9955849889624724,0.4491254209901956,-0.7250559472540807,4.957656899877374,0.3464052287581699,0.2,0.6564885496183206,0.24351145038167943
gradient_boosted_trees,pedestal_state,shifted,552.0,259.0,0.00276125985307648,0.08981524558809036,0.04370504350782874,0.9891304347826086,0.007246376811594204,,0.9926851319141942,0.46990249174021165,-0.3505553691224428,5.367558706880374,0.30685920577617326,0.24363636363636362,0.5945945945945946,0.3054054054054054
gradient_boosted_trees,pileup_bin,clean,430.0,98.0,0.041386716518654595,0.09841200893332554,,1.0,0.0,0.017891141354357234,0.9988317757009345,0.4131428667225639,-3.482688883062668,5.497182298664487,,0.22790697674418606,0.5408163265306123,0.35918367346938773
gradient_boosted_trees,pileup_bin,pileup,430.0,292.0,-0.008198404867398678,0.06630189675034633,0.05088872893688441,0.986046511627907,0.009302325581395349,-0.013340095878506725,0.9888796985571179,0.5117799358485454,0.33641542734724084,4.864907113550245,0.3209302325581395,,0.6404109589041096,0.2595890410958904
